place,address,Latitude,Longitude,category,k_means_cluster,인기지수
카페나모나모,제주특별자치도 제주시 도두봉6길 4 1~4층,33.5082095,126.4723209,카페,3,0.3482356393314501
커피템플,제주특별자치도 제주시 영평길 269 1층,33.478135,126.57017,카페,3,0.2746188384310093
외도339,제주특별자치도 제주시 일주서로 7345 1층,33.4937566,126.4317907,카페,3,0.2737973445872554
인그리드,제주특별자치도 제주시 서해안로 64,33.5025176,126.4567455,카페,3,0.2008414095523204
제주바솔트,제주특별자치도 제주시 가령골3길 6 1층,33.5040956,126.5393078,카페,3,0.1990989933863517
카페더콘테나,제주특별자치도 제주시 조천읍 함와로 513,33.5145232,126.6777359,카페,3,0.2069277612459081
섬타르,제주특별자치도 제주시 다랑곶1길 9,33.4875826,126.478266,카페,3,0.3272259977549988
커피파인더,제주특별자치도 제주시 서광로32길 20 1층,33.4985811,126.5287567,카페,3,0.3060625105160672
니모메,제주특별자치도 제주시 일주서로 7335-8,33.4937504,126.4300165,카페,3,0.1481278812038501
미쿠니,제주특별자치도 제주시 서흘길 41 1층,33.5290689,126.5897026,카페,3,0.2728945449083278
브와두스베이커리카페연동점,제주특별자치도 제주시 국기로 35,33.4787871,126.4903725,카페,3,0.3393483709273184
마음에온,제주특별자치도 제주시 칠성로길 29-1,33.514554,126.5260077,카페,3,0.2507976710602866
미스틱3도,"제주특별자치도 제주시 1100로 2894-49 1,2층",33.4499537,126.487749,카페,3,0.2245946567562194
스타벅스제주용담DT점,제주특별자치도 제주시 서해안로 380 1층,33.5123802,126.4846092,카페,3,0.0791144527986634
빠빠라기신제주점,제주특별자치도 제주시 신광로 45,33.4879855,126.4903506,카페,3,0.238986356837188
두갓,제주특별자치도 제주시 해안마을북길 13-39 1층,33.4646856,126.450972,카페,3,0.2838681781433071
그러므로파트2,제주특별자치도 제주시 수목원길 16-14,33.4683912,126.4860864,카페,3,0.1994081305806023
트라인커피,제주특별자치도 제주시 조천읍 와흘상길 32,33.4931604,126.6326534,카페,3,0.2270103864553626
카페바나나함덕점,제주특별자치도 제주시 조천읍 신북로 491-9 3층,33.5430312,126.6627219,카페,3,0.2938600228976867
프로젝트064다방,제주특별자치도 제주시 신광로4길 13,33.488771,126.4885917,카페,3,0.1706240318809712
앨리스,제주특별자치도 제주시 서광로32길 36-1 2층,33.4975599,126.5296155,카페,3,0.5600668337510445
스테이위드커피,제주특별자치도 제주시 해안마을5길 29 스테이위드커피,33.4581818,126.4558893,카페,3,0.2437527445895355
망고홀릭제주본점,제주특별자치도 제주시 삼무로5길 2,33.4907171,126.4920409,카페,3,0.2386374350242313
다소니,제주특별자치도 제주시 오남로6길 24,33.490672,126.5177399,카페,3,0.1894591780376679
스타벅스제주함덕점,제주특별자치도 제주시 조천읍 조함해안로 522,33.5440366,126.6537771,카페,3,0.2848326324558113
말로,제주특별자치도 제주시 조천읍 남조로 1785-12 1층,33.4274625,126.6721849,카페,3,0.1920784222461886
어제보다오늘,제주특별자치도 제주시 서해안로 68 1층,33.5028469,126.4570603,카페,3,0.232381206540723
카페진정성종점,제주특별자치도 제주시 서해안로 124 1층,33.5110314,126.4802212,카페,3,0.2018982133583033
빽다방베이커리제주사수점,"제주특별자치도 제주시 서해안로 291-5 1,2층",33.5092672,126.47675,카페,3,0.3219154535479158
카페그라나다,제주특별자치도 제주시 도공로 86-1,33.5023315,126.466044,카페,3,0.1555184683270995
카페도두,제주특별자치도 제주시 서해안로 342 1층,33.5110314,126.4802212,카페,3,0.1750220744429796
에스프레소라운지,"제주특별자치도 제주시 한라대학로 1 1,2층",33.4772209,126.476779,카페,3,0.1823349676405741
모모제이,제주특별자치도 제주시 인다8길 36-1,33.4829274,126.4841185,카페,3,0.1224435506554362
5L2F(오엘이에프),제주특별자치도 제주시 조천읍 와흘상길 30,33.4931604,126.6326534,카페,3,0.2430059547651474
스물다섯,제주특별자치도 제주시 다랑곶6길 19 1층,33.4888838,126.4808578,카페,3,0.3692429736435607
컴플리트커피연동점,제주특별자치도 제주시 국기로4길 1,33.4792828,126.4923095,카페,3,0.0435254803675856
스타벅스제주노형점,제주특별자치도 제주시 도령로 27,33.4877957,126.4818957,카페,3,0.2416795297865626
Pickus피커스,제주특별자치도 제주시 아연로 444-1 2층,33.474732,126.5277001,카페,3,0.2593059131847886
제주설심당본점,제주특별자치도 제주시 서해안로 504 1층,33.5194453,126.493001,카페,3,0.1379760149003568
듀포레,"제주특별자치도 제주시 서해안로 579 1,2층",33.5185294,126.5002822,카페,3,0.2553964302758565
ABC베이커리,제주특별자치도 제주시 탑동로 11,33.5169485,126.5234344,카페,3,0.2033669409444463
스타벅스제주칠성점,제주특별자치도 제주시 관덕로 55,33.5133421,126.5253125,카페,3,0.2090661607914578
윈드스톤,제주특별자치도 제주시 애월읍 광성로 272,33.4603788,126.4361793,카페,3,0.2295938424587151
73st,제주특별자치도 제주시 해안마을길 73,33.45695,126.4551451,카페,3,0.1692856526156948
스타벅스제주시청점,제주특별자치도 제주시 중앙로 215,33.4814679,126.5411458,카페,3,0.1849768237871729
바라나시책골목,제주특별자치도 제주시 동한두기길 35-2 1층,33.5162969,126.5153031,카페,3,0.2973590857769753
누옥,제주특별자치도 제주시 삼성로5길 21-1,33.508269,126.5287994,카페,3,0.2248312023486344
간세라운지,제주특별자치도 제주시 관덕로8길 7-9,33.5125989,126.5243823,카페,3,0.225538811151373
모앙,제주특별자치도 제주시 인다5길 12-4 1층,33.4743053,126.5480714,카페,3,0.2128372093359801
에이바우트커피한라대점,"제주특별자치도 제주시 한라대학로 39 1,2층",33.4772209,126.476779,카페,3,0.1050671303044953
카카듀,제주특별자치도 제주시 박성내서길 18,33.4912951,126.5418406,카페,3,0.1527982781922657
이에르바,제주특별자치도 제주시 조천읍 신촌남1길 33-8 1층,33.5274997,126.6189404,카페,3,0.1946051232813729
조아찌커피,제주특별자치도 제주시 테우해안로 158 1층,33.4966887,126.4506551,카페,3,0.1727609382525538
커피99.9,"제주특별자치도 제주시 1100로 3173 1,2층",33.4561511,126.48637,카페,3,0.1842444391038479
델문도로스터스,제주특별자치도 제주시 연삼로 316 MS빌딩 1층,33.4917912,126.5263903,카페,3,0.1801210094318485
순아,"제주특별자치도 제주시 관덕로 32-1 1,2층",33.5130604,126.5227848,카페,3,0.3293705230933147
카페주비,제주특별자치도 제주시 도리로 84 1층,33.5008197,126.4643053,카페,3,0.2932499669968723
그러므로,제주특별자치도 제주시 구남동6길 45,33.4875695,126.5364225,카페,3,0.2295967544612727
다랑쉬,제주특별자치도 제주시 용문로21길 4,33.508907,126.5094692,카페,3,0.1726459390648315
커피주의보,제주특별자치도 제주시 남광로 16,33.4979375,126.5462372,카페,3,0.2463166733755626
시인의집,제주특별자치도 제주시 조천읍 조천3길 27,33.5358808,126.634634,카페,3,0.2447071664644826
먹쿠슬낭여행자카페,제주특별자치도 제주시 오라로 24,33.4980411,126.5070556,카페,3,0.2545743762190057
스타벅스제주노형공원점,제주특별자치도 제주시 연북로 12 이레하이텔 101,33.4816856,126.4825392,카페,3,0.1736727478784052
모찌롱(휴업중),제주특별자치도 제주시 관덕로6길 12 1층,33.5120593,126.5219935,카페,3,0.140016708437761
블루모모,제주특별자치도 제주시 고산동산1길 9 1층,33.4976752,126.5323457,카페,3,0.2051807577237249
제주몹시,제주특별자치도 제주시 월대1길 10 1층,33.4945285,126.4336524,카페,3,0.2367155181143863
카페송키,제주특별자치도 제주시 무근성안길 16 1층,33.5151147,126.520256,카페,3,0.2122074975856423
에이바우트커피신라신성점,제주특별자치도 제주시 노연로 62 신성오피스텔 1층,33.4857368,126.4867585,카페,3,0.2277268895221311
위더스트래블아라점,제주특별자치도 제주시 아라일동 6113-16,33.4261379,126.5626925,카페,3,0.0300719464438159
픽스커피본점,제주특별자치도 제주시 신설로11길 2 1층,33.4912804,126.5445739,카페,3,0.1697577276524645
고요새,제주특별자치도 제주시 선사로8길 11,33.5271456,126.5895044,카페,3,0.2130541959065244
스타벅스제주삼화DT점,제주특별자치도 제주시 연삼로 884,33.5011704,126.5402581,카페,3,0.2551184658754954
에이바우트커피뷰하귀포구점,제주특별자치도 제주시 애월읍 하귀12길 21-2,33.4864408,126.408477,카페,3,0.2264326394848457
카페동경앤책방,제주특별자치도 제주시 애월읍 하귀로 74 2층,33.4813428,126.4049209,카페,3,0.2107020474334264
고미미,제주특별자치도 제주시 북성로 67 1층,33.515311,126.5177481,카페,3,0.2168796503045805
노론존,제주특별자치도 제주시 도령로 50 2층,33.4884319,126.4841582,카페,3,0.2622349689069975
리듬앤브루스,제주특별자치도 제주시 무근성7길 11,33.5138019,126.5198694,카페,3,0.1565883162503308
스타벅스제주서해안로DT점,제주특별자치도 제주시 서해안로 624,33.5167857,126.5035553,카페,3,0.1583959899749373
도을,제주특별자치도 제주시 조천읍 와흘리 125,33.4735321,126.6571882,카페,3,0.2534756526940617
카페빠네띠에,제주특별자치도 제주시 신설로9길 25,33.4943566,126.546782,카페,3,0.1867669949722756
단정한까페,제주특별자치도 제주시 서광로28길 54 2층,33.4967947,126.5292529,카페,3,0.2696976334457625
제주901,제주특별자치도 제주시 1100로 2977-10,33.4525954,126.4861329,카페,3,0.2549872638962806
디뷰,제주특별자치도 제주시 노형7길 9-16,33.4869795,126.4837154,카페,3,0.2947104173346141
유스커피,제주특별자치도 제주시 구산로 54,33.48433,126.5407264,카페,3,0.2455996102955247
거인의정원,제주특별자치도 제주시 대원길 58,33.4718426,126.5353245,카페,3,0.2204466492616665
