place,address,Latitude,Longitude,category,k_means_cluster,인기지수
연돈,제주특별자치도 서귀포시 일주서로 968-10 1층,33.2589317,126.4072788,식당,0,0.1983721315322084
색달식당중문갈치조림구이본점,제주특별자치도 서귀포시 예래로 255-18 하예동350 색달식당중문본점,33.2451213,126.3852784,식당,0,0.3818664902120424
고집돌우럭중문점,제주특별자치도 서귀포시 일주서로 879 1층,33.2579925,126.4167597,식당,0,0.6271542959535511
중문수두리보말칼국수,제주특별자치도 서귀포시 천제연로 192 1층,33.2515765,126.4251078,식당,0,0.2905110812465405
춘심이네본점,제주특별자치도 서귀포시 안덕면 창천중앙로24번길 16,33.2647393,126.3705871,식당,0,0.2140180134225493
한림칼국수,제주특별자치도 제주시 한림읍 한림해안로 141,33.4155701,126.2615642,식당,0,0.1253924992512432
미영이네식당,제주특별자치도 서귀포시 대정읍 하모항구로 42,33.2176507,126.2499045,식당,0,0.2585270052505473
바다를본돼지제주협재판포본점,제주특별자치도 제주시 한경면 판포1길 16 1층,33.3654583,126.1979731,식당,0,0.1204540888085192
더바루시아,제주특별자치도 서귀포시 안덕면 난드르로 49-19,33.2349631,126.363794,식당,0,0.1158638793239814
제주김만복애월점,제주특별자치도 제주시 애월읍 애월해안로 255 2층,33.4782235,126.3665625,식당,0,0.1978503342854484
제주오성식당,제주특별자치도 서귀포시 중문관광로 27 2층,33.2487954,126.4198849,식당,0,0.291851370928829
갈치왕중문점,제주특별자치도 서귀포시 일주서로 1146,33.2646227,126.3908426,식당,0,0.2992302212623879
고이정본점,제주특별자치도 제주시 애월읍 애월로 6 A동 1층,33.4630969,126.3173357,식당,0,0.2987625395950697
국수바다본점,제주특별자치도 서귀포시 일주서로 982,33.2584326,126.4353135,식당,0,0.1211959892993407
큰돈가중문점,"제주특별자치도 서귀포시 천제연로 89 1,2층",33.2551064,126.4152612,식당,0,0.2499721568049234
스시애월,제주특별자치도 제주시 애월읍 애월로9길 50-3,33.4665125,126.3193173,식당,0,0.2363001878976305
별돈별정원점,제주특별자치도 제주시 한경면 고산로8길 21-15 1층,33.3079882,126.1803326,식당,0,0.1427145116049017
산방식당,제주특별자치도 서귀포시 대정읍 하모이삼로 62,33.223395,126.2543017,식당,0,0.133224686657064
신우성흑돼지,제주특별자치도 서귀포시 중문관광로72번길 29-9,33.2496778,126.4113633,식당,0,0.3305215268821272
옥만이네,제주특별자치도 제주시 한림읍 한림해안로 160 1층,33.4164432,126.2635216,식당,0,0.1261272320719011
은혜전복,제주특별자치도 제주시 애월읍 애월로1길 24-3,33.4624642,126.3102678,식당,0,0.1932239037411686
데미안,제주특별자치도 제주시 한경면 고조로 492-15 1층,33.3158471,126.2025732,식당,0,0.3375858464677487
부두식당,제주특별자치도 서귀포시 대정읍 하모항구로 62,33.2187678,126.2511222,식당,0,0.1506522482077135
돈이랑본점,제주특별자치도 서귀포시 일주서로 953,33.257733,126.4087182,식당,0,0.3485572388814646
바당길,제주특별자치도 제주시 한림읍 한림서길 18,33.4097548,126.2585778,식당,0,0.1537023255305135
애월흑돼지애월그때그집본점,제주특별자치도 제주시 애월읍 애월해안로 97 1층,33.4782235,126.3665625,식당,0,0.2847022637821544
몬스터살롱,제주특별자치도 제주시 애월읍 일주서로 6017,33.4482531,126.3072817,식당,0,0.2414652014046203
난드르바당,제주특별자치도 서귀포시 하예하동로16번길 11-1,33.2346331,126.3712777,식당,0,0.1569097650393181
갈치요리전문점만족한상회,제주특별자치도 서귀포시 중문상로 58-5 1층,33.2532837,126.4267136,식당,0,0.288833157497923
봉순이네흑돼지,제주특별자치도 서귀포시 대정읍 영어도시로 64 1층,33.2798179,126.2737676,식당,0,0.2330701467659316
제주한라국수,제주특별자치도 서귀포시 천제연로188번길 17,33.2502561,126.4245006,식당,0,0.1304131092301493
안녕협재씨제주협재점,제주특별자치도 제주시 한림읍 금능길 12 1층,33.3881374,126.2294884,식당,0,0.2083197413811794
닻,제주특별자치도 제주시 애월읍 하귀2리 2726,33.4860879,126.3921047,식당,0,0.1269092193375807
정직한돈본점,제주특별자치도 제주시 애월읍 애월해안로 253,33.4675271,126.339144,식당,0,0.2583320683395633
더꽃돈협재점,제주특별자치도 제주시 한림읍 한림로 366 1층,33.3953254,126.2426345,식당,0,0.2114526823387584
순천미향,제주특별자치도 서귀포시 안덕면 사계남로216번길 24-73,33.2356687,126.3125597,식당,0,0.2667531726727455
대기정,제주특별자치도 서귀포시 이어도로 41,33.2403093,126.4286681,식당,0,0.22669879156606
가람돌솥밥,제주특별자치도 서귀포시 중문관광로 332,33.2496037,126.431444,식당,0,0.1878168746794534
큰돈가본점,제주특별자치도 서귀포시 대정읍 형제해안로 296,33.210157,126.2914269,식당,0,0.2043161728042226
홍성방,제주특별자치도 서귀포시 대정읍 하모항구로 76,33.220115,126.2517883,식당,0,0.2334048677369979
잇칸시타,제주특별자치도 제주시 애월읍 신엄안2길 54-1,33.4770905,126.3699554,식당,0,0.2265655289433586
형제도식당본점,제주특별자치도 서귀포시 일주서로 915 형제도식당 본점,33.2584326,126.4353135,식당,0,0.2517732860196043
정직한돈협재직영점,제주특별자치도 제주시 한림읍 일주서로 5083 2층,33.389078,126.2504324,식당,0,0.2890370744204334
칠돈가서광직영점,제주특별자치도 서귀포시 안덕면 서광사수동로20번길 27 1층,33.2874033,126.3042052,식당,0,0.1768643014746432
제주돗,제주특별자치도 제주시 한경면 조수2길 34,33.3324683,126.2311173,식당,0,0.2097729684792576
중문흑돼지천국,제주특별자치도 서귀포시 천제연로 107 중문흑돼지천국,33.254877,126.417186,식당,0,0.3100495320818103
뚱보아저씨,제주특별자치도 제주시 한경면 중산간서로 3651,33.3306389,126.2554594,식당,0,0.1935176154036036
덕승식당,제주특별자치도 서귀포시 대정읍 하모항구로 66,33.2192451,126.2513444,식당,0,0.1199625377402837
한라전복(본점),제주특별자치도 서귀포시 대정읍 대한로 33 1층,33.2406592,126.2451919,식당,0,0.1218605585694193
제갈양,제주특별자치도 제주시 한림읍 한림로 155,33.3989324,126.2421759,식당,0,0.2720508127169396
만선식당,제주특별자치도 서귀포시 대정읍 하모항구로 44,33.2178539,126.2499284,식당,0,0.1910301792895875
인디언키친,제주특별자치도 제주시 애월읍 애원로 191,33.4431304,126.3385993,식당,0,0.1898117912837652
산방산초가집,제주특별자치도 서귀포시 안덕면 화순해안로 189,33.2455947,126.3387238,식당,0,0.2379104791564677
문개항아리애월점,제주특별자치도 제주시 애월읍 가문동길 38,33.4857824,126.3925353,식당,0,0.3518701005125752
숙성도중문점,"제주특별자치도 서귀포시 일주서로 966 1,2층",33.2584326,126.4353135,식당,0,0.1806740456250061
해심가든,제주특별자치도 서귀포시 천제연로 203-4,33.2519011,126.4266075,식당,0,0.1078920511824351
춘미향식당,제주특별자치도 서귀포시 안덕면 산방로 378,33.231437,126.2965741,식당,0,0.2155604343852233
옥돔식당,제주특별자치도 서귀포시 대정읍 신영로36번길 62,33.2199418,126.2490877,식당,0,0.12292443031826
옹포바다횟집,제주특별자치도 제주시 한림읍 옹포1길 24,33.4038406,126.2517757,식당,0,0.205156638196383
글라글라하와이,제주특별자치도 서귀포시 대정읍 하모항구로 70,33.2194985,126.2515431,식당,0,0.2051229084473144
강식당,제주특별자치도 제주시 한림읍 협재1길 30 1층,33.397854,126.2435702,식당,0,0.1890148615280416
뚱딴지,제주특별자치도 제주시 애월읍 부룡수길 17,33.4746872,126.3550977,식당,0,0.1517273280698127
알동네집,제주특별자치도 제주시 한경면 연명로 543,33.3001516,126.2511949,식당,0,0.1373218670034974
중문색달통갈치,제주특별자치도 서귀포시 일주서로 993,33.2584326,126.4353135,식당,0,0.282666934368275
돈카츠서황,제주특별자치도 제주시 애월읍 장소로 205-2 1층,33.4348196,126.3800658,식당,0,0.1515577456778378
해월정서귀포점,제주특별자치도 서귀포시 대정읍 형제해안로 262,33.210157,126.2914269,식당,0,0.2483443109355064
올레마당,제주특별자치도 서귀포시 안덕면 사계남로 224,33.2331477,126.3088244,식당,0,0.2718382228982334
서광보말칼국수,제주특별자치도 서귀포시 안덕면 중산간서로 1882,33.2862497,126.3077305,식당,0,0.1449779191354397
중문그때그집,제주특별자치도 서귀포시 상예로 181-28,33.2628964,126.3899545,식당,0,0.3235722693597728
