place,address,Latitude,Longitude,category,k_means_cluster,인기지수
호텔케니서귀포,제주특별자치도 서귀포시 동문로 42,33.2506274,126.5647149,호텔,2,0.3326023260935978
파크선샤인제주,제주특별자치도 서귀포시 남성중로 135,33.2542585,126.553507,호텔,2,0.3382072541754382
코업시티호텔하버뷰,제주특별자치도 서귀포시 남원읍 태위로 108,33.274626,126.6589942,호텔,2,0.2551175728892802
토스카나호텔,제주특별자치도 서귀포시 용흥로66번길 158-7,33.2645887,126.4850479,호텔,2,0.3106337648682225
스위트메이서귀포호텔,제주특별자치도 서귀포시 김정문화로27번길 9-1,33.2524649,126.5072896,호텔,2,0.2256597508813282
호텔윈스토리,제주특별자치도 서귀포시 중정로 11,33.2479885,126.5623549,호텔,2,0.258827981917783
퍼스트70,제주특별자치도 서귀포시 명동로 46,33.2475894,126.5668712,호텔,2,0.2439866523637085
호텔브릿지서귀포,제주특별자치도 서귀포시 태평로 436 1~11층,33.245396,126.5668909,호텔,2,0.1905351594938642
빠레브호텔,제주특별자치도 서귀포시 김정문화로 15,33.2511409,126.5095568,호텔,2,0.1717232955428277
호텔휴식서귀포,제주특별자치도 서귀포시 중앙로71번길 17,33.2504029,126.5595736,호텔,2,0.177958634758266
노블피아,제주특별자치도 서귀포시 명동로 46 1층,33.2475894,126.5668712,호텔,2,0.1886649055015499
제주호텔더엠,제주특별자치도 서귀포시 태평로353번길 14,33.2465959,126.5606779,호텔,2,0.2544726341871883
윈스카이호텔,제주특별자치도 서귀포시 신중남로 17,33.2523487,126.5085052,호텔,2,0.2099771537393907
호텔서귀피안,제주특별자치도 서귀포시 보목로64번길 178,33.2410807,126.5938804,호텔,2,0.2505686374070254
까사로마호텔,제주특별자치도 서귀포시 태평로 347,33.2467908,126.5581542,호텔,2,0.2368564125869075
BK호텔제주,제주특별자치도 서귀포시 칠십리로91번길 12,33.2411078,126.5643,호텔,2,0.2260071331642405
이스턴호텔제주,제주특별자치도 서귀포시 서호동 1522-2,33.2784399,126.5169922,호텔,2,0.1399133931552884
브릿지레지던스호텔,제주특별자치도 서귀포시 김정문화로 49,33.2511409,126.5095568,호텔,2,0.2306382517056342
신신호텔천지연,제주특별자치도 서귀포시 서문로 42-1,33.2495146,126.5576159,호텔,2,0.1953594891009725
서귀포KAL호텔,제주특별자치도 서귀포시 칠십리로 242,33.2460024,126.5810125,호텔,2,0.2957264957264957
호텔징크,제주특별자치도 서귀포시 중정로 11,33.2479885,126.5623549,호텔,2,0.2276948548710193
호텔화인제주,제주특별자치도 서귀포시 칠십리로 87,33.2403247,126.5651122,호텔,2,0.2094836700831176
피노호텔,제주특별자치도 서귀포시 천지연로29번길 5,33.2410267,126.5632048,호텔,2,0.344601682932167
글래즈하임호텔,제주특별자치도 서귀포시 이어도로 777,33.240469,126.493008,호텔,2,0.1989241542299709
그랜드밀리언스호텔서귀포,제주특별자치도 서귀포시 서호중앙로 84,33.252101,126.5614011,호텔,2,0.2068518873755781
JW메리어트제주(2022년하반기예정),제주특별자치도 서귀포시 태평로 152,33.247167,126.5510603,호텔,2,0.3418803418803418
펠리시아호텔,제주특별자치도 서귀포시 일주동로 9123,33.255487,126.5686054,호텔,2,0.3267787880199477
호텔연,제주특별자치도 서귀포시 솔동산로22번길 17-2,33.2439147,126.5622101,호텔,2,0.1262501610258492
천지연호텔,제주특별자치도 서귀포시 솔동산로 40,33.2428644,126.563645,호텔,2,0.2247101185925644
더그랜드섬오름본관,제주특별자치도 서귀포시 막숙포로 114,33.2359288,126.513206,호텔,2,0.252991452991453
런호텔,제주특별자치도 서귀포시 태평로431번길 20,33.247538,126.5660362,호텔,2,0.1341192906364161
파인힐호텔,제주특별자치도 서귀포시 부두로 44,33.241328,126.5644681,호텔,2,0.0982611559632134
오션블루호텔,제주특별자치도 서귀포시 이어도로 67,33.240469,126.493008,호텔,2,0.0783255135754407
제주푸른호텔,제주특별자치도 서귀포시 서호동 1524-3,33.2784399,126.5169922,호텔,2,0.2598529194886192
엘렌호텔,제주특별자치도 서귀포시 이어도로 152,33.240469,126.493008,호텔,2,0.2268381801804554
스와브호텔,제주특별자치도 서귀포시 서홍로 102,33.2671306,126.5486496,호텔,2,0.198901570928285
코너스톤호텔,제주특별자치도 서귀포시 정방로 7-10,33.2476654,126.5684613,호텔,2,0.192177505295656
오렌지호텔,제주특별자치도 서귀포시 태평로335번길 3,33.2472009,126.5574393,호텔,2,0.3414281733250567
호텔버지니아,제주특별자치도 서귀포시 중정로61번길 31,33.2506312,126.5624735,호텔,2,0.2812441829898189
모멘토호텔,제주특별자치도 서귀포시 태평로439번길 21,33.2465385,126.5650235,호텔,2,0.3337542631659958
호텔캘리포니아,제주특별자치도 서귀포시 김정문화로27번길 14-4,33.2534005,126.5077541,호텔,2,0.3421636466027198
은하호텔,제주특별자치도 서귀포시 중앙로47번길 40,33.2485097,126.5576496,호텔,2,0.3333451237006032
