place,address,Latitude,Longitude,category,k_means_cluster,인기지수
신신호텔서귀포점,제주특별자치도 서귀포시 서귀동 486-1,33.2455472,126.5625707,모텔,2,0.4222280560641936
아인스호스텔,제주특별자치도 서귀포시 태평로 432,33.2454258,126.566501,모텔,2,0.2584104199893675
메종드씨엘하버39호텔앤리조트,제주특별자치도 서귀포시 천지연로 39,33.2423238,126.5622458,모텔,2,0.1261939711207221
트루엘레지던스,제주특별자치도 서귀포시 서귀동 486-1,33.2455472,126.5625707,모텔,2,0.2492078681552366
호텔DK,제주특별자치도 서귀포시 중앙로54번길 12,33.2496807,126.5634895,모텔,2,0.2438923065238855
바다해호텔,제주특별자치도 서귀포시 천지연로 3-1,33.2413301,126.5655131,모텔,2,0.2710995745124941
신세계호텔,제주특별자치도 서귀포시 중앙로 2-2,33.2447039,126.562385,모텔,2,0.1315007821519425
호텔랑주,제주특별자치도 서귀포시 김정문화로27번길 23-3,33.2539331,126.5082261,모텔,2,0.233435862383231
진모텔,제주특별자치도 서귀포시 중앙로47번길 7-1,33.2485234,126.560774,모텔,2,0.2774284195336828
초이호스텔제주,제주특별자치도 서귀포시 태평로335번길 11-1,33.246995,126.5585844,모텔,2,0.3334201117326585
이아호텔,제주특별자치도 서귀포시 중정로 36,33.2473206,126.5603045,모텔,2,0.2780781969713071
스타성모텔,제주특별자치도 서귀포시 중앙로71번길 15-4,33.2502396,126.5597995,모텔,2,0.1111111111111111
록산모텔,제주특별자치도 서귀포시 중앙로47번길 11,33.2484585,126.5604693,모텔,2,0.227690438216754
셀라모텔,제주특별자치도 서귀포시 솔동산로 9-3,33.244043,126.5645718,모텔,2,0.3451051872104504
한두모텔,제주특별자치도 서귀포시 태평로335번길 21,33.2470246,126.5594262,모텔,2,0.2373737373737374
퀸호텔,제주특별자치도 서귀포시 태평로353번길 22-19,33.245764,126.5614373,모텔,2,0.3337590658100708
송원모텔,제주특별자치도 서귀포시 천지로 31,33.2503601,126.5604724,모텔,2,0.3333333333333333
미미여관,제주특별자치도 서귀포시 중정로91번길 12-1,33.2495306,126.5657762,모텔,2,0.1111111111111111
폭포장모텔,제주특별자치도 서귀포시 천지연로21번길 10,33.2410436,126.5638097,모텔,2,0.1123642439431913
