place,address,Latitude,Longitude,category,k_means_cluster,인기지수
더큐브리조트제주,제주특별자치도 서귀포시 솔오름로105번길 24,33.3007625,126.5543432,리조트,2,0.2084053189209544
아이브리조트,제주특별자치도 서귀포시 산록남로 1966-34,33.3017887,126.5095926,리조트,2,0.1871582482350328
돈내코힐스파리조트,제주특별자치도 서귀포시 돈내코로 180,33.3053883,126.5774568,리조트,2,0.2361721234134896
서귀포월드컵리조트,제주특별자치도 서귀포시 월드컵로45번길 40,33.2443564,126.5110873,리조트,2,0.2769393074120324
벨룸리조트,제주특별자치도 서귀포시 516로277번길 45 1층,33.2812754,126.5784104,리조트,2,0.3453615547148826
더베이제주리조트,제주특별자치도 서귀포시 문필로35번길 46,33.2407806,126.5956557,리조트,2,0.264596166238511
팜밸리리조트,제주특별자치도 서귀포시 중산간서로 193,33.2593949,126.4908125,리조트,2,0.294043920412359
씨오르리조트,제주특별자치도 서귀포시 이어도로 989,33.2422008,126.5191098,리조트,2,0.2839586486919048
파미유스파리조트,제주특별자치도 서귀포시 이어도로 826-6,33.2339546,126.5025264,리조트,2,0.3460243678185921
돌과바람리조트,제주특별자치도 서귀포시 하신상로 166,33.2761847,126.6067488,리조트,2,0.2630745789648487
더세리리조트,제주특별자치도 서귀포시 법환상로2번길 97-17,33.2468934,126.5119875,리조트,2,0.2173261057391404
브릭216,제주특별자치도 서귀포시 이어도로 216,33.240469,126.493008,리조트,2,0.335205016223025
블루펄리조트,제주특별자치도 서귀포시 태평로92번길 35,33.2412,126.5319536,리조트,2,0.2271097445904816
더시에나리조트(2023년5월예정),제주특별자치도 서귀포시 강정동 3772-1,33.2645974,126.4846111,리조트,2,0.3373493975903614
벙커호텔앤리조트,제주특별자치도 서귀포시 중산간동로8183번길 16,33.2619641,126.5455687,리조트,2,0.3333333333333333
