place,address,Latitude,Longitude,category,k_means_cluster,인기지수
협재해수욕장,제주특별자치도 제주시 한림읍 한림로 329-10,33.3938461,126.2397141,관광지,0,0.4706930351707422
금능해수욕장,제주특별자치도 제주시 한림읍 금능길 119-10,33.391126,126.2363373,관광지,0,0.2937624662804597
용머리해안,제주특별자치도 서귀포시 안덕면 사계리,33.237032,126.3020597,관광지,0,0.3131978435621955
곽지해수욕장,제주특별자치도 제주시 애월읍 곽지리 1565,33.4507522,126.3056339,관광지,0,0.3140211033524123
중문색달해수욕장,제주특별자치도 서귀포시 색달동 3039,33.2814107,126.4111118,관광지,0,0.1145212876038833
새별오름,제주특별자치도 제주시 애월읍 봉성리 산 59-8,33.3689588,126.3505941,관광지,0,0.3642143672418554
산방산,제주특별자치도 서귀포시 안덕면 사계리 산 16,33.2426249,126.3137339,관광지,0,0.3409697081789947
마라도,제주특별자치도 서귀포시 대정읍 마라로101번길 46,33.1185369,126.2673483,관광지,0,0.2092243639339281
9.81파크,제주특별자치도 제주시 애월읍 천덕로 880-24,33.4353027,126.3219516,관광지,0,0.197815795807155
카멜리아힐,제주특별자치도 서귀포시 안덕면 병악로 166,33.2901143,126.3684044,관광지,0,0.4517378313402859
천제연폭포,제주특별자치도 서귀포시 천제연로 132 중문관광단지 내,33.2526783,126.4184383,관광지,0,0.2375565492459393
사계해변,제주특별자치도 서귀포시 안덕면 사계리,33.237032,126.3020597,관광지,0,0.1118062012093819
신창풍차해안도로,제주특별자치도 제주시 한경면 신창리 1322-1,33.3433767,126.1739996,관광지,0,0.3217770781891998
금오름,제주특별자치도 제주시 한림읍 금악리 산 1-1,33.355577,126.3056877,관광지,0,0.3484746666106495
한림공원,제주특별자치도 제주시 한림읍 한림로 300,33.3894949,126.2396825,관광지,0,0.2819333503297394
송악산,제주특별자치도 서귀포시 대정읍 상모리 산 2,33.1994088,126.2907797,관광지,0,0.3646121008597443
수월봉,제주특별자치도 제주시 한경면 고산리 3760,33.294755,126.1634484,관광지,0,0.2510495205381175
항파두리항몽유적지,제주특별자치도 제주시 애월읍 항파두리로 50,33.4521245,126.4074522,관광지,0,0.1336993974460945
애월해안도로,제주특별자치도 제주시 애월읍 신엄리 2719-3,33.4786484,126.3696874,관광지,0,0.3905528821967816
한담해안산책로,제주특별자치도 제주시 애월읍 곽지리 1359,33.45906,126.3105995,관광지,0,0.3058508632326978
비양도,제주특별자치도 제주시 한림읍 협재리,33.3807358,126.2482491,관광지,0,0.1781143580997582
제주곶자왈도립공원,제주특별자치도 서귀포시 대정읍 에듀시티로 178,33.279349,126.2763069,관광지,0,0.245213239685809
화조원,제주특별자치도 제주시 애월읍 납읍리 58,33.4113881,126.3717903,관광지,0,0.0407784453020219
한라산1100고지,제주특별자치도 서귀포시 색달동 산 1-2,33.2569808,126.3864531,관광지,0,0.1279742515012585
군산,제주특별자치도 서귀포시 안덕면 창천리 산 3-1,33.2515773,126.3681156,관광지,0,0.5636839351125067
가파도,제주특별자치도 서귀포시 대정읍 가파리 276,33.1697902,126.2713039,관광지,0,0.2351701162788328
논짓물해변,제주특별자치도 서귀포시 하예동,33.240031,126.3803208,관광지,0,0.0826898552142595
제주불빛정원,제주특별자치도 제주시 애월읍 평화로 2346,33.4221679,126.4093068,관광지,0,0.1828268722129309
송악산둘레길,제주특별자치도 서귀포시 대정읍 상모리,33.2218976,126.2741296,관광지,0,0.3550121319684857
돌염전,제주특별자치도 제주시 애월읍 구엄리,33.4797356,126.3819332,관광지,0,0.1186945176230464
형제해안도로,"제주특별자치도 서귀포시 안덕면 사계리 (군도14호선, 상모사계선)",33.2395779,126.2999173,관광지,0,0.1132059217060438
파더스가든,제주특별자치도 서귀포시 안덕면 병악로 44-33,33.2805107,126.3655186,관광지,0,0.0178424198772152
월령선인장군락지,제주특별자치도 제주시 한림읍 월령리 359-4,33.3778628,126.2154709,관광지,0,0.2585103867506825
소인국테마파크,제주특별자치도 서귀포시 안덕면 중산간서로 1878,33.2904213,126.322602,관광지,0,0.1522652643744605
제주중문관광단지,제주특별자치도 서귀포시 중문동 2624-1,33.2457545,126.4205964,관광지,0,0.1213066895764663
안덕계곡,제주특별자치도 서귀포시 안덕면 감산리 1946,33.2563654,126.3518369,관광지,0,0.0768120565236407
저지오름,제주특별자치도 제주시 한경면 저지리 산 51,33.3330097,126.2509518,관광지,0,0.2238812847589172
박수기정,제주특별자치도 서귀포시 안덕면 감산리,33.2484955,126.3509503,관광지,0,0.1920103570992887
액티브파크,제주특별자치도 제주시 한림읍 금능남로 76,33.3683483,126.2446125,관광지,0,0.2429217385436729
