place,address,Latitude,Longitude,category,k_means_cluster,인기지수,환경,친환경
귤의정원바령,제주특별자치도 제주시 조천읍 선흘남3길 87,33.4777041,126.7135515,관광지,1,0.3352397535907039,2,0
성산일출봉,제주특별자치도 서귀포시 성산읍 성산리 78,33.4587135,126.9390786,관광지,1,0.4714617004303785,0,0
우도,제주특별자치도 제주시 우도면 연평리,33.5033191,126.9556775,관광지,1,0.4116439420917675,0,0
스누피가든,제주특별자치도 제주시 구좌읍 금백조로 916 2층,33.4434495,126.7797614,관광지,1,0.3808359487939559,0,0
비자림,제주특별자치도 제주시 구좌읍 비자숲길 55,33.4913168,126.8113883,관광지,1,0.3639643727011499,0,0
섭지코지,제주특별자치도 서귀포시 성산읍 섭지코지로 107,33.4305782,126.9277688,관광지,1,0.3573779183218373,0,0
김녕성세기해변인증센터,제주특별자치도 제주시 구좌읍 김녕리 497-4,33.5569898,126.7601985,관광지,1,0.3343933747470844,0,0
녹차동굴,제주특별자치도 서귀포시 표선면 성읍리 2192,33.3815749,126.7869091,관광지,1,0.3342458718966543,0,0
다랑쉬오름,제주특별자치도 제주시 구좌읍 세화리 산 6,33.4765321,126.8218552,관광지,1,0.3238496719969332,0,0
김녕해수욕장,제주특별자치도 제주시 구좌읍 해맞이해안로 7-6,33.5291668,126.8538817,관광지,1,0.3222381806732915,0,0
세기알해변,제주특별자치도 제주시 구좌읍 김녕리 1200-5,33.5576649,126.7564015,관광지,1,0.3164304934447011,0,0
다랑쉬굴,제주특별자치도 제주시 구좌읍 세화리 2608-3,33.4680066,126.8314966,관광지,1,0.314808965652761,0,0
하고수동해변,제주특별자치도 제주시 우도면 연평리,33.5033191,126.9556775,관광지,1,0.3064293793136761,0,0
올티스,제주특별자치도 제주시 조천읍 거문오름길 23-58,33.4582729,126.7133204,관광지,1,0.3056070926412959,0,0
월정리카페거리,제주특별자치도 제주시 구좌읍 월정리 652-4,33.5565713,126.794969,관광지,1,0.2980500277350537,0,0
성읍랜드,제주특별자치도 서귀포시 표선면 번영로 2650,33.3987468,126.7873305,관광지,1,0.2973475501759933,0,0
소금막해변,제주특별자치도 서귀포시 표선면 표선리,33.3225332,126.8228665,관광지,1,0.2953960991912661,0,0
제주올레1코스공식안내소,제주특별자치도 서귀포시 성산읍 시흥상동로53번길 88-46,33.4746223,126.8860014,관광지,1,0.2904587476016048,0,0
광치기해변,제주특별자치도 서귀포시 성산읍 고성리 224-33,33.4526753,126.9241174,관광지,1,0.2894767716866527,0,0
성산일출해양도립공원,제주특별자치도 서귀포시 성산읍 성산리,33.4699253,126.932416,관광지,1,0.2853134113921689,0,0
