TRRSRT_NM,AVERAGE_VISITOR
2월22일,2.0
감귤박물관,279.4555555555556
건강과성박물관,11.645454545454545
고스트타운,5.857142857142857
고흐의 정원,5.212765957446808
공룡랜드,8.791666666666666
그대나의뮤즈,14.234375
그리스신화박물관,6.6
그림카페,9.137254901960784
그림포레스트,9.045454545454545
김녕요트투어,4.617021276595745
꽃썸,4.0
노리매테마파크,3.901639344262295
노형수퍼마켙,18.275229357798164
다이나믹메이즈에피소드3,8.319444444444445
대유 ATV 수렵 사격랜드,6.5
더마파크,28.51851851851852
더힐링타임,3.814814814814815
돈키쥬쥬,3.0
디저트카페 섬타르,2.7142857142857144
디저트팩토리,2.0
마돈가,3.0
마라도가는여객선,10.548780487804878
마라도정기여객선,16.41176470588235
마라도정기여객선(운진항),8.892307692307693
만장굴,1861.9770114942528
망고레이(섭지코지점),5.5
망고홀릭종달점,3.0
메이즈랜드,161.28823529411764
바다의향기,2.6666666666666665
방림원,11.542056074766355
본초족욕 수목원테마파크,9.197530864197532
봄그리고가을리조트,15.06
봉이네해물짜장,2.0
브릭캠퍼스,14.745098039215685
비양도 도항선,7.4576271186440675
비자림,3962.688888888889
빛의벙커,499.45454545454544
뽀로로앤타요 테마파크,22.41780821917808
사뿐,3.0
산방산 암벽식물지대,401.9230769230769
산방산유람선,6.068181818181818
산방산탄산온천,9.716049382716049
삼성혈,3.5675675675675675
상효원,6.62037037037037
새별헤이요,3.6666666666666665
생각하는정원,7.2439024390243905
생각하는정원(분재예술원),3.6511627906976742
서귀포다이브,2.0
서귀포유람선,7.233333333333333
서귀포잠수함,33.235955056179776
서피플,1.0
성산일출봉,3543.2023809523807
성산포유람선,14.588235294117647
세계자동차박물관,10.673469387755102
세리월드,8.97
센트럴파크,4.181818181818182
소인국테마파크,12.12987012987013
송악왕발통,4.5
송악카트체험장,5.581818181818182
쇠소깍산물관광농원,3.0
숨도박물관,3.121212121212121
스누피가든,757.0701754385965
시크릿테마파크,2.0
신라호텔제주 뷔페,150.69767441860466
신화테마파크제주,25.5
아이스뮤지엄,17.305084745762713
아이스뮤지엄(수목원테마파크),9.702702702702704
아프리카박물관,8.595744680851064
액트몬(신화월드점),3.5
여미지식물원,60.0
영주말가든,3.090909090909091
오늘은 녹차 족욕,2.0
오설록 티뮤지엄,17.68421052631579
용머리해안,2102.0833333333335
우도잠수함,27.244444444444444
윈드1947 서바이벌,14.586206896551724
유리박물관,3.6315789473684212
유진이네횟집,4.0
일출랜드,6.806451612903226
점보빌리지,12.11
정방폭포,2975.6153846153848
제주돌마을공원,4.6
제주돌문화공원,967.7142857142857
제주레일바이크,50.203592814371255
제주무민랜드,17.272727272727273
제주민속촌,18.48076923076923
제주바다체험장,4.0344827586206895
제주수목원 플레이박스,7.15
제주실탄사격장,7.1768707482993195
제주오메오메,4.0
제주유리의성,13.709677419354838
제주조각공원,7.875
제주카약,3.3333333333333335
제주해양동물박물관,13.90677966101695
조랑말타운 승마카트,98.75438596491227
주상절리대,3781.5934065934066
중문레져UTV,2.6956521739130435
진돼지,1.0
차귀도 달래배낚시,4.851063829787234
차귀도유람선,8.821428571428571
천제연폭포,1979.2307692307693
천지연폭포,4431.978021978022
초콜릿랜드,2.8
카멜리아힐,624.3636363636364
캐릭파크,4.481481481481482
코바다이빙스쿨,1.9
코코몽에코파크,9.0
테디베어뮤지엄 제주,157.03529411764706
테디베어뮤지엄제주,103.2
테라피샹그릴라,2.3333333333333335
토스카나호텔,3.161290322580645
토종흑염소농장,3.0
포니밸리 낙타테마파크,49.2
피규어뮤지엄,23.367469879518072
하늘여행 행글라이더,5.256410256410256
하모씨워킹,3.4
한림공원,75.53205128205128
해비치호텔앤드리조트 섬모라,17.08
해비치호텔앤드리조트(섬모라),7.103896103896104
해비치호텔앤드리조트(하노루),1.0
허브동산,17.120967741935484
헬로키티아일랜드,41.92982456140351
화조원,47.79289940828402
환상의짜장,3.36
