TRRSRT_NM,total_visit,total_price,price_per_person
2월22일,10,71210,7121.0
감귤박물관,25151,17513150,696.3
건강과성박물관,1281,13083300,10213.3
고스트타운,41,267100,6514.6
고흐의 정원,245,1781500,7271.4
공룡랜드,211,1877550,8898.3
그대나의뮤즈,911,13363550,14669.1
그리스신화박물관,198,1229000,6207.1
그림카페,466,4755600,10205.2
그림포레스트,199,2005000,10075.4
김녕요트투어,217,10042320,46278.0
꽃썸,8,4000,500.0
노리매테마파크,238,1430740,6011.5
노형수퍼마켙,1992,28805580,14460.6
다이나믹메이즈에피소드3,599,7668860,12802.8
대유 ATV 수렵 사격랜드,26,616000,23692.3
더마파크,3080,34415050,11173.7
더힐링타임,103,828000,8038.8
돈키쥬쥬,84,643500,7660.7
디저트카페 섬타르,19,245680,12930.5
디저트팩토리,6,35460,5910.0
마돈가,9,257520,28613.3
마라도가는여객선,865,14496120,16758.5
마라도정기여객선,279,4774920,17114.4
마라도정기여객선(운진항),578,9475620,16393.8
만장굴,161992,479235000,2958.4
망고레이(섭지코지점),110,1684810,15316.5
망고홀릭종달점,3,0,0.0
메이즈랜드,27419,278173040,10145.3
바다의향기,8,250240,31280.0
방림원,1235,7814460,6327.5
본초족욕 수목원테마파크,745,5352540,7184.6
봄그리고가을리조트,1506,14573410,9676.9
봉이네해물짜장,2,18000,9000.0
브릭캠퍼스,1504,19627600,13050.3
비양도 도항선,440,3700150,8409.4
비자림,356642,782807500,2194.9
빛의벙커,54940,964151520,17549.2
뽀로로앤타요 테마파크,3273,46638820,14249.6
사뿐,21,17540,835.2
산방산 암벽식물지대,36575,28221500,771.6
산방산유람선,267,3837920,14374.2
산방산탄산온천,1574,14515180,9221.8
삼성혈,132,379920,2878.2
상효원,715,5638310,7885.7
새별헤이요,22,308000,14000.0
생각하는정원,297,3376900,11370.0
생각하는정원(분재예술원),157,1466640,9341.7
서귀포다이브,4,236700,59175.0
서귀포유람선,217,3259520,15020.8
서귀포잠수함,2958,142126110,48048.0
서피플,1,57000,57000.0
성산일출봉,297629,1100113500,3696.3
성산포유람선,992,11923140,12019.3
세계자동차박물관,1046,11558190,11049.9
세리월드,897,9451900,10537.2
센트럴파크,46,435000,9456.5
소인국테마파크,1868,14357290,7685.9
송악왕발통,27,526500,19500.0
송악카트체험장,307,2625500,8552.1
쇠소깍산물관광농원,15,280600,18706.7
숨도박물관,103,512340,4974.2
스누피가든,129459,2109310960,16293.3
시크릿테마파크,2,32400,16200.0
신라호텔제주 뷔페,12960,1204811650,92963.9
신화테마파크제주,612,13037000,21302.3
아이스뮤지엄,1021,11823790,11580.6
아이스뮤지엄(수목원테마파크),718,9243550,12874.0
아프리카박물관,808,6282040,7774.8
액트몬(신화월드점),21,302400,14400.0
여미지식물원,10260,106477440,10377.9
영주말가든,68,1869560,27493.5
오늘은 녹차 족욕,2,16000,8000.0
오설록 티뮤지엄,1680,37299080,22201.8
용머리해안,75675,129626900,1712.9
우도잠수함,3678,132710010,36082.1
윈드1947 서바이벌,846,17235680,20373.1
유리박물관,69,527000,7637.7
유진이네횟집,4,52000,13000.0
일출랜드,633,4777570,7547.5
점보빌리지,1211,11210310,9257.1
정방폭포,270781,409412400,1512.0
제주돌마을공원,46,205000,4456.5
제주돌문화공원,74514,196025450,2630.7
제주레일바이크,8384,97075430,11578.7
제주무민랜드,2470,29869420,12092.9
제주민속촌,2883,24632000,8543.9
제주바다체험장,117,899610,7689.0
제주수목원 플레이박스,286,3283300,11480.1
제주실탄사격장,1055,23509780,22284.2
제주오메오메,72,164400,2283.3
제주유리의성,425,3933500,9255.3
제주조각공원,63,353400,5609.5
제주카약,70,814600,11637.1
제주해양동물박물관,1641,11492260,7003.2
조랑말타운 승마카트,5629,44870900,7971.4
주상절리대,344125,529806600,1539.6
중문레져UTV,62,5142220,82939.0
진돼지,1,75900,75900.0
차귀도 달래배낚시,228,2729850,11973.0
차귀도유람선,741,9815440,13246.2
천제연폭포,180110,331779725,1842.1
천지연폭포,403310,573997000,1423.2
초콜릿랜드,14,17500,1250.0
카멜리아힐,68680,536639270,7813.6
캐릭파크,121,1592100,13157.9
코바다이빙스쿨,38,1705000,44868.4
코코몽에코파크,198,2674710,13508.6
테디베어뮤지엄 제주,13348,149385620,11191.6
테디베어뮤지엄제주,2580,28242840,10946.8
테라피샹그릴라,21,1525000,72619.0
토스카나호텔,98,4793840,48916.7
토종흑염소농장,45,221800,4928.9
포니밸리 낙타테마파크,4182,30382990,7265.2
피규어뮤지엄,3879,40073300,10330.8
하늘여행 행글라이더,205,1822100,8888.3
하모씨워킹,17,613500,36088.2
한림공원,11783,141691660,12025.1
해비치호텔앤드리조트 섬모라,427,24838850,58170.6
해비치호텔앤드리조트(섬모라),547,44006450,80450.5
해비치호텔앤드리조트(하노루),4,675780,168945.0
허브동산,2123,20625010,9715.0
헬로키티아일랜드,7170,89536090,12487.6
화조원,8077,107955380,13365.8
환상의짜장,84,156140,1858.8
