CL_NM,TRRSRT_NM,ADDR,AVERAGE_VISITOR
공연전시,건강과성박물관,서귀포시 안덕면 일주서로 1611,10.5
공연전시,고흐의 정원,서귀포시 성산읍 삼달신풍로 126-5,5.2
공연전시,그대나의뮤즈,서귀포시 안덕면 신화역사로304번길 89,8.3
공연전시,그림포레스트,서귀포시 중문관광로110번길 32,9
공연전시,노형수퍼마_,제주시 노형로 89,16.8
공연전시,빛의벙커,서귀포시 성산읍 고성리 2039-22,424.6
공연전시,세계자동차박물관,서귀포시 안덕면 중산간서로 1610,10.2
공연전시,숨도박물관,서귀포시 일주동로 8941,3.1
공연전시,아이스뮤지엄(수목원테마파크),제주시 은수길 69,9.7
공연전시,아프리카박물관,서귀포시 이어도로 49,8.3
공연전시,유리박물관,서귀포시 중산간서로 1403,3.3
공연전시,점보빌리지,서귀포시 안덕면 평화로319번길 31-11,12.1
공연전시,제주해양동물박물관,서귀포시 성산읍 서성일로 689-21,6.8
공연전시,초콜릿랜드,서귀포시 중문관광로110번길 15,2.5
공연전시,캐릭파크,제주시 조천읍 선교로 266,4.2
공연전시,테디베어뮤지엄 제주,서귀포시 중문관광로110번길 31,157
공연전시,피규어뮤지엄,서귀포시 안덕면 한창로 243,16
공연전시,헬로키티아일랜드,서귀포시 안덕면 한창로 340,34
기타,2월22일,제주시 오라로18길 10-1,2
기타,고스트타운,제주시 애월읍 부룡수길 35-12,5.9
기타,그대나의뮤즈,서귀포시 안덕면 신화역사로304번길 89 제주신화월드 서머셋클럽하우스,23.4
기타,그림카페,서귀포시 안덕면 녹차분재로 218,9.1
기타,꽃썸,서귀포시 안덕면 동광로 151,4
기타,더힐링타임,제주시 서해안로 652,3.8
기타,디저트팩토리,서귀포시 효돈순환로 217-3,2
기타,마돈가,서귀포시 안덕면 대평감산로 17 제주진미마돈가,3
기타,마라도가는여객선,서귀포시 대정읍 송악관광로 424 마라도여객선매표소,17.8
기타,마라도정기여객선,서귀포시 대정읍 최남단해안로 120,16.4
기타,망고홀릭종달점,제주시 구좌읍 종달논길 18,3
기타,바다의향기,제주시 도두항서길 71,2.7
기타,본초족욕 수목원테마파크,제주시 은수길 65,9.2
기타,봄그리고가을리조트,서귀포시 성산읍 해맞이해안로 2660 시흥근생및주택,15.1
기타,빛의벙커,서귀포시 성산읍 고성리 2039-22,754.1
기타,사뿐,제주시 오일장동길 36,3.3
기타,사뿐,제주시 오일장동길 36 원화하이츠빌라,1
기타,산방산탄산온천,서귀포시 안덕면 사계북로41번길 192,9.5
기타,삼성혈,제주시 삼성로 22,3.2
기타,성산포유람선,서귀포시 성산읍 성산리,6.7
기타,세계자동차박물관,서귀포시 안덕면 중산간서로 1610 세계자동차 제주박물관,12.2
기타,쇠소깍산물관광농원,서귀포시 남원읍 하례로 90,2
기타,영주말가든,제주시 연북로 196,3.1
기타,오늘은 녹차 족욕,서귀포시 표선면 중산간동로 4772,2
기타,오설록 티뮤지엄,서귀포시 안덕면 신화역사로 15,15.2
기타,제주수목원 플레이박스,제주시 은수길 69,7.2
기타,제주오메오메,제주시 서해안로 191,4
기타,진돼지,제주시 은수길 65,1
기타,코코몽에코파크,서귀포시 남원읍 태위로 536 제주코코몽에코파크,10.8
기타,테라피샹그릴라,서귀포시 태평로439번길 44 2층 ,2.3
기타,토스카나호텔,서귀포시 용흥로66번길 158-7,2.6
기타,토종흑염소농장,서귀포시 남원읍 자배오름로 74-275,3
기타,해비치호텔앤드리조트(섬모라),서귀포시 표선면 민속해안로 537,7.1
기타,해비치호텔앤드리조트(하노루),서귀포시 표선면 민속해안로 537,1
기타,환상의짜장,서귀포시 대정읍 마라로 45,3.5
레저,김녕요트투어,제주시 구좌읍 구좌해안로 229-16,4.6
레저,대유 ATV 수렵 사격랜드,서귀포시 상예로 381,6.5
레저,마라도가는여객선,서귀포시 대정읍 송악관광로 424,8.8
레저,마라도정기여객선(운진항),서귀포시 대정읍 최남단해안로 120,8.9
레저,비양도 도항선,제주시 한림읍 한림해안로 196,7.5
레저,산방산유람선,서귀포시 안덕면 화순해안로106번길 16,6.1
레저,산방산탄산온천,서귀포시 안덕면 사계북로41번길 192,9.9
레저,서귀포다이브,서귀포시 남원읍 하례망장포로 65-13,2
레저,서귀포유람선,서귀포시 남성중로 40,7.2
레저,서귀포잠수함,서귀포시 남성중로 40,33.2
레저,서피플,제주시 애월읍 곽지9길 21,1
레저,성산포유람선,서귀포시 성산읍 성산리,15.5
레저,세리월드,서귀포시 법환상로2번길 97-13,9
레저,송악왕발통,서귀포시 대정읍 상모리 138-3,4.5
레저,송악카트체험장,서귀포시 대정읍 송악관광로 404,5.6
레저,우도잠수함,서귀포시 성산읍 성산등용로 112-7,27.2
레저,윈드1947 서바이벌,서귀포시 토평공단로 78-27,14.6
