CL_NM,TRRSRT_NM,ADDR,TOT_ENTRN_NMPR_CO,SETLE_PRICE,PRICE_PER_PERSON
공연전시,건강과성박물관,서귀포시 안덕면 일주서로 1611,895,9429670,10535.9
공연전시,고흐의 정원,서귀포시 성산읍 삼달신풍로 126-5,245,1781500,7271.4
공연전시,그대나의뮤즈,서귀포시 안덕면 신화역사로304번길 89,325,4801000,14772.3
공연전시,그림포레스트,서귀포시 중문관광로110번길 32,199,2005000,10075.4
공연전시,노형수퍼마켙,제주시 노형로 89,1407,19867560,14120.5
공연전시,빛의벙커,서귀포시 성산읍 고성리 2039-22,36088,633866620,17564.5
공연전시,세계자동차박물관,서귀포시 안덕면 중산간서로 1610,742,8054890,10855.6
공연전시,숨도박물관,서귀포시 일주동로 8941,103,512340,4974.2
공연전시,아이스뮤지엄(수목원테마파크),제주시 은수길 69,718,9243550,12874.0
공연전시,아프리카박물관,서귀포시 이어도로 49,598,4555700,7618.2
공연전시,유리박물관,서귀포시 중산간서로 1403,20,156000,7800.0
공연전시,점보빌리지,서귀포시 안덕면 평화로319번길 31-11,935,7803110,8345.6
공연전시,제주해양동물박물관,서귀포시 성산읍 서성일로 689-21,346,2369500,6848.3
공연전시,초콜릿랜드,서귀포시 중문관광로110번길 15,10,7500,750.0
공연전시,캐릭파크,제주시 조천읍 선교로 266,71,922200,12988.7
공연전시,테디베어뮤지엄 제주,서귀포시 중문관광로110번길 31,13348,149385620,11191.6
공연전시,피규어뮤지엄,서귀포시 안덕면 한창로 243,1279,11455960,8957.0
공연전시,헬로키티아일랜드,서귀포시 안덕면 한창로 340,2892,33729640,11663.1
기타,2월22일,제주시 오라로18길 10-1,10,71210,7121.0
기타,고스트타운,제주시 애월읍 부룡수길 35-12,41,267100,6514.6
기타,그대나의뮤즈,서귀포시 안덕면 신화역사로304번길 89 제주신화월드 서머셋클럽하우스,586,8562550,14611.9
기타,그림카페,서귀포시 안덕면 녹차분재로 218,466,4755600,10205.2
기타,꽃썸,서귀포시 안덕면 동광로 151,8,4000,500.0
기타,더힐링타임,제주시 서해안로 652,103,828000,8038.8
기타,디저트팩토리,서귀포시 효돈순환로 217-3,6,35460,5910.0
기타,마돈가,서귀포시 안덕면 대평감산로 17 제주진미마돈가,9,257520,28613.3
기타,마라도가는여객선,서귀포시 대정읍 송악관광로 424 마라도여객선매표소,284,4741950,16697.0
기타,마라도정기여객선,서귀포시 대정읍 최남단해안로 120,279,4774920,17114.4
기타,망고홀릭종달점,제주시 구좌읍 종달논길 18,3,0,0.0
기타,바다의향기,제주시 도두항서길 71,8,250240,31280.0
기타,본초족욕 수목원테마파크,제주시 은수길 65,745,5352540,7184.6
기타,봄그리고가을리조트,서귀포시 성산읍 해맞이해안로 2660 시흥근생및주택,1506,14573410,9676.9
기타,빛의벙커,서귀포시 성산읍 고성리 2039-22,18852,330284900,17519.9
기타,사뿐,제주시 오일장동길 36,20,8900,445.0
기타,사뿐,제주시 오일장동길 36 원화하이츠빌라,1,8640,8640.0
기타,산방산탄산온천,서귀포시 안덕면 사계북로41번길 192,779,7321780,9398.9
기타,삼성혈,제주시 삼성로 22,73,248450,3403.4
