place,address,Latitude,Longitude,category,k_means_cluster,인기지수,환경,친환경
고집돌우럭중문점,제주특별자치도 서귀포시 일주서로 879 1층,33.2579925,126.4167597,식당,0,0.6271542959535511,5,2
칠돈가본점,제주특별자치도 제주시 서천길 1 1층,33.501532,126.5106976,식당,3,0.108777224807422,2,0
돈이랑본점,제주특별자치도 서귀포시 일주서로 953,33.257733,126.4087182,식당,0,0.3485572388814646,2,0
성산일출봉청운식당,제주특별자치도 서귀포시 성산읍 일출로 285 1층,33.4630532,126.9348949,식당,1,0.3018159037116524,2,0
선흘곶,제주특별자치도 제주시 조천읍 동백로 102,33.5081874,126.718049,식당,1,0.1993341281201427,2,0
산방산초가집,제주특별자치도 서귀포시 안덕면 화순해안로 189,33.2455947,126.3387238,식당,0,0.2379104791564677,2,0
숙성도중문점,"제주특별자치도 서귀포시 일주서로 966 1,2층",33.2584326,126.4353135,식당,0,0.1806740456250061,2,0
돈사돈월정점,제주특별자치도 제주시 구좌읍 한동북1길 29-3 1층,33.5411284,126.8280985,식당,1,0.1258507672765236,2,0
모메존흑돼지,제주특별자치도 제주시 구좌읍 세화1길 17 1층,33.5253289,126.8544273,식당,1,0.175735849237523,2,0
우진해장국,제주특별자치도 제주시 서사로 11,33.5114884,126.5200864,식당,3,0.4233903254750907,1,0
미영이네식당,제주특별자치도 서귀포시 대정읍 하모항구로 42,33.2176507,126.2499045,식당,0,0.2585270052505473,1,0
해왓,제주특별자치도 서귀포시 성산읍 신고로 30-1,33.43851,126.9171019,식당,1,0.2013801290129051,1,0
다정이네올레시장본점,제주특별자치도 서귀포시 동문로 59-1,33.2494552,126.5669792,식당,2,0.231372078756762,1,0
흑돼지BBQ,제주특별자치도 서귀포시 태평로353번길 7,33.2468281,126.5597385,식당,2,0.2822755023800236,1,0
복자씨연탄구이,제주특별자치도 서귀포시 성산읍 해맞이해안로 2764,33.4692355,126.9198688,식당,1,0.2699489390433338,1,0
돈사돈별관,제주특별자치도 제주시 광평동로 15 1층,33.4816791,126.470795,식당,3,0.1422951592014509,1,0
램앤블랙(구.램하우스),제주특별자치도 제주시 조천읍 교래1길 45,33.4362496,126.6736319,식당,3,0.3329917621056861,1,0
흑돼지패밀리,제주특별자치도 서귀포시 남원읍 중산간동로 6924,33.2882567,126.6510896,식당,2,0.2472806800949676,1,0
올레삼다정,제주특별자치도 서귀포시 태평로537번길 48,33.2530797,126.569959,식당,2,0.2478436525209793,1,0
애월연어,제주특별자치도 제주시 애월읍 하소로 660,33.4256269,126.3957718,식당,0,0.2576976989577023,1,0
스시권,제주특별자치도 제주시 노형로 401,33.4854144,126.4779779,식당,3,0.2128381360762574,1,0
함쉐프키친,제주특별자치도 서귀포시 대포중앙로 116,33.2456029,126.4324826,식당,0,0.1930155961598373,1,0
갈치공장,제주특별자치도 제주시 구좌읍 해맞이해안로 1296,33.5291668,126.8538817,식당,1,0.3075990069995106,1,0
연리지가든,제주특별자치도 제주시 한경면 두조로 190-20 다동 1층,33.3444986,126.2027639,식당,0,0.1135810767902272,0,1
연돈,제주특별자치도 서귀포시 일주서로 968-10 1층,33.2589317,126.4072788,식당,0,0.1983721315322084,0,0
숙성도노형점,제주특별자치도 제주시 원노형로 41,33.4850283,126.4850965,식당,3,0.1758675405415577,0,0
고집돌우럭제주공항점,제주특별자치도 제주시 임항로 30,33.5163432,126.5281752,식당,3,0.3975667949569949,0,0
고집돌우럭함덕점,제주특별자치도 제주시 조천읍 신북로 491-9 2층,33.5430312,126.6627219,식당,3,0.4340923513665669,0,0
색달식당중문갈치조림구이본점,제주특별자치도 서귀포시 예래로 255-18 하예동350 색달식당중문본점,33.2451213,126.3852784,식당,0,0.3818664902120424,0,0
이춘옥의원조고등어쌈밥,제주특별자치도 제주시 애월읍 일주서로 7213 1층,33.4889528,126.4187075,식당,3,0.2274042221120036,0,0
제주김만복본점,제주특별자치도 제주시 오라로 41,33.4968071,126.5111965,식당,3,0.1977523895571004,0,0
중문수두리보말칼국수,제주특별자치도 서귀포시 천제연로 192 1층,33.2515765,126.4251078,식당,0,0.2905110812465405,0,0
맛나식당,제주특별자치도 서귀포시 성산읍 동류암로 41,33.4485794,126.9160712,식당,1,0.1829231554856518,0,0
곰막식당,제주특별자치도 제주시 구좌읍 구좌해안로 64,33.5570179,126.7278068,식당,1,0.2041089090165276,0,0
춘심이네본점,제주특별자치도 서귀포시 안덕면 창천중앙로24번길 16,33.2647393,126.3705871,식당,0,0.2140180134225493,0,0
은희네해장국본점,제주특별자치도 제주시 고마로13길 8,33.5085228,126.5408037,식당,3,0.0625426895814885,0,0
착한집,제주특별자치도 제주시 서광로 98,33.4999552,126.5070561,식당,3,0.2469347305635031,0,0
한림칼국수,제주특별자치도 제주시 한림읍 한림해안로 141,33.4155701,126.2615642,식당,0,0.1253924992512432,0,0
바다를본돼지제주협재판포본점,제주특별자치도 제주시 한경면 판포1길 16 1층,33.3654583,126.1979731,식당,0,0.1204540888085192,0,0
더바루시아,제주특별자치도 서귀포시 안덕면 난드르로 49-19,33.2349631,126.363794,식당,0,0.1158638793239814,0,0
제주김만복애월점,제주특별자치도 제주시 애월읍 애월해안로 255 2층,33.4782235,126.3665625,식당,0,0.1978503342854484,0,0
김희선제주몸국,제주특별자치도 제주시 어영길 45-6 1층,33.5185392,126.4981208,식당,3,0.2016177306371439,0,0
제주오성식당,제주특별자치도 서귀포시 중문관광로 27 2층,33.2487954,126.4198849,식당,0,0.291851370928829,0,0
신설오름,제주특별자치도 제주시 고마로17길 2,33.505459,126.5416299,식당,3,0.2012622835179176,0,0
바다를본돼지제주서귀포점,제주특별자치도 서귀포시 칠십리로 123 2층,33.2431104,126.5675903,식당,2,0.2055163144727169,0,0
삼대국수회관본점,제주특별자치도 제주시 삼성로 41,33.5068926,126.5301142,식당,3,0.1203767149624849,0,0
제주김만복동문시장점,제주특별자치도 제주시 북성로 65 1층,33.5156844,126.5208593,식당,3,0.2445389192457076,0,0
갈치왕중문점,제주특별자치도 서귀포시 일주서로 1146,33.2646227,126.3908426,식당,0,0.2992302212623879,0,0
국수마당본점,제주특별자치도 제주시 삼성로 65,33.5080638,126.5322532,식당,3,0.1492962828931538,0,0
고이정본점,제주특별자치도 제주시 애월읍 애월로 6 A동 1층,33.4630969,126.3173357,식당,0,0.2987625395950697,0,0
상춘재,제주특별자치도 제주시 조천읍 선진길 26 1층,33.4586588,126.7048435,식당,1,0.2416913450964434,0,0
살아있는해물뚝배기어마장장,제주특별자치도 제주시 성지로 62,33.5110843,126.5299184,식당,3,0.2167949732126998,0,0
당케올레국수,제주특별자치도 서귀포시 표선면 민속해안로 584,33.3229914,126.8248631,식당,1,0.1389821487898377,0,0
국수바다본점,제주특별자치도 서귀포시 일주서로 982,33.2584326,126.4353135,식당,0,0.1211959892993407,0,0
만덕이네,제주특별자치도 서귀포시 표선면 서성일로 16,33.3933279,126.8012316,식당,1,0.1172065350906507,0,0
원담,제주특별자치도 제주시 동광로1길 13,33.5021631,126.5288339,식당,3,0.2212198018977133,0,0
일통이반,제주특별자치도 제주시 중앙로2길 25 1층,33.5170648,126.5221484,식당,3,0.0332783479097677,0,0
큰돈가중문점,"제주특별자치도 서귀포시 천제연로 89 1,2층",33.2551064,126.4152612,식당,0,0.2499721568049234,0,0
국시트멍,제주특별자치도 제주시 진군길 31-3 1층,33.4793473,126.4813944,식당,3,0.1938532914797212,0,0
충민정,제주특별자치도 제주시 남성로 26-1,33.5025067,126.5132852,식당,3,0.3504769107631633,0,0
스시애월,제주특별자치도 제주시 애월읍 애월로9길 50-3,33.4665125,126.3193173,식당,0,0.2363001878976305,0,0
제주어멍통갈치,제주특별자치도 제주시 서해안로 372,33.5116588,126.4843053,식당,3,0.2588262451402409,0,0
솔지식당,제주특별자치도 제주시 월랑로 88,33.4924474,126.4726221,식당,3,0.1671429953422605,0,0
문개항아리조천본점,제주특별자치도 제주시 조천읍 조함해안로 217-1,33.5534876,126.6440569,식당,3,0.4148304247934296,0,0
치저스,제주특별자치도 제주시 구좌읍 비자림로 1785,33.467852,126.7724183,식당,1,0.2548444132732355,0,0
동해미락,제주특별자치도 서귀포시 칠십리로 133,33.2436722,126.5683032,식당,2,0.2113809141175608,0,0
해월정,제주특별자치도 제주시 구좌읍 해맞이해안로 2340,33.5291668,126.8538817,식당,1,0.2010996344844682,0,0
모살물,제주특별자치도 제주시 삼무로3길 14,33.4904731,126.4945135,식당,3,0.0587934217873302,0,0
제주에가면,제주특별자치도 제주시 탑동로 119 1층,33.5147226,126.5180767,식당,3,0.2359506130358152,0,0
별돈별정원점,제주특별자치도 제주시 한경면 고산로8길 21-15 1층,33.3079882,126.1803326,식당,0,0.1427145116049017,0,0
다가미,제주특별자치도 제주시 도남로 111,33.4904468,126.5287275,식당,3,0.1282134144130263,0,0
골막식당,제주특별자치도 제주시 천수로 12,33.5024655,126.5384668,식당,3,0.1781694727327221,0,0
제주김만복김밥서귀포점,제주특별자치도 서귀포시 월드컵로 117 1층,33.2390498,126.5068234,식당,2,0.2038396720092434,0,0
고씨네천지국수,제주특별자치도 서귀포시 중앙로79번길 4,33.2517365,126.560833,식당,2,0.2637183415164951,0,0
올레왕갈치,제주특별자치도 서귀포시 중앙로42번길 9 1층,33.248556,126.5628176,식당,2,0.2461124832307298,0,0
도토리키친본점,제주특별자치도 제주시 북성로 59 1층,33.5153851,126.5186671,식당,3,0.1828087135368149,0,0
산방식당,제주특별자치도 서귀포시 대정읍 하모이삼로 62,33.223395,126.2543017,식당,0,0.133224686657064,0,0
연동마라도횟집,제주특별자치도 제주시 신광로8길 3,33.4868335,126.4895539,식당,3,0.1310123952728845,0,0
뽈살집제주본점,제주특별자치도 서귀포시 중정로91번길 41 1층,33.2508467,126.5629443,식당,2,0.2530833727129246,0,0
산도롱맨도롱,제주특별자치도 제주시 구좌읍 해맞이해안로 2284 1층,33.5291668,126.8538817,식당,1,0.0352518220955836,0,0
신우성흑돼지,제주특별자치도 서귀포시 중문관광로72번길 29-9,33.2496778,126.4113633,식당,0,0.3305215268821272,0,0
국수만찬,제주특별자치도 제주시 은남3길 1,33.4871347,126.4955611,식당,3,0.2486269392720551,0,0
옥만이네,제주특별자치도 제주시 한림읍 한림해안로 160 1층,33.4164432,126.2635216,식당,0,0.1261272320719011,0,0
훈남횟집,제주특별자치도 제주시 조천읍 함덕13길 7 1층,33.5420803,126.6679293,식당,3,0.2341707991223992,0,0
은혜전복,제주특별자치도 제주시 애월읍 애월로1길 24-3,33.4624642,126.3102678,식당,0,0.1932239037411686,0,0
산지해장국,제주특별자치도 제주시 임항로 34 1층,33.5163515,126.5285668,식당,3,0.2203418660180985,0,0
제주마당,제주특별자치도 제주시 도리로 50 2층,33.5008197,126.4643053,식당,3,0.1554774498729327,0,0
이금돈지,제주특별자치도 제주시 노연로 143,33.4860864,126.4954286,식당,3,0.1196646138158307,0,0
효퇴국수,제주특별자치도 제주시 서사로 122-1,33.5015363,126.5196628,식당,3,0.137701011472641,0,0
데미안,제주특별자치도 제주시 한경면 고조로 492-15 1층,33.3158471,126.2025732,식당,0,0.3375858464677487,0,0
부두식당,제주특별자치도 서귀포시 대정읍 하모항구로 62,33.2187678,126.2511222,식당,0,0.1506522482077135,0,0
바당길,제주특별자치도 제주시 한림읍 한림서길 18,33.4097548,126.2585778,식당,0,0.1537023255305135,0,0
자리돔횟집,제주특별자치도 서귀포시 동홍동로 7,33.2555395,126.5747673,식당,2,0.1966378330586401,0,0
소금바치순이네,제주특별자치도 제주시 구좌읍 해맞이해안로 2196,33.5291668,126.8538817,식당,1,0.2472520620997204,0,0
은희네해장국서귀포점,제주특별자치도 서귀포시 516로 84,33.3384938,126.61069,식당,2,0.2013206544839676,0,0
시골길,제주특별자치도 제주시 연동13길 9,33.4888428,126.494786,식당,3,0.2054549085872769,0,0
로빙화,"제주특별자치도 서귀포시 남원읍 남태해안로 13 1, 2층",33.2751317,126.7093291,식당,2,0.2437621904939145,0,0
은희네해장국함덕점,제주특별자치도 제주시 조천읍 조함해안로 480,33.5430105,126.6642252,식당,3,0.1220660081601316,0,0
애월흑돼지애월그때그집본점,제주특별자치도 제주시 애월읍 애월해안로 97 1층,33.4782235,126.3665625,식당,0,0.2847022637821544,0,0
깡촌흑돼지,제주특별자치도 제주시 조천읍 함덕14길 2,33.5412881,126.6671156,식당,3,0.2262747174973861,0,0
천짓골식당,제주특별자치도 서귀포시 중앙로41번길 4,33.2482417,126.5613677,식당,2,0.1935123788655696,0,0
바다속고등어쌈밥,제주특별자치도 제주시 애월읍 일주서로 7089,33.4842697,126.4068534,식당,3,0.0788863171674457,0,0
가시식당,제주특별자치도 서귀포시 표선면 가시로565번길 22,33.3531055,126.7715294,식당,1,0.1142808396706973,0,0
산지물본점,제주특별자치도 제주시 임항로 26,33.5162775,126.5275789,식당,3,0.0400968009082022,0,0
몬스터살롱,제주특별자치도 제주시 애월읍 일주서로 6017,33.4482531,126.3072817,식당,0,0.2414652014046203,0,0
제주판타스틱버거,제주특별자치도 서귀포시 표선면 토산중앙로15번길 6,33.3084898,126.7790718,식당,1,0.2074727374780114,0,0
한림칼국수공항점,제주특별자치도 제주시 광평중길 82,33.4788593,126.4676751,식당,3,0.158833901838101,0,0
난드르바당,제주특별자치도 서귀포시 하예하동로16번길 11-1,33.2346331,126.3712777,식당,0,0.1569097650393181,0,0
갈치요리전문점만족한상회,제주특별자치도 서귀포시 중문상로 58-5 1층,33.2532837,126.4267136,식당,0,0.288833157497923,0,0
남춘식당,제주특별자치도 제주시 청귤로 12,33.4996504,126.5375918,식당,3,0.2013662819971615,0,0
진아떡집,제주특별자치도 제주시 동문로4길 7-1,33.5123688,126.5284577,식당,3,0.2434449443460025,0,0
봉순이네흑돼지,제주특별자치도 서귀포시 대정읍 영어도시로 64 1층,33.2798179,126.2737676,식당,0,0.2330701467659316,0,0
촌촌해녀촌,제주특별자치도 제주시 구좌읍 동복로 35,33.5534723,126.710211,식당,1,0.098790935364123,0,0
제주늘봄,제주특별자치도 제주시 고사마루길 6,33.4797692,126.4717107,식당,3,0.0304032496039813,0,0
제주한라국수,제주특별자치도 서귀포시 천제연로188번길 17,33.2502561,126.4245006,식당,0,0.1304131092301493,0,0
곱들락,제주특별자치도 제주시 조천읍 함덕18길 19 101호,33.5386457,126.6711623,식당,3,0.2321437153962259,0,0
태광식당,제주특별자치도 제주시 탑동로 142,33.5126542,126.5187352,식당,3,0.1552042196036428,0,0
안녕협재씨제주협재점,제주특별자치도 제주시 한림읍 금능길 12 1층,33.3881374,126.2294884,식당,0,0.2083197413811794,0,0
은희네해장국2호점,제주특별자치도 제주시 연북로 178,33.481375,126.5003537,식당,3,0.1117266258920273,0,0
제주약수터본점,제주특별자치도 서귀포시 중앙로 35 1층,33.2477094,126.5617231,식당,2,0.2570976953109025,0,0
오롯,제주특별자치도 제주시 신설로11길 2-10 1층,33.4912804,126.5445739,식당,3,0.2153303065709504,0,0
장수물식당,제주특별자치도 제주시 연문2길 18,33.491902,126.4986712,식당,3,0.1987417390327452,0,0
닻,제주특별자치도 제주시 애월읍 하귀2리 2726,33.4860879,126.3921047,식당,0,0.1269092193375807,0,0
황해식당,제주특별자치도 제주시 우정로 6 1층,33.4923356,126.4307048,식당,3,0.2208811029218615,0,0
하원가흑돼지,제주특별자치도 서귀포시 이어도로 278,33.240469,126.493008,식당,2,0.3128311136260198,0,0
정직한돈본점,제주특별자치도 제주시 애월읍 애월해안로 253,33.4675271,126.339144,식당,0,0.2583320683395633,0,0
골목,제주특별자치도 제주시 조천읍 함덕7길 6-14,33.5438536,126.6618188,식당,3,0.5942535664054652,0,0
만월당,제주특별자치도 제주시 구좌읍 월정1길 56 1층,33.5561414,126.7930377,식당,1,0.2481635585853776,0,0
고등어쌈밥,제주특별자치도 서귀포시 성산읍 섭지코지로25번길 122-5,33.4494963,126.920717,식당,1,0.0509455554415574,0,0
공천포식당,제주특별자치도 서귀포시 남원읍 공천포로 89,33.2664055,126.6426731,식당,2,0.1943710446300569,0,0
식당마요네즈,제주특별자치도 제주시 다랑곶3길 18 1층,33.4888858,126.4787446,식당,3,0.1739112511557177,0,0
순수한둠비,제주특별자치도 제주시 서문로 37-11 1층,33.5111219,126.5145499,식당,3,0.2068358081252371,0,0
더꽃돈협재점,제주특별자치도 제주시 한림읍 한림로 366 1층,33.3953254,126.2426345,식당,0,0.2114526823387584,0,0
부촌,제주특별자치도 서귀포시 성산읍 동류암로 33,33.4489266,126.9170058,식당,1,0.218855309422504,0,0
제주본참숯불갈비,제주특별자치도 제주시 원노형남1길 31,33.4840958,126.4838238,식당,3,0.2109509444004821,0,0
