place,address,Latitude,Longitude,category,k_means_cluster,인기지수,환경,친환경
한림공원,제주특별자치도 제주시 한림읍 한림로 300,33.3894949,126.2396825,관광지,0,0.2819333503297394,5,0
제주곶자왈도립공원,제주특별자치도 서귀포시 대정읍 에듀시티로 178,33.279349,126.2763069,관광지,0,0.245213239685809,2,0
귤의정원바령,제주특별자치도 제주시 조천읍 선흘남3길 87,33.4777041,126.7135515,관광지,1,0.3352397535907039,2,0
금능해수욕장,제주특별자치도 제주시 한림읍 금능길 119-10,33.391126,126.2363373,관광지,0,0.2937624662804597,1,0
천지연폭포,제주특별자치도 서귀포시 서홍동 2565,33.2683636,126.5529615,관광지,2,0.2767912245063791,1,0
9.81파크,제주특별자치도 제주시 애월읍 천덕로 880-24,33.4353027,126.3219516,관광지,0,0.197815795807155,1,0
새연교,제주특별자치도 서귀포시 서홍동 707-4,33.2384632,126.5589787,관광지,2,0.1898540782098441,1,0
화조원,제주특별자치도 제주시 애월읍 납읍리 58,33.4113881,126.3717903,관광지,0,0.0407784453020219,1,0
제주레포츠랜드,제주특별자치도 제주시 조천읍 와흘상서2길 47,33.4823902,126.6386812,관광지,3,0.4430839319676107,1,0
파더스가든,제주특별자치도 서귀포시 안덕면 병악로 44-33,33.2805107,126.3655186,관광지,0,0.0178424198772152,1,0
한라생태숲,제주특별자치도 제주시 516로 2596,33.430924,126.595761,관광지,3,0.2087921012934046,1,0
민오름,제주특별자치도 제주시 오라이동 산 28-1,33.4752267,126.5072534,관광지,3,0.1657059028364907,1,0
제주탐나라공화국,제주특별자치도 제주시 한림읍 한창로 897,33.3497668,126.3055719,관광지,0,0.1039358122033918,1,0
거린사슴전망대,제주특별자치도 서귀포시 1100로 823,33.3073168,126.4548441,관광지,0,0.225857176211978,1,0
왕이메,제주특별자치도 서귀포시 안덕면 광평리 산 79,33.340233,126.374785,관광지,0,0.1824998126841369,1,0
민오름,제주특별자치도 제주시 봉개동 산 64 일대,33.4363994,126.6366437,관광지,3,0.0689678887457552,1,0
카멜리아힐,제주특별자치도 서귀포시 안덕면 병악로 166,33.2901143,126.3684044,관광지,0,0.4517378313402859,0,1
거문오름,제주특별자치도 제주시 조천읍 선교로 569-36,33.4727191,126.7061921,관광지,1,0.1916756180141242,0,1
붉은오름자연휴양림,제주특별자치도 서귀포시 표선면 남조로 1487-73,33.3788614,126.6823176,관광지,2,0.1383098660817252,0,1
하례감귤체험농장,제주특별자치도 서귀포시 남원읍 중산간동로 6596-3,33.2992401,126.6811519,관광지,2,0.3020932345250245,0,1
산양곶자왈,제주특별자치도 제주시 한경면 청수리 6,33.3188801,126.2615687,관광지,0,0.1393899718367682,0,1
남원큰엉해변,제주특별자치도 서귀포시 남원읍 태위로 522-17,33.2733787,126.7037541,관광지,2,0.277438752012157,0,0
함덕해수욕장,제주특별자치도 제주시 조천읍 조함해안로 525,33.5427175,126.6692481,관광지,3,0.3750520861198101,0,0
협재해수욕장,제주특별자치도 제주시 한림읍 한림로 329-10,33.3938461,126.2397141,관광지,0,0.4706930351707422,0,0
이호테우해수욕장,제주특별자치도 제주시 이호일동 1665-13,33.4968145,126.4528609,관광지,3,0.1588266806086831,0,0
성산일출봉,제주특별자치도 서귀포시 성산읍 성산리 78,33.4587135,126.9390786,관광지,1,0.4714617004303785,0,0
김녕해수욕장,제주특별자치도 제주시 구좌읍 해맞이해안로 7-6,33.5291668,126.8538817,관광지,1,0.3222381806732915,0,0
섭지코지,제주특별자치도 서귀포시 성산읍 섭지코지로 107,33.4305782,126.9277688,관광지,1,0.3573779183218373,0,0
사려니숲길,제주특별자치도 제주시 조천읍 교래리 산 137-1,33.4276176,126.6665803,관광지,3,0.2893112415897244,0,0
용머리해안,제주특별자치도 서귀포시 안덕면 사계리,33.237032,126.3020597,관광지,0,0.3131978435621955,0,0
곽지해수욕장,제주특별자치도 제주시 애월읍 곽지리 1565,33.4507522,126.3056339,관광지,0,0.3140211033524123,0,0
비자림,제주특별자치도 제주시 구좌읍 비자숲길 55,33.4913168,126.8113883,관광지,1,0.3639643727011499,0,0
황우지해안,제주특별자치도 서귀포시 천지동 765-7,33.2417089,126.5505189,관광지,2,0.1806732949590093,0,0
중문색달해수욕장,제주특별자치도 서귀포시 색달동 3039,33.2814107,126.4111118,관광지,0,0.1145212876038833,0,0
새별오름,제주특별자치도 제주시 애월읍 봉성리 산 59-8,33.3689588,126.3505941,관광지,0,0.3642143672418554,0,0
산방산,제주특별자치도 서귀포시 안덕면 사계리 산 16,33.2426249,126.3137339,관광지,0,0.3409697081789947,0,0
마라도,제주특별자치도 서귀포시 대정읍 마라로101번길 46,33.1185369,126.2673483,관광지,0,0.2092243639339281,0,0
중문대포주상절리대,제주특별자치도 서귀포시 이어도로 36-30,33.240469,126.493008,관광지,2,0.2068694708851197,0,0
용두암,제주특별자치도 제주시 용두암길 15,33.5149624,126.5116869,관광지,3,0.1442444564243309,0,0
표선해수욕장,제주특별자치도 서귀포시 표선면 표선리,33.3225332,126.8228665,관광지,1,0.2193772261084553,0,0
세화해변,제주특별자치도 제주시 구좌읍 해녀박물관길 27,33.5234279,126.8624058,관광지,1,0.268271411128554,0,0
정방폭포,제주특별자치도 서귀포시 동홍동 299-3,33.2450247,126.5716804,관광지,2,0.3281795813189331,0,0
만장굴,제주특별자치도 제주시 구좌읍 만장굴길 182,33.5291,126.7714308,관광지,1,0.1998628351141026,0,0
월정리해수욕장,제주특별자치도 제주시 구좌읍 월정리 33-3,33.5551183,126.7986235,관광지,1,0.2148468515820896,0,0
한라산국립공원,제주특별자치도 제주시 오등동 산 182,33.3718377,126.5298401,관광지,2,0.2352920229341505,0,0
산굼부리,제주특별자치도 제주시 조천읍 교래리 166-2,33.4276176,126.6665803,관광지,3,0.210600320973603,0,0
