place,환경,친환경
올레길 7코스(서귀포-월평 올레),0,0
올레길 1코스(시흥-광치기 올레),0,0
올레길 6코스(쇠소깍-서귀포 올레),0,0
올레길 18코스(제주원도심-조천 올레),0,0
올레길 5코스(남원-쇠소깍 올레),0,0
올레길 17코스(광령-제주원도심 올레),0,0
올레길 13코스(용수-저지 올레),0,0
올레길 10코스(화순-모슬포 올레),0,0
올레길 16코스(고내-광령 올레),0,0
올레길 8코스(월평-대평 올레),0,0
올레길 4코스(표선-남원 올레),0,0
올레길 20코스(김녕-하도 올레),0,0
올레길 19코스(조천-김녕 올레),0,0
올레길 9코스(대평-화순 올레),0,0
올레길 12코스(무릉-용수 올레),0,0
올레길 21코스,0,0
올레길 14-1코스(저지-서광 올레),0,0
올레길 1-1코스(우도-올레),0,0
올레길 7-1코스(월드컵경기장-서귀포 올레),0,0
올레길 3-B코스(온평-표선 올레),0,0
올레길 18-1코스(추자도-올레),0,0
올레길 3-A코스(온평-표선 올레),0,0
올레길 10-1코스(가파도 올레),0,0
남원큰엉해변,0,0
함덕해수욕장,0,0
협재해수욕장,0,0
이호테우해수욕장,0,0
성산일출봉,0,0
김녕해수욕장,0,0
섭지코지,0,0
사려니숲길,0,0
금능해수욕장,1,0
용머리해안,0,0
곽지해수욕장,0,0
천지연폭포,1,0
비자림,0,0
황우지해안,0,0
중문색달해수욕장,0,0
새별오름,0,0
산방산,0,0
마라도,0,0
중문대포주상절리대,0,0
9.81파크,1,0
용두암,0,0
표선해수욕장,0,0
세화해변,0,0
정방폭포,0,0
만장굴,0,0
새연교,1,0
카멜리아힐,0,1
월정리해수욕장,0,0
한라산국립공원,0,0
산굼부리,0,0
쇠소깍,0,0
도두동무지개해안도로,0,0
절물자연휴양림,0,0
천제연폭포,0,0
도두봉,0,0
사계해변,0,0
신창풍차해안도로,0,0
우도,0,0
제주허브동산,0,0
금오름,0,0
한라수목원,0,0
윈드1947카트테마파크,0,0
한림공원,5,0
서귀포치유의숲,0,0
광치기해변,0,0
송악산,0,0
삼양해수욕장,0,0
수월봉,0,0
거문오름,0,1
안돌오름,0,0
항파두리 항몽유적지,0,0
한라산국립공원 성판악탐방로,0,0
메이즈랜드,0,0
애월해안도로,0,0
한담해안산책로,0,0
서우봉,0,0
코난해변,0,0
용눈이오름,0,0
백약이오름,0,0
비양도,0,0
수목원테마파크,0,0
제주곶자왈도립공원,2,0
스누피가든,0,0
화조원,1,0
한라산1100고지,0,0
소천지,0,0
관덕정,0,0
이중섭거리,0,0
아부오름,0,0
김녕미로공원,0,0
다랑쉬오름,0,0
원앙폭포,0,0
브릭캠퍼스 제주,0,0
군산,0,0
가파도,0,0
에코랜드테마파크,0,0
논짓물해변,0,0
제주돌문화공원,0,0
제주불빛정원,0,0
창꼼,0,0
청굴물,0,0
제주레포츠랜드,1,0
엉또폭포,0,0
따라비오름,0,0
한라산국립공원 영실탐방로,0,0
송악산둘레길,0,0
서귀포자연휴양림,0,0
선녀와나무꾼 테마공원,0,0
돌염전,0,0
형제해안도로,0,0
파더스가든,1,0
제주동백수목원,0,0
월령선인장군락지,0,0
소인국테마파크,0,0
제주4.3평화공원,0,0
제주중문관광단지,0,0
안덕계곡,0,0
사라봉,0,0
동백포레스트,0,0
쇠소깍관광지,0,0
바운스슈퍼파크 제주센터,0,0
저지오름,0,0
서프라이즈테마파크,0,0
한라생태숲,1,0
교래자연휴양림,0,0
추자도,0,0
닭머르,0,0
박수기정,0,0
어승생,0,0
혼인지,0,0
액티브파크,0,0
하도해변,0,0
삼성혈,0,0
붉은오름자연휴양림,0,1
지미봉,0,0
제주코코몽에코파크,0,0
물영아리,0,0
일출랜드,0,0
별방진,0,0
마방목지,0,0
엉덩물계곡,0,0
동백동산,0,0
백록담,0,0
용연계곡,0,0
하례감귤체험농장,0,1
곶자왈,0,0
한라산국립공원 관음사탐방로,0,0
서귀다원,0,0
유채꽃프라자,0,0
검멀레해변,0,0
우도산호해변,0,0
수월봉전망대,0,0
산양큰엉곶,0,0
닭머르해안길 1코스,0,0
삼다수숲길,0,0
한라산 성판악탐방안내소,0,0
알뜨르비행장,0,0
상가리야자숲,0,0
신창풍차해안,0,0
수월봉지질트레일,0,0
돈내코유원지,0,0
수산봉,0,0
평대리해수욕장,0,0
머체왓숲길 방문객지원센터,0,0
5.16도로숲터널,0,0
아끈다랑쉬오름,0,0
방림원,0,0
제주유채꽃도로,0,0
큰노꼬메오름,0,0
황우지선녀탕,0,0
영주산,0,0
오늘은카트레이싱,0,0
하고수동해변,0,0
흑돼지거리,0,0
제주올레여행자센터,0,0
태웃개,0,0
신화워터파크,0,0
용담해안도로,0,0
엉알해안,0,0
세리월드,0,0
위미동백나무군락,0,0
문도지오름,0,0
신양섭지해수욕장,0,0
차귀도,0,0
