place,insta,Naver_rate,Naver_review_num,kakao_rate,kakao_review_num
원앤온리,"90,774",4.34,10043,4.0,466
퍼시픽리솜더클리프카페&펍,0,0.0,0,3.8,359
카페나모나모,"4,172",4.44,3207,4.6,351
울트라마린,"36,177",4.57,1302,4.5,253
드르쿰다in성산,"18,668",4.48,1134,4.5,239
유동커피,"61,600",0.0,0,4.2,335
베케,"31,033",4.45,971,3.8,97
목장카페드르쿰다,"8,943",4.39,4963,4.3,220
오르다,"42,010",0.0,0,3.7,72
뷰스트,"12,402",4.43,2114,3.8,94
테라로사서귀포점,"1,906",4.51,4079,4.1,144
휴일로,"16,595",0.0,0,4.3,127
명월국민학교,"76,401",0.0,0,3.9,88
커피템플,"19,682",4.56,755,4.4,97
카페서연의집,"2,471",4.35,1001,3.7,89
카페라라라,"5,276",4.61,3601,4.8,795
외도339,"10,531",4.46,2206,4.4,113
아줄레주,"33,583",4.57,1227,4.0,158
꽃이피다앤블라썸,125,0.0,0,4.6,49
클랭블루,"15,109",4.46,1245,4.5,320
도렐제주본점,717,4.5,1234,3.7,180
마틸다,"117,757",4.44,591,3.5,73
인그리드,"10,496",4.52,529,4.0,52
카페이피엘(휴업중),0,0.0,0,3.7,69
제주바솔트,"2,782",0.0,0,4.3,43
카페더콘테나,"7,866",4.57,758,4.0,57
블랑로쉐,"36,696",0.0,3827,4.1,168
썬셋클리프,"5,567",4.3,798,4.4,205
제레미,"9,317",4.64,401,4.6,97
섬타르,"19,161",4.73,1109,4.5,186
커피파인더,"7,797",4.54,515,4.8,138
쪼끌락,"10,189",0.0,846,3.8,68
벙커하우스,"5,241",4.43,1354,4.3,103
구좌상회작업실,"5,604",4.35,792,3.7,89
커피스케치,"3,051",4.66,1274,4.5,53
마마롱,"13,220",4.55,739,3.7,63
쉼표,"121,279",0.0,0,3.5,71
니모메,"6,343",0.0,0,4.0,69
와토커피,"10,609",4.53,312,4.4,89
미쿠니,"5,687",4.6,884,4.5,97
브와두스베이커리카페연동점,0,0.0,0,4.7,175
카페한라산,"24,931",4.61,2048,3.7,143
마음에온,"4,433",0.0,0,4.5,55
미스틱3도,"8,876",4.4,1100,4.3,44
머문,"4,504",4.41,1368,3.8,53
당당,"28,113",0.0,0,3.7,103
본카페애월,188,0.0,0,4.4,71
허니문하우스,"17,419",4.45,3298,4.3,174
비브레이브혁신도시점,609,4.57,711,4.4,65
베메로bakemakeroast,0,4.64,865,4.7,799
오늘은녹차한잔,"6,340",4.56,1977,4.3,69
모뉴에트,"8,185",4.58,1141,4.3,74
호랑호랑,"3,009",0.0,0,3.9,69
카페태희,"6,086",4.52,653,4.3,113
달빛제주,"4,626",4.54,281,4.6,23
모래비,"3,099",0.0,0,4.5,173
모노클제주,"5,531",4.55,883,4.0,51
카페공작소,"44,949",4.57,334,3.6,58
청춘부부,"14,672",4.66,566,4.6,56
아뜰리에안,"10,486",4.35,548,4.0,42
슬랩,"6,894",0.0,0,4.8,158
스타벅스제주용담DT점,0,0.0,0,3.7,84
빠빠라기신제주점,22,4.51,608,4.5,37
두갓,"3,198",4.59,406,4.8,42
그러므로파트2,338,4.47,976,4.1,56
트라인커피,"7,721",4.46,508,4.3,69
카페바나나함덕점,362,4.75,1857,4.5,90
프로젝트064다방,"1,634",0.0,150,4.2,53
앨리스,"245,498",0.0,0,4.4,65
카페콜라,"13,732",4.46,712,4.2,60
카페동백,"13,552",4.52,369,4.0,28
스테이위드커피,"4,767",4.52,637,4.4,75
수마,"1,846",0.0,441,4.7,107
그초록,"13,891",4.55,774,4.3,85
카페노티드제주애월,170,4.46,12484,3.5,160
코코티에,"2,733",4.34,1193,4.1,59
망고홀릭제주본점,405,4.49,506,4.5,50
다소니,"14,510",0.0,0,4.2,35
요요무문,"8,689",4.46,355,4.3,78
스타벅스제주함덕점,531,4.44,7795,4.0,97
블루보틀제주카페,51,4.54,3857,3.8,89
1158족욕카페,358,4.62,395,4.8,19
그계절,"22,235",4.48,660,3.8,48
텐저린카페,"3,256",4.63,3012,4.2,61
말로,"13,055",0.0,0,4.2,46
마노커피하우스,"1,659",4.76,302,4.8,140
서귀피안,"11,318",0.0,0,3.5,23
엘파소,"7,847",4.83,1710,4.5,31
망고레이섭지코지점,462,4.42,765,3.6,45
어제보다오늘,"7,376",4.47,421,4.4,44
비마이게스트,"5,814",0.0,449,4.2,76
카페진정성종점,"4,411",4.44,2240,3.9,83
빽다방베이커리제주사수점,19,4.51,7123,4.3,124
오늘의바다,"9,357",0.0,240,4.7,46
와랑와랑,"10,683",4.52,414,4.3,59
카페그라나다,967,4.32,331,4.0,16
카페리,"14,421",0.0,0,4.6,71
사계생활,"6,389",4.43,340,4.1,49
카페도두,"2,899",4.18,123,4.3,25
스타벅스성산일출봉점,"2,013",4.45,4551,3.5,46
에스프레소라운지,"16,950",4.43,1826,3.7,46
모모제이,"5,521",4.43,339,3.5,35
5L2F(오엘이에프),0,4.63,432,4.4,57
서홍정원,"9,144",4.48,252,4.4,44
스물다섯,"56,810",4.66,90,4.9,32
컴플리트커피연동점,0,0.0,0,3.6,52
시루애월,"6,260",4.39,417,3.5,52
인스밀,"35,260",4.41,2446,3.5,85
스타벅스제주노형점,136,4.52,3321,4.2,30
Pickus피커스,0,4.44,484,4.8,20
제주설심당본점,23,4.23,663,3.9,18
듀포레,"3,611",4.53,1825,4.4,57
