place,insta,Naver_rate,Naver_review_num,kakao_rate,kakao_review_num
연돈,"47,043",0.0,0,3.9,458
숙성도노형점,103,0.0,0,4.1,423
우진해장국,"66,667",4.41,14116,3.7,863
고집돌우럭제주공항점,372,4.71,5819,4.8,986
고집돌우럭함덕점,"2,132",4.76,6857,4.9,1090
색달식당중문갈치조림구이본점,0,4.6,6126,4.6,1297
고집돌우럭중문점,"5,662",4.77,13227,4.9,3319
이춘옥의원조고등어쌈밥,296,0.0,0,4.3,491
제주김만복본점,"7,499",4.28,5138,3.6,582
중문수두리보말칼국수,"2,220",4.63,3406,4.4,434
맛나식당,"21,688",4.46,2888,3.5,257
곰막식당,"5,374",4.47,3679,3.8,246
춘심이네본점,"12,421",4.45,4270,3.8,159
은희네해장국본점,"1,721",0.0,0,3.7,158
착한집,"9,158",0.0,0,4.4,345
칠돈가본점,"6,168",0.0,0,3.9,116
한림칼국수,"13,408",0.0,0,3.9,184
미영이네식당,"6,640",4.53,2686,4.3,290
바다를본돼지제주협재판포본점,0,0.0,0,4.0,94
더바루시아,246,0.0,1,4.0,89
제주김만복애월점,"1,379",4.23,3119,4.0,449
김희선제주몸국,"1,596",4.46,2372,4.0,185
제주오성식당,"1,203",4.68,6196,4.2,164
신설오름,"6,198",4.41,1383,4.1,176
바다를본돼지제주서귀포점,0,4.49,2155,4.1,69
삼대국수회관본점,"1,331",4.22,2562,3.5,167
제주김만복동문시장점,174,4.36,3254,4.3,428
갈치왕중문점,17,4.67,1563,4.7,348
국수마당본점,409,4.34,2348,3.7,110
고이정본점,154,4.61,5091,4.4,302
상춘재,"8,142",4.54,1999,4.2,275
살아있는해물뚝배기어마장장,"1,500",0.0,0,4.4,148
해왓,"2,511",4.47,1412,4.1,138
당케올레국수,"4,424",4.35,1713,3.6,145
국수바다본점,"12,664",0.0,1617,3.8,366
만덕이네,"7,181",4.28,1421,3.5,82
원담,"5,976",4.71,1625,4.0,80
일통이반,"9,327",0.0,1335,3.5,99
큰돈가중문점,"1,085",4.63,1247,4.4,165
다정이네올레시장본점,14,4.33,3891,4.2,308
국시트멍,"3,001",4.46,1677,4.0,156
충민정,"6,509",4.77,3598,4.7,494
스시애월,"4,251",4.59,435,4.4,87
제주어멍통갈치,"1,836",4.38,1437,4.6,387
솔지식당,"5,411",4.39,960,3.9,104
문개항아리조천본점,635,4.79,8843,4.7,656
치저스,"11,057",4.76,3510,4.0,59
동해미락,"1,091",4.65,800,4.1,121
해월정,"17,310",4.22,2572,3.9,457
모살물,"2,961",0.0,0,3.7,104
제주에가면,"5,349",4.5,1250,4.4,58
별돈별정원점,623,0.0,0,4.1,86
다가미,"1,339",4.33,1589,3.6,87
골막식당,"2,465",4.4,1047,4.0,139
