place,insta,Naver_rate,Naver_review_num,kakao_rate,kakao_review_num
라마다프라자제주호텔,0,4.43,1812,3.7,72
롯데호텔제주,"57,345",4.58,1486,4.3,98
베니키아호텔제주,737,3.87,100,3.6,77
베니키아중문호텔,271,4.31,105,4.0,11
호텔더본제주,0,4.46,2257,4.1,88
서머셋제주신화월드,"7,664",4.4,519,3.5,40
호텔리젠트마린,277,0.0,0,3.9,97
롯데시티호텔제주,"8,044",4.51,579,4.3,82
해비치호텔앤드리조트제주,48,4.54,3132,4.3,112
제주부영호텔앤리조트,945,4.5,1341,3.8,65
히든클리프호텔&네이쳐,0,4.47,1788,3.5,118
호텔케니서귀포,0,4.39,819,3.9,110
코업시티호텔성산,"6,942",4.24,767,3.6,103
오션스위츠제주호텔,460,4.29,490,3.6,58
제주신라호텔,"169,630",4.68,4011,4.4,118
파크선샤인제주,"2,155",4.63,841,4.1,76
위호텔,"6,831",4.39,862,3.6,46
유니호텔앤풀빌라,0,4.48,1385,4.1,61
코업시티호텔하버뷰,"5,099",4.4,428,3.8,67
토스카나호텔,"23,687",4.59,658,3.9,51
캠퍼트리호텔앤리조트,"7,235",4.4,443,3.8,40
리치호텔,947,4.15,80,3.8,37
호텔레오,685,4.49,200,4.5,56
스위트메이서귀포호텔,13,4.41,262,4.1,34
스위트호텔제주점,0,0.0,0,3.5,34
호텔윈스토리,33,4.23,327,4.4,46
아리아호텔,"2,969",4.19,45,4.8,38
아이진호텔,376,4.13,232,4.1,31
제주항공우주호텔,736,4.14,161,3.9,25
제주팔레스호텔,48,0.0,7,4.0,39
호텔난타,"1,932",4.5,518,4.2,85
퍼스트70,57,0.0,0,3.7,71
유어스호텔,962,4.3,325,3.9,25
호텔브릿지서귀포,151,0.0,150,4.2,21
아스타호텔,"1,207",0.0,0,4.0,45
브리즈베이호텔,279,4.63,64,4.3,23
아시아호텔,371,4.33,177,3.5,26
서귀포호텔,0,0.0,0,4.9,14
빠레브호텔,"7,341",4.43,374,3.5,28
호텔휴식서귀포,51,0.0,236,4.0,41
노블피아,31,0.0,0,3.9,36
제주호텔더엠,68,4.38,176,4.1,59
제주노블레스관광호텔,224,4.21,281,3.7,23
윈스카이호텔,"3,793",4.29,157,4.0,38
벤티모호텔앤레지던스,134,4.81,259,4.7,60
호텔서귀피안,"1,705",4.54,1414,3.9,21
제주샹그릴라호텔앤리조트,311,0.0,11,3.7,9
호텔앨리스&트렁크,0,0.0,0,4.2,16
하이레지던스,165,0.0,0,4.6,19
까사로마호텔,847,4.49,141,4.1,38
모슬포호텔1동,0,0.0,0,4.4,18
더스테이센추리호텔,543,4.28,200,3.5,30
호텔시드니,17,0.0,0,3.6,18
BK호텔제주,0,4.22,114,4.4,30
블룸호텔,672,4.34,185,4.0,10
심스호텔,280,4.36,141,3.6,17
디아넥스호텔,"5,162",4.51,323,3.8,23
티라호텔,303,4.6,288,4.5,42
이스턴호텔제주,0,4.45,245,3.5,18
제주갤럭시호텔,24,4.18,77,4.8,12
스카이호텔,"1,003",4.1,144,4.2,20
팜파스호텔제주,108,4.27,107,3.6,30
제주스테이인성산,42,4.38,373,3.5,31
루체빌,321,4.33,567,4.1,7
브릿지레지던스호텔,66,4.44,114,4.4,16
하버호텔,253,4.48,194,4.6,19
호텔휴안스테이,0,4.48,98,3.8,21
어반스테이제주연동,0,0.0,37,4.1,9
신신호텔천지연,201,4.2,250,3.5,76
호텔엘린,0,0.0,9,5.0,25
서귀포KAL호텔,0,0.0,0,4.1,58
에코랜드호텔,"2,858",0.0,115,3.9,8
호텔징크,18,5.0,29,4.0,4
호텔화인제주,48,4.69,48,4.1,7
피노호텔,225,0.0,0,4.6,36
제주썬호텔&카지노,0,0.0,0,5.0,2
호텔스카브로,595,4.36,37,4.2,12
이화호텔,368,0.0,3,3.5,15
호텔펄리플러스,0,4.55,31,3.9,8
르메인호텔,435,4.9,420,4.1,20
뜨레비호텔,0,0.0,42,3.8,6
글래즈하임호텔,968,4.11,26,4.5,13
일레인호텔,522,4.59,232,4.5,19
호텔52,106,0.0,49,3.5,15
라림부띠끄호텔,"1,632",4.47,152,3.5,16
파밀리아호텔,46,4.41,41,4.0,10
하이제주호텔,163,4.28,30,3.7,7
그랜드밀리언스호텔서귀포,0,4.44,244,4.1,19
오션패밀리호텔,198,4.13,118,3.5,33
트로피컬하이드어웨이,"2,351",4.49,76,4.2,15
제주자몽호텔,0,4.73,97,3.8,10
참피온호텔,14,4.5,23,3.6,16
제주해군호텔,215,4.49,249,5.0,2
JW메리어트제주,0,0.0,0,5.0,4
썬랜드호텔,23,4.13,20,3.9,11
꼬뜨도르호텔,344,4.0,17,5.0,5
펠리시아호텔,26,4.8,34,5.0,11
블루마운틴호텔,34,4.05,32,3.7,22
라인호텔,911,0.0,13,4.4,8
호텔B,0,0.0,0,4.0,16
씨앤호텔,244,0.0,0,3.5,23
레슬리호텔,171,4.29,31,4.4,8
리벤시아풀빌라호텔,25,4.2,60,3.8,16
해리안호텔,54,4.68,63,5.0,11
호텔연,165,0.0,0,3.9,14
천지연호텔,236,4.25,12,4.7,6
해마호텔,155,3.95,17,3.8,14
더그랜드섬오름본관,0,0.0,0,4.1,43
런호텔,110,0.0,0,4.0,9
메르블루호텔,59,4.6,324,3.6,9
파인힐호텔,130,0.0,0,3.8,12
씨클리프호텔제주,0,0.0,7,5.0,4
인덱스제이드림호텔,3,0.0,0,4.0,8
제이뷰호텔,260,0.0,5,4.0,3
베드라디오도두봉,111,0.0,17,5.0,9
애월비치호텔,0,0.0,9,4.7,3
휴스테이금호,15,4.8,90,5.0,16
몽듀호텔,832,4.76,225,4.0,10
르메인호텔서귀포,9,4.38,123,4.7,39
오션블루호텔,28,0.0,6,3.8,9
퓨어스테이,0,3.72,20,4.0,3
호텔MCC,0,4.15,18,3.5,35
호텔스테이인터뷰제주,0,4.47,55,3.7,6
에이원호텔,339,3.25,19,4.8,6
제주푸른호텔,21,0.0,28,4.6,11
호텔메이저2,2,4.3,54,4.0,8
엘렌호텔,32,4.0,42,5.0,3
하니크라운호텔,137,4.33,21,4.0,3
호텔펄리,0,4.1,68,4.2,9
스탠포드호텔앤리조트제주,31,0.0,17,5.0,2
스와브호텔,344,4.7,20,4.0,7
호텔W신제주점,0,0.0,0,5.0,1
드림제주호텔,4,4.25,46,4.0,4
오로라호텔,198,4.76,124,5.0,3
코너스톤호텔,48,0.0,71,4.3,9
모슬포호텔3동,0,0.0,0,3.9,21
헤르츠호텔,39,4.31,67,3.5,8
레브호텔,20,4.31,20,3.6,5
호텔하루시다,94,0.0,5,5.0,1
오렌지호텔,241,0.0,13,5.0,6
제주골프호텔,11,0.0,4,4.0,1
그랜드조선힐스위트,"1,256",0.0,0,5.0,7
메이저호텔,23,4.41,20,3.7,3
호텔버지니아,0,0.0,9,4.7,11
모멘토호텔,45,0.0,9,5.0,1
아이존호텔,0,4.55,19,5.0,1
호텔홀라인제주협재점,0,4.85,308,5.0,3
더퍼스트호텔,19,0.0,0,3.5,2
씨앤하우스,252,0.0,0,5.0,2
탐라지오호텔,0,0.0,15,4.0,3
샤이니호텔,163,0.0,1,4.0,4
엔파제주호텔,203,4.67,15,5.0,2
i마이다스레지던스호텔,0,0.0,1,5.0,5
호텔캘리포니아,"1,594",0.0,0,5.0,3
제주TheMHotel,0,4.63,28,3.7,3
탑동호텔,290,4.38,13,4.0,1
예그린하우스,41,0.0,0,4.2,11
뉴크라운호텔,12,0.0,1,5.0,1
제주코아호텔,0,0.0,2,5.0,1
에메랄드호텔,33,0.0,0,5.0,1
파크비치호텔,17,0.0,0,5.0,1
제주필링굿하우스,0,0.0,0,5.0,2
EQSTAY,0,4.6,318,3.7,3
바솔트호텔,0,0.0,0,5.0,2
위너스호텔,376,4.36,222,4.0,2
은하호텔,6,0.0,0,5.0,1
라이프리버호텔,0,0.0,0,5.0,1
산방산호텔,604,0.0,128,4.0,14
호텔케니모슬포,276,4.47,185,3.7,29
제주인관광호텔,0,4.32,489,5.0,1
