place,insta,Naver_rate,Naver_review_num,kakao_rate,kakao_review_num
마레보비치호텔,"1,007",0.0,49,3.5,33
제주엘루이호텔,17,3.85,42,3.5,6
신신호텔서귀포점,8,0.0,0,3.9,34
코자호텔,19,4.43,322,4.0,24
아인스호스텔,0,4.48,64,4.0,17
아라팰리스호텔,10,0.0,6,3.8,6
대동호텔,675,4.47,42,4.2,16
시티홀호텔,9,0.0,0,3.5,4
오라스테이,12,4.33,84,4.0,15
아루미호텔협재점,109,4.87,66,3.5,4
호텔G,0,4.02,33,3.5,13
성산아쿠아비치호텔,140,4.26,66,3.5,14
메종드씨엘하버39호텔앤리조트,10,0.0,49,4.0,2
제주R호텔,0,4.25,255,4.0,10
트루엘레지던스,0,4.69,92,4.2,5
마로호스텔,65,4.43,311,4.4,7
노형호텔,52,3.75,38,4.5,4
호텔DK,0,4.36,68,3.8,21
베누스무인텔,0,4.86,13,5.0,3
메이플호텔,535,4.33,22,3.5,2
호텔탑아일랜드,0,0.0,0,5.0,2
르네상스호텔,"6,824",0.0,12,5.0,4
바다해호텔,55,4.18,23,4.9,8
신세계호텔,450,0.0,10,3.9,9
늘송파크텔,0,0.0,11,3.7,3
호텔랑주,0,4.5,16,4.3,7
에메랄드호텔에이스,0,4.62,23,3.7,3
골든파크호텔,13,3.98,41,3.8,13
헤라무인텔,0,0.0,4,4.0,4
제주올레호텔,0,0.0,2,4.1,12
성산호텔,"4,174",0.0,0,4.3,6
이채호텔,13,0.0,6,4.4,10
스마트무인텔,0,0.0,8,5.0,3
모나코모텔,5,0.0,2,5.0,2
제주스위트호텔,"2,024",4.45,799,5.0,2
오케이모텔,6,0.0,8,5.0,4
뷰무인텔,0,0.0,3,5.0,2
라임모텔,5,0.0,11,3.6,5
꿈의바다,159,0.0,3,4.3,7
진모텔,0,0.0,9,4.4,16
풀하우스호텔,0,0.0,0,5.0,1
초이호스텔제주,119,0.0,0,4.5,12
남산모텔,5,0.0,9,5.0,6
타기모텔,0,0.0,8,5.0,3
호텔버킹검,0,0.0,8,4.3,3
호호네미니호텔,308,0.0,15,5.0,5
찰리호텔,0,0.0,3,5.0,2
기린모텔,8,0.0,1,5.0,2
휴모텔,42,0.0,7,5.0,2
이아호텔,11,4.45,29,5.0,1
호텔더레드,0,4.3,28,5.0,1
벨라유나,0,0.0,0,4.0,3
소담여관,20,0.0,0,4.0,2
호텔더단잠,0,0.0,12,5.0,1
스타성모텔,0,0.0,1,4.0,1
한라모텔,2,0.0,14,4.2,6
글로벌모텔,0,0.0,9,5.0,4
호텔모닝캄,18,0.0,7,4.0,1
휴무인텔,70,0.0,0,5.0,1
사쿠라호텔,58,4.5,15,5.0,1
서사라호텔,0,0.0,0,5.0,1
록산모텔,0,0.0,3,4.5,2
쌈지모텔,0,0.0,7,5.0,2
한울드라이브인호텔,0,0.0,0,5.0,1
프린스장모텔,0,0.0,0,4.5,2
비양도모텔,0,3.91,20,5.0,2
탑모텔,32,0.0,2,4.1,9
캐피탈모텔,2,4.35,16,4.5,2
제주영성모텔,0,0.0,3,5.0,1
제주산올레모텔,0,0.0,20,4.0,1
사모아,"3,635",0.0,11,4.0,1
해마루모텔,5,0.0,6,4.0,1
남강여관,0,0.0,2,3.7,3
모슬포2호텔,0,4.88,99,5.0,7
월정여관,469,4.96,370,5.0,2
글로리스테이,0,0.0,2,5.0,2
오렌지,"457,103",0.0,0,4.0,1
별관모텔,0,0.0,0,5.0,1
셀라모텔,0,0.0,9,5.0,3
조아모텔,3,0.0,4,4.5,2
한두모텔,0,0.0,1,4.5,4
퀸호텔,11,0.0,3,5.0,1
모텔준,0,0.0,0,5.0,1
상하이호텔,"1,323",3.99,40,4.0,1
송원모텔,0,0.0,0,5.0,1
만금장,0,0.0,0,5.0,1
미미여관,0,0.0,0,4.0,1
힐링하우스,"9,575",0.0,0,5.0,1
나인하우스,510,0.0,0,4.0,1
브라보,"32,278",4.54,218,4.5,2
수모텔,"1,497",0.0,3,4.0,1
폭포장모텔,0,0.0,7,4.0,1
만복모텔,0,0.0,0,4.0,1
대정모텔,7,0.0,0,4.7,3
너랑나랑게스트하우스,281,4.81,200,4.8,9
