place,insta,Naver_rate,Naver_review_num,kakao_rate,kakao_review_num
미르빌펜션&리조트,0,0.0,0,3.6,16
에코그린리조트,"3,531",4.34,829,4.1,22
라임오렌지빌,253,4.28,167,4.0,4
풀빌라소랑,"1,146",4.3,1978,4.0,15
통나무파크,"2,259",4.51,2714,4.4,14
엠스테이펜션,293,4.54,806,4.6,15
편운산장,594,4.34,302,3.6,14
아르츠스파&풀빌라,0,4.43,823,3.9,17
제이라움,892,4.55,334,4.3,17
더갤러리펜션,"1,855",4.48,1086,3.8,6
아침해변펜션,40,4.16,80,5.0,1
보물섬,"61,789",0.0,0,4.3,6
제주브릭스,"1,172",0.0,0,4.6,17
드라마2015풀빌라,30,0.0,0,4.4,9
바다위에펜션,264,4.81,287,4.7,16
골든비치펜션,114,4.38,72,4.5,4
호랑호랑펜션,437,4.8,130,4.2,26
표선해비치펜션,212,4.78,202,5.0,2
은빌레펜션,398,4.67,60,4.5,6
뭉클펜션,189,4.58,157,5.0,4
제주에코스위츠,443,4.77,1039,4.9,8
큐티파이호텔,273,0.0,57,4.1,11
부티크스테이스놉,32,4.47,368,4.1,16
해뜨는성펜션,30,4.79,17,4.9,18
가시리유채꽃길펜션,20,0.0,0,5.0,11
제주봄스테이,479,4.46,130,4.0,6
나인스파빌,"1,480",0.0,323,3.6,10
홍스랜드,800,0.0,0,5.0,3
코코스펜션,410,4.52,323,4.7,12
제주담스파빌,627,4.63,710,3.9,17
비앤썬펜션,140,4.23,11,4.5,10
빈티지1950카페펜션,0,0.0,0,4.9,13
해담은스파빌,496,4.33,226,4.7,9
조유암펜션,224,4.78,18,4.5,17
끄라비펜션,55,4.64,130,4.4,7
제주올레돔펜션,471,4.66,413,4.3,8
디오션힐,112,4.45,102,4.0,11
뷰티플하우스,79,4.4,48,5.0,20
나디아펜션,59,4.51,93,3.8,8
건축학개론펜션,313,4.47,249,5.0,6
W오션펜션,0,4.45,293,4.7,6
제주솔한옥펜션,50,4.84,34,5.0,8
마녀의언덕,740,0.0,122,3.8,10
브라운캐빈,349,4.65,85,5.0,8
솔펜션,568,0.0,0,3.6,11
해바라기펜션,"1,054",4.88,1750,5.0,3
더비비스제주,468,4.33,1284,3.5,13
애월바다향기펜션,0,4.42,86,5.0,11
보우힐리조트&펜션,0,4.68,114,4.8,25
달토끼펜션,235,3.84,56,4.4,7
감귤향기힐링파크,375,4.38,26,5.0,5
펜션연리,735,4.68,1335,4.2,6
아모르하우스,"2,166",4.26,100,3.9,8
제이앤클로이,"1,382",4.65,1684,3.6,21
중문통나무펜션&리조트,0,0.0,0,5.0,3
게우지코지펜션,292,0.0,24,4.3,12
마린포트리조트,42,4.6,105,4.7,7
지미안펜션,124,4.5,138,4.4,14
제주아비앙또,316,4.63,1162,4.3,30
제주파도소리펜션,0,0.0,0,4.3,7
제주팜파스펜션,0,0.0,0,4.9,8
푸르다오션펜션,300,4.72,984,4.1,15
낭만제주펜션,187,0.0,0,4.7,3
돈내코펜션,263,4.76,270,5.0,8
한담풍경하우스,39,4.91,546,5.0,6
로그밸리펜션,"1,603",4.79,67,5.0,3
함덕서우재,182,0.0,0,5.0,6
쉬멍놀멍,656,0.0,0,4.8,14
북촌플레이스,"3,714",0.0,0,4.8,4
해와돌바라기펜션,142,4.67,106,5.0,4
이루다펜션,159,4.89,362,4.8,12
스타하우스,"1,379",0.0,0,4.0,4
큰엉해올레펜션,39,4.81,178,4.6,8
오션하우스,360,4.33,361,4.1,10
쥬디스펜션,423,4.52,193,5.0,5
고내1101,459,4.9,1601,4.3,3
제주다모르,27,4.71,448,5.0,3
솔라시도펜션,231,4.52,249,4.7,15
화이트캐슬펜션,52,4.67,67,4.0,7
성산해맞이펜션,0,4.35,47,3.7,3
월령코지펜션,45,4.47,108,5.0,4
뽀요요펜션카페,29,4.57,584,4.2,10
올레하우스펜션본관,0,0.0,0,4.0,6
제주펜션오다,21,4.66,176,3.8,6
해모랏펜션,173,4.8,205,5.0,13
더썸펜션,441,4.8,649,5.0,9
늘바다통나무펜션,73,4.41,135,4.0,11
646미터퍼세크,"1,183",4.62,941,4.1,9
노인과바다펜션,15,4.85,30,5.0,4
조이랜드,"1,971",3.57,33,4.7,7
씨에나펜션,39,4.95,40,4.9,7
달빛바다펜션,336,4.94,105,4.5,2
보름펜션,580,4.93,85,5.0,8
귤한가,"1,452",0.0,0,5.0,5
라비아펜션,101,4.87,27,4.3,3
제주삼다호스텔펜션,0,0.0,0,3.5,8
제주올레로,189,0.0,0,4.3,8
플라이진하우스,411,4.56,111,5.0,2
해변산책,"10,623",4.76,494,4.2,5
바다풍경펜션,"2,130",4.23,158,5.0,3
바다그리기,"5,703",4.63,118,4.0,4
룸엣155,187,4.71,132,4.0,3
바닷가하우스펜션,54,4.25,239,4.8,6
타워펜션,19,0.0,25,5.0,4
그랑빌펜션,574,4.01,339,5.0,2
밧돌펜션하우스,0,4.65,88,4.9,9
제주행복스케치펜션,0,4.92,55,3.9,7
성산우리집펜션,102,4.83,318,4.8,10
제주그린나래,20,0.0,0,4.7,16
웨스티하우스,"1,039",4.86,363,5.0,1
소담펜션,641,3.94,34,5.0,3
두리안펜션,37,4.96,62,5.0,13
제주애월풀빌라,704,0.0,0,5.0,2
서문레지던스,0,0.0,21,5.0,3
애월해안누리펜션,44,4.65,18,4.8,4
별빛두방울펜션,122,4.48,25,4.6,17
반하크라펜션,28,4.34,63,4.6,12
캠프해리,210,4.81,392,4.7,9
오렌지슈가펜션,20,3.84,63,4.0,3
삼일삼오,"1,682",0.0,8,4.1,8
자멍펜션,196,4.78,126,5.0,4
루나마르풀리조트,258,4.7,525,4.5,6
보롬코지펜션,"8,270",4.79,129,4.8,4
소울펜션,443,4.53,23,5.0,4
풀스토리풀빌라,206,0.0,0,4.0,4
벨루가,"103,971",4.72,341,5.0,1
허브인휴양펜션,114,4.43,32,5.0,2
씨에코비치,13,3.97,77,4.3,3
제주다온재,"1,186",0.0,0,5.0,1
세도나중문풀빌라,965,0.0,9,3.7,13
대정펜션,634,0.0,0,5.0,1
고스트하우스,"2,727",5.0,21,4.6,8
서귀포귤림성,358,4.58,641,5.0,2
금단영펜션,106,4.79,149,5.0,7
섯동네펜션,301,4.59,312,4.2,5
팜스빌리지,790,0.0,0,3.7,3
우도피아펜션,193,4.75,555,4.6,10
