place,Top5,무료,혜택,친환경,추천,식재료,제주산,에너지,환경,비건,야경
원앤온리,"['카페', '가격', '커피', '산방산', '음료']",0,0,0,23,0,0,0,0,0,0
퍼시픽리솜 더클리프카페&펍,"['분위기', '가격', '음식', '음료', '칵테일']",0,0,0,12,0,0,0,0,0,1
카페나모나모,"['커피', '카페', '디저트', '분위기', '음료']",1,0,0,18,0,0,0,0,0,4
울트라마린,"['친절', '커피', '카페', '사장', '직원']",0,0,0,14,0,0,0,0,0,0
드르쿰다in성산,"['사진', '음료', '카페', '포토', '해변']",0,1,0,10,0,0,0,0,0,4
유동커피,"['커피', '가격', '아메리카노', '친절', '송산동']",1,0,0,14,0,0,1,0,0,0
베케,"['정원', '커피', '카페', '음료', '사진']",0,0,0,1,0,0,0,0,0,0
목장카페드르쿰다,"['승마', '체험', '카트', '카페', '사진']",4,0,0,9,0,0,0,0,0,0
오르다,"['커피', '사진', '카페', '자리', '사람']",1,0,0,5,0,0,0,0,0,0
뷰스트,"['커피', '음료', '카페', '디저트', '자리']",0,0,0,3,0,0,0,0,0,0
테라로사 서귀포점,"['커피', '분위기', '테라로사', '카페', '감귤']",0,0,0,3,0,0,0,0,0,0
휴일로,"['커피', '카페', '음료', '가격', '맛집']",0,0,0,6,0,0,0,1,0,0
명월국민학교,"['카페', '커피', '음료', '사진', '추억']",0,0,0,2,0,0,0,0,0,0
커피템플,"['커피', '친절', '분위기', '에스프레소', '제주']",0,0,0,5,0,0,0,0,0,0
카페서연의집,"['커피', '친절', '카페', '사람', '건축학개론']",0,0,0,3,0,0,0,0,0,0
카페라라라,"['당근', '케이크', '카페', '주스', '엽서']",9,0,0,25,0,0,0,0,0,0
외도339,"['커피', '카페', '분위기', '바다', '가격']",0,0,0,3,0,0,0,0,0,0
아줄레주,"['타르트', '에그', '카페', '음료', '커피']",0,0,0,5,0,0,0,0,0,0
꽃이피다앤블라썸,"['브런치', '커피', '음식', '사진', '분위기']",0,0,1,1,0,0,0,0,0,0
클랭블루,"['카페', '음료', '커피', '사진', '디저트']",0,0,0,23,0,0,1,0,0,0
도렐 제주본점,"['클라우드', '커피', '직원', '아메리카노', '땅콩']",0,1,0,3,0,0,0,0,0,0
마틸다,"['분위기', '음악', '사람', '청곡', '노래']",0,0,0,2,0,0,0,0,0,0
인그리드,"['커피', '사람', '카페', '사진', '그레이']",1,0,0,2,0,0,0,0,0,0
카페이피엘 (휴업중),"['카페', '커피', '친절', '분위기', '도시락']",0,0,0,6,0,0,0,0,0,0
제주바솔트,"['선물', '친절', '카페', '여행', '제주']",0,0,0,1,0,0,0,0,0,0
카페더콘테나,"['음료', '사진', '감귤', '카페', '체험']",0,0,0,3,0,0,0,0,0,0
블랑로쉐,"['땅콩', '아이스크림', '크림', '커피', '우도']",0,0,0,5,0,0,0,0,0,0
썬셋클리프,"['분위기', '음악', '음료', '사람', '한잔']",0,0,0,8,0,0,0,0,0,0
제레미,"['커피', '제레미', '친절', '사장', '카페']",0,0,0,5,0,0,0,0,0,0
섬타르,"['타르트', '에그', '디저트', '종류', '맛집']",0,0,0,10,0,0,0,0,0,0
커피파인더,"['커피', '수박', '친절', '주스', '카페']",0,1,0,8,0,0,0,0,0,0
쪼끌락,"['돌하르방', '커피', '음료', '사진', '친절']",0,0,0,0,0,0,0,0,0,0
벙커하우스,"['커피', '바다', '음료', '카페', '맛집']",0,0,0,4,0,0,0,0,0,0
구좌상회작업실,"['당근', '케익', '케이크', '커피', '분위기']",0,0,0,0,0,0,0,0,0,0
커피스케치,"['커피', '용머리', '음료', '카페', '해안']",0,0,0,2,0,0,0,0,0,0
마마롱,"['디저트', '커피', '친절', '레어', '케이크']",0,0,0,2,0,0,0,0,0,0
쉼표,"['커피', '음료', '바다', '빙수', '카페']",0,0,0,1,0,0,0,0,0,0
니모메,"['분위기', '카페', '바다', '커피', '친절']",0,0,0,4,0,0,0,0,0,0
와토커피,"['커피', '알프스', '크림', '제주', '그니']",0,0,0,4,0,0,0,0,0,0
미쿠니,"['커피', '밀크티', '카페', '분위기', '디저트']",0,0,0,6,0,0,0,1,0,0
브와두스 베이커리카페 연동점,"['커피', '버터', '타르트', '맛집', '종류']",3,0,0,12,0,0,0,0,0,0
카페한라산,"['당근', '케이크', '카페', '친절', '커피']",0,0,0,3,0,0,0,0,0,0
마음에온,"['분위기', '친절', '사장', '음료', '디저트']",0,0,0,0,0,0,0,0,0,0
미스틱3도,"['정원', '커피', '카페', '음료', '가격']",0,0,0,3,0,0,0,0,0,0
머문,"['커피', '카페', '바다', '친절', '경치']",0,0,0,0,0,0,0,0,0,0
당당,"['수플레', '파스타', '음식', '친절', '방문']",0,0,0,7,0,0,0,0,0,0
본카페 애월,"['커피', '친절', '사장', '카페', '음료']",1,0,0,7,0,0,0,0,0,0
허니문하우스,"['카페', '커피', '호텔', '음료', '가격']",0,0,0,4,0,0,0,0,0,0
비브레이브 혁신도시점,"['커피', '친절', '직원', '카페', '가격']",0,0,0,3,0,0,0,0,0,0
베메로 bake make roast,"['베이글', '커피', '카페', '샌드위치', '친절']",2,0,0,28,0,0,0,1,0,0
