place,Top5,무료,혜택,친환경,추천,식재료,제주산,에너지,환경,비건
라마다프라자 제주호텔,"['호텔', '객실', '화장실', '소리', '친절']",1,0,0,1,0,0,0,0,0
롯데호텔 제주,"['호텔', '친절', '직원', '서비스', '조식']",0,0,0,5,0,0,0,0,0
베니키아호텔 제주,"['호텔', '직원', '친절', '성비', '예약']",1,0,0,2,0,0,0,2,0
베니키아중문호텔,"['주차장', '주차', '성비', '관광지', '근처']",0,0,0,0,0,0,0,0,0
호텔더본 제주,"['호텔', '조식', '성비', '쿠폰', '가격']",6,0,0,3,0,0,0,0,0
서머셋 제주신화월드,"['중국', '리조트', '가족', '최고', '자본']",0,0,0,0,0,0,0,1,0
호텔리젠트마린,"['호텔', '위치', '주차', '가격', '친절']",0,0,0,2,0,0,0,0,0
롯데시티호텔 제주,"['수영장', '친절', '조식', '직원', '호텔']",0,0,0,2,0,0,0,0,0
해비치호텔앤드리조트 제주,"['호텔', '리조트', '수영장', '조식', '시설']",0,0,0,4,0,0,0,0,0
제주부영호텔앤리조트,"['수영장', '리조트', '호텔', '성비', '방문']",3,0,0,3,0,0,0,0,0
히든클리프호텔&네이쳐,"['수영장', '호텔', '직원', '친절', '서비스']",3,0,0,5,0,0,0,0,0
호텔 케니 서귀포,"['가격', '호텔', '시장', '성비', '위치']",2,0,0,3,0,0,0,0,0
코업시티호텔 성산,"['성산', '일출봉', '조식', '호텔', '가격']",3,0,0,4,0,0,0,0,0
오션스위츠 제주호텔,"['친절', '직원', '공항', '호텔', '침대']",1,1,0,4,0,0,0,0,0
제주신라호텔,"['서비스', '신라', '최고', '호텔', '수영장']",1,0,0,3,0,0,0,1,0
파크선샤인제주,"['호텔', '조식', '가격', '성비', '소리']",1,0,0,3,0,0,0,0,0
위호텔,"['호텔', '수영장', '조식', '직원', '친절']",6,0,0,4,0,0,0,1,0
유니호텔 앤 풀빌라,"['호텔', '숙소', '친절', '시설', '빌라']",0,0,0,2,0,0,0,0,0
코업시티호텔 하버뷰,"['호텔', '주차', '친절', '주차장', '주변']",0,0,0,2,0,0,0,0,0
토스카나호텔,"['수영장', '호텔', '온수', '조식', '직원']",0,0,0,0,0,0,0,0,0
캠퍼트리 호텔앤리조트,"['호텔', '조식', '화장실', '느낌', '리조트']",0,0,0,0,0,0,0,0,0
리치호텔,"['바다', '화장실', '친절', '욕조', '호텔']",0,0,0,0,0,0,0,0,0
호텔레오,"['친절', '호텔', '직원', '프론트', '조식']",3,0,0,4,0,0,0,0,0
스위트메이서귀포호텔,"['호텔', '친절', '시설', '이용', '조식']",1,0,0,1,0,0,0,0,0
스위트호텔 제주점,"['호텔', '조식', '가격', '냄새', '테라스']",0,0,0,0,0,0,0,0,0
호텔윈스토리,"['호텔', '성비', '세탁기', '조식', '침구']",3,0,0,1,0,0,0,0,0
아리아호텔,"['친절', '직원', '호텔', '위치', '최고']",0,0,0,2,0,0,0,1,0
아이진호텔,"['호텔', '샤워기', '이용', '주차장', '불편']",0,0,0,2,0,0,0,0,0
제주항공우주호텔,"['호텔', '조식', '친절', '성비', '주변']",0,0,0,3,0,0,0,0,0
제주팔레스호텔,"['호텔', '성비', '만족', '이용', '예약']",2,0,0,0,0,0,0,1,0
호텔난타,"['호텔', '조식', '가격', '친절', '성비']",0,1,0,0,0,0,0,0,0
퍼스트70,"['호텔', '가격', '성비', '화장실', '시설']",2,0,0,3,0,0,0,0,0
유어스호텔,"['가격', '친절', '호텔', '조식', '성비']",0,0,0,1,0,0,0,0,0
호텔브릿지 서귀포,"['서귀포', '친절', '성비', '호텔', '조식']",0,0,0,1,0,0,0,0,0
아스타호텔,"['호텔', '친절', '성비', '침대', '위치']",0,0,0,0,0,0,0,0,0
브리즈베이호텔,"['성비', '친절', '호텔', '가격', '성산']",0,0,0,0,0,0,0,0,0
아시아호텔,"['친절', '호텔', '직원', '냄새', '성비']",0,0,0,2,0,0,0,0,0
서귀포호텔,"['호텔', '성비', '최강', '침대', '가격']",0,0,0,1,0,0,0,0,0
빠레브호텔,"['호텔', '성비', '샤워', '화장실', '주차장']",0,0,0,0,0,0,0,0,0
호텔휴식 서귀포,"['호텔', '성비', '친절', '가격', '주차']",5,0,0,1,0,0,0,0,0
노블피아,"['호텔', '퍼스트', '청소', '성비', '직원']",0,0,0,3,0,0,0,0,0
제주호텔더엠,"['호텔', '직원', '가격', '친절', '성비']",0,0,0,4,0,0,0,0,0
제주노블레스관광호텔,"['픽업', '호텔', '이용', '직원', '서비스']",1,0,0,1,0,0,0,0,0
윈스카이호텔,"['주차', '호텔', '직원', '가격', '주차장']",1,0,0,1,0,0,0,0,0
벤티모호텔앤레지던스,"['친절', '샌드위치', '직원', '조식', '공항']",7,0,0,2,0,0,0,0,0
호텔서귀피안,"['직원', '호텔', '친절', '조식', '소리']",0,0,0,0,0,0,0,1,0
제주샹그릴라호텔앤리조트,"['조식', '중국', '친절', '수영장', '자본']",0,0,0,0,0,0,0,0,0
호텔앨리스&트렁크,"['가격', '인테리어', '친절', '침대', '숙소']",0,0,0,0,0,0,0,0,0
하이레지던스,"['숙소', '위치', '공항', '침구', '근처']",0,0,0,0,0,0,0,0,0
까사로마호텔,"['수영장', '친절', '주차', '직원', '호텔']",1,0,0,1,0,0,0,0,0
모슬포호텔 1동,"['성비', '호텔', '이용', '가격', '대비']",0,0,0,1,0,0,0,0,0
더스테이센추리호텔,"['친절', '성비', '소리', '숙소', '가격']",2,0,0,0,0,0,0,0,0
호텔시드니,"['사장', '가격', '친절', '방음', '화장실']",0,0,0,1,0,0,0,0,0
BK호텔제주,"['조식', '성비', '친절', '호텔', '가격']",0,0,0,1,0,0,0,0,0
블룸호텔,"['호텔', '조식', '친절', '느낌', '직원']",1,0,0,1,0,0,0,0,0
심스호텔,"['직원', '호텔', '융통', '사람', '친절']",0,0,0,1,0,0,0,0,0
디아넥스호텔,"['호텔', '직원', '온천', '조식', '수영장']",0,0,0,1,0,0,0,0,0
티라호텔,"['친절', '성산', '화장실', '가격', '호텔']",5,0,0,2,0,0,0,0,0
이스턴호텔 제주,"['호텔', '건물', '성비', '전망', '수압']",0,0,0,0,0,0,0,0,0
제주갤럭시호텔,"['공항', '아고다', '만원', '가격', '가성']",0,0,0,0,0,0,0,0,0
스카이호텔,"['성비', '친절', '시설', '가격', '청소']",2,0,0,0,0,0,0,0,0
팜파스호텔 제주,"['비행기', '소리', '호텔', '소음', '친절']",0,0,0,2,0,0,0,0,0
제주스테이인성산,"['침대', '제주도', '가격', '성비', '숙소']",0,0,0,3,0,0,0,0,0
루체빌,"['이용', '위치', '성비', '편의점', '미니바']",0,0,0,1,0,0,0,0,0
브릿지레지던스호텔,"['이용', '청소', '위치', '생각', '가격']",0,0,0,0,0,0,0,0,0
하버호텔,"['성비', '호텔', '친절', '제주항', '주차']",0,0,0,1,0,0,0,0,0
호텔휴안스테이,"['친절', '가격', '방도', '사장', '성산']",0,0,0,0,0,0,0,0,0
어반스테이 제주연동,"['주차', '신축', '소음', '문제', '주차장']",0,0,0,0,0,0,0,0,0
신신호텔 천지연,"['호텔', '성비', '냄새', '가격', '친절']",1,0,0,1,0,0,0,0,0
호텔엘린,"['호텔', '숙소', '친절', '장애인', '외관']",0,0,0,0,0,0,0,0,0
서귀포KAL호텔,"['호텔', '직원', '친절', '소리', '조식']",0,0,0,1,0,0,0,0,0
에코랜드호텔,"['수영장', '와인', '만족', '오픈', '느낌']",0,0,0,0,0,0,0,0,0
호텔징크,"['호텔', '거리', '직원', '성비', '비즈니스']",0,0,0,0,0,0,0,0,0
호텔화인 제주,"['오픈', '커피', '조식', '직원', '친절']",0,0,0,0,0,0,0,0,0
피노호텔,"['친절', '호텔', '사장', '직원', '방도']",0,0,0,1,0,0,0,0,0
제주썬호텔&카지노,"['친절', '서비스', '마음', '직원', '추천']",0,0,0,1,0,0,0,0,0
호텔스카브로,"['자쿠지', '주변', '직원', '친절', '서비스']",0,0,0,0,0,0,0,0,0
이화호텔,"['공항', '친절', '모텔', '침대', '가격']",0,0,0,0,0,0,0,0,0
호텔펄리플러스,"['한라산', '이유', '호텔', '제주', '공항']",0,0,0,0,0,0,0,0,0
르메인호텔,"['사장', '친절', '사람', '숙소', '청소']",0,0,0,1,0,0,0,0,0
뜨레비호텔,"['호텔', '가격', '느낌', '예약', '모델링']",0,0,0,0,0,0,0,0,0
글래즈하임호텔,"['친절', '침대', '최고', '스타일', '호텔']",0,0,0,2,0,0,0,0,0
일레인호텔,"['호텔', '친절', '화장실', '침구', '느낌']",0,0,0,1,0,0,0,0,0
호텔52,"['침대', '성비', '호텔', '숙소', '생각']",0,0,0,0,0,0,0,0,0
라림부띠끄호텔,"['호텔', '조식', '화장실', '시설', '직원']",0,0,0,1,0,0,0,0,0
파밀리아호텔,"['호텔', '최고', '인용', '절대', '가격']",0,0,0,1,0,0,0,0,0
하이제주호텔,"['호텔', '반려', '주방', '전체', '용품']",0,0,0,0,0,0,0,0,0
그랜드밀리언스호텔 서귀포,"['호텔', '조식', '가격', '건물', '성비']",0,0,0,3,0,0,0,0,0
오션패밀리호텔,"['사장', '친절', '객실', '호텔', '공항']",0,0,0,1,0,0,0,0,0
트로피컬하이드어웨이,"['조식', '소파', '소리', '카페', '수영장']",0,0,0,0,0,0,0,0,0
제주 자몽호텔,"['숙소', '친절', '먼지', '주변', '직원']",0,0,0,1,0,0,0,0,0
참피온호텔,"['가격', '방음', '사람', '옆방', '친절']",0,0,0,0,0,0,0,0,0
제주해군호텔,"['한실', '외부', '정원', '연결', '은근']",0,0,0,0,0,0,0,0,0
JW메리어트 제주(2022년하반기예정),"['개장', '기대', '선생님', '근처', '공사']",0,0,0,0,0,0,0,0,0
썬랜드호텔,"['성비', '생각', '최고', '호텔', '공항']",0,0,0,1,0,0,0,0,0
꼬뜨도르호텔,"['난방', '사진', '성비', '숙소', '예약']",0,0,0,0,0,0,1,0,0
펠리시아호텔,"['친절', '사장', '예약', '숙소', '객실']",0,0,0,1,0,0,0,0,0
블루마운틴호텔,"['친절', '성산', '숙소', '일출봉', '청결']",0,0,0,1,0,0,0,0,0
라인호텔,"['공항', '버스', '관광지', '위치', '근처']",0,0,0,0,0,0,0,0,0
호텔B,"['커피', '가격', '수건', '생수', '호텔']",0,0,0,0,0,0,0,0,0
씨앤호텔,"['가격', '수준', '만족', '성비', '청소']",0,0,0,0,0,0,0,1,0
레슬리호텔,"['직원', '친절', '위치', '느낌', '청결']",0,0,0,0,0,0,0,0,0
리벤시아풀빌라호텔,"['친절', '직원', '옥상', '객실', '수영장']",0,0,0,1,0,0,0,0,0
해리안호텔,"['호텔', '친절', '중문', '이용', '숙박']",0,0,0,1,0,0,0,0,0
호텔연,"['여행', '추가', '성비', '호텔', '침대']",0,0,0,0,0,0,0,0,0
천지연호텔,"['친절', '미리', '예약', '프론트', '사장']",0,0,0,1,0,0,0,0,0
해마호텔,"['주차', '가격', '공항', '호텔', '친절']",0,0,0,0,0,0,0,0,0
더그랜드섬오름 본관,"['수영장', '호텔', '직원', '사람', '소리']",2,0,0,4,0,0,0,2,0
런호텔,"['방음', '소리', '주변', '친절', '장점']",0,0,0,0,0,0,0,0,0
메르블루호텔,"['객실', '친절', '온도', '호텔', '비행기']",0,0,0,0,0,0,0,0,0
파인힐호텔,"['조식', '친절', '호텔', '분위기', '제공']",0,0,0,1,0,0,0,0,0
씨클리프호텔제주,"['전망', '애월', '바다', '조식', '성비']",0,0,0,0,0,0,0,0,0
인덱스 제이드림호텔,"['주차장', '이용', '가격', '대비', '호텔']",1,0,0,0,0,0,0,0,0
제이뷰호텔,"['침대', '호텔', '기억', '담배', '냄새']",0,0,0,0,0,0,0,0,0
베드라디오 도두봉,"['요가', '해안', '명상', '도로', '프로그램']",0,0,0,0,0,0,0,0,0
애월비치호텔,"['호텔', '객실', '컨디션', '데스크', '이용']",0,0,0,0,0,0,0,0,0
휴스테이 금호,"['사장', '친절', '일출봉', '성산', '숙소']",0,0,0,1,0,0,0,0,0
몽듀호텔,"['소리', '친절', '호텔', '생각', '비행기']",0,0,0,1,0,0,0,0,0
르메인호텔 서귀포,"['숙소', '호텔', '여행', '제주도', '좋아서']",0,0,0,3,0,0,0,0,0
오션블루호텔,"['화장실', '아침', '만족', '성비', '콩나물']",0,0,0,0,0,0,0,0,0
퓨어스테이,"['가격', '버스', '정류장', '교통', '화장실']",0,0,0,1,0,0,0,0,0
호텔MCC,"['가격', '친절', '숙소', '전화', '난방']",0,0,0,2,0,0,0,0,0
호텔 스테이인터뷰 제주,"['호텔', '소리', '먼지', '조식', '만족']",0,0,0,0,0,0,0,0,0
