카페명,분류,주소,별점,별점페이지,별점갯수,리뷰
올레길 7코스(서귀포-월평 올레),,,4.4,https://place.map.kakao.com/11635431#comment,32,"[[5, ''], [3, 'Soso'], [5, ''], [4, '초반에 나오는 천지연폭포를 조망할수 있는 칠십리시공원으로부터 황우지선녀탕, 외돌개로 이어지는 길이 너무 멋지다...이후 바닷길을 오가며\n범섬을 계속 바라보며 풍경감상하며 지루함없이 길을 걸을수있다...법환포구에 카페, 식당들이 있어서 이곳에서 식사및 쉬어가면 좋을듯~ 켄싱턴리조트이후 강정항과 도착점까지의 후반부는 포장길이라 발의 피로도가 강해지는게 아쉽다...'], [4, '올레길 7코스는 제주에서도 최고의 관광지 답게 해안따라 각종 명소와 더불어 꽃길과 몽골몽골 자갈길등 감성이 충만한 코스입니다.\n다소 폐쇄되 우회한 길이 있어 아쉽지만 충분히 좋은 코스입니다.'], [5, ''], [5, '아름다운 올레길'], [4, ''], [5, '월평포구부터 거꾸로 해변따라 걷기시작했는데 전체적으로 아름다운 풍경 좋았습니다. 숲속 오솔길이 나오다가 점점 범섬, 섶섬, 문섬이 눈앞까지 보이면서 마지막 지점(7코스 초반부분) 선녀탕에서는 물속에 퐁당 다이빙도 했습니다. ^^ 올레센타본부에 방문한 후 근처 네거리식당에서 시원칼칼한 갈치국도 존맛이였어요!!!'], [5, '올레길 배스트3!'], [5, ''], [4, ''], [1, '재미 없다'], [3, '중간에 사유지 있어서 애 먹었네요'], [5, '어나더레벨의 경치를 보여줍니다 최고네요  '], [5, ''], [5, ''], [5, ''], [5, '자연과 함께   어우러진 바다내음도 너무너무 상쾌하고 ~~~  ^^ \n무엇보다도   대한민국의 파라다이스   같아요!!!~~^^@'], [2, '올레길 중간에 무서운 소가 있어서 가다가 되돌아왔어요 ㅠㅠ 공격당할 뻔 했어요'], [4, '힘들지만 노을이 하루의 피로를 말끔히 가져가는..'], [5, ''], [4, '한적한 바다해안가를 걸으며 힐링을 한거 같다.'], [5, ''], [5, ''], [5, '6시간 걸려 완주. 걷는 동안 마주친 풍경 하나하나가 예술\n일강정 돌길이 조금 힘들긴 했지만 올레길 최고의 코스! '], [3, ''], [5, ''], [5, '제주  올레길 과  오름. 숲 .  바다.  어디 한곳    아름답지 않은 곳이 없지만  7코스는  올레길 중 백미  라 할만 합니다.'], [5, '올레여행자센터에서 시작하여 멋진 바닷가를 걷는 코스. 올레길은 언제 걸어도 멋진곳~!'], [4, '제주올레길']]"
올레길 1코스(시흥-광치기 올레),,,4.0,https://place.map.kakao.com/10626234#comment,15,"[[3, '정코스 추천. 역으로 가면 막판에 힘빠지는 코스가 등장한다.'], [5, ""4H30'소요\n처음 오름 2개 살짝 힘들고 다 올라가면 경치 좋습니다.\n종달리 마을도 이쁘고 성산일출봉을 옆에서 보는건 처음이였는데 절경이였습니다.\n""], [5, ''], [5, '사랑하는 올레길.\n초반의 말미오름 알오름 길 정말 좋아요.\n중간 쯤 종달리 지나는 것도 쉬기 좋구요\n'], [4, '뜨거운 여름에 첫번째 오름 오르고 포기할뻔했지만 어떻게든 끝까지 마무리했어요!\n중간에 종달리에서 점심먹고 한낮더위 피해서 책읽고(소심한 책방) 쭉 걸으면 8시간 걸려욬ㅋㅋㅋㅋ 다들 4시간에 걸으시던데 여름에는 무리예요. \n저녁무렵 광치기 해변 풍경 좋아요. \n\n저는 샌들신고 캐쥬얼복장이었는데\n담엔 무조건 등산화에 운동복입고 올거예요.\n\n참고로 제가 갔을 때에 올레길 걷는 분 딱 세팀이었어요...ㅎ 한적해요!'], [3, ''], [2, ''], [5, ''], [4, '마지막쯤에 코스가 잘못되어있어요 '], [4, '조용한코스.'], [5, '올레길을 걸어보아야 제주 속살을 보고 제주를 제대로 느낍니다..'], [4, '초반에 오름이 있어 처음에 힘을 다 빼 놓을 수 있으니 초반에 컨디션 조절이 필요 할것 같아요. 오름에서 바라보는 성산일출봉과 탁 트인 주변 풍경은 오르막의 피로를 잊게 해주는 뷰 맛집 인정 ㅎ\n5코스나 6코스에 비해 코스 안내 표식이 매우 많이 부족하여 지도 어플을 자주 확인해야 했으며 화장실도 부족하고 도로로 걷는 부분은 트럭들이 속도를 줄이지 않고 지나가 섬득했던 기억이ㅜㅜ  코스 도장 잉크 부족으로 흐릿하게 찍힌 것도 아쉬움이 남네요.\n\n아쉬움이 많았지만 성산일출봉 뷰에 종달리의 아기자기한 샵들과 광치기해변은 지인에게 소개 하고 싶은 곳이었어요.'], [2, '스타트부분이  앱과 실제 위치가 다른듯 합니다\n수정하셔야할듯'], [5, '오름을 오르는 코스가 있어 다소 힘들수는 있지만 경치가 정말 아름답고 힐링하는 시간이었습니다. 강력 추천합니다!!'], [4, '말미오름부터 두산봉까지 혼자걷기엔 좀 무서웠다...\n조용하고 평화로운 풍경은 좋았으나... \n다니는 사람도 없는 그런 산길 같아서 오름을 벗어나기까지는 긴장하고 걸었다...\n\n계속 화장실이 없어서 참다가...\n오조항 가기전에 gs편의점에서 화장실 썼고.\n2개의 오름때문인지 오조항 지나면서부터 급 피곤해졌다.']]"
올레길 6코스(쇠소깍-서귀포 올레),,,4.9,https://place.map.kakao.com/8015963#comment,14,"[[5, ''], [5, '걸으면서 주변 구경하는 재미가 있었습니다. 풍경이 너무 이뻐요'], [4, '쇠소깍에서 서귀포시내 올레여행자센터까지 걷기 무난한 코스...늦게 출발해서 보목포구에서 자리물회로\n배도 채우고 바다길과 숲길이 적절히 있고 풍경도 좋아 지루할 틈이 없는 길이었음...'], [5, '초심자에게 강추. 해안을 따라 아기자기한 코스가 펼쳐지며 중간에 밥집과 카페가 있어 쉬기도 좋다.'], [4, '올레길 6코스는 쇠소깍으로부터 서귀포 매일올레시장까지 아름다운 서귀포를 그대로 보여줍니다.\n제지기오름 정상에서 보이는 섶섬이 이쁘네요.'], [5, ""소요시간: 3h40' (관광지 구경+휴식시간 포함, 제외시 2h30')\n올레6코스는 제주도 여행객에게 추천 해주고 싶습니다. 주요관광지(쇠소깍, 정방폭포), 서귀포 시내(이중섭거리, 매일 올레시장)을 지나가기 때문입니다. 제주도 와서 올레길을 걷고 싶은데 거리가 너무 길어서 부담된다면 6코스 추천입니다.\n쇠소깍은 정말 이뻣습니다. 동남아 관광지 느낌이 나서 좋았습니다. 쇠소깍 이후에 걸으면서 사진 몇개를 더 찍었는데 사진이 실물을 다 못담네요\n정방폭포에 해질때 쯤 도착했는데 경치가 정말 좋더라고요 일몰때 가시는거 추천드립니다.\n폭포를 보니 속이 뻥 뚤리고 시원했습니다.\n정방폭포 이후에는 서귀포 시내로 들어오는 길이였습니다. 이중섭거리, 매일올레시장을 지나고 올레스테이에 도착하면 6코스 끝.""], [5, '거리가 짧아서 초보자도 걷기좋은 최고의 올레코스인듯 합니다. 중간중간 한참을 쉬어가고 싶은 숲속오솔길, 폭포, 해변, 카페, 맛집도 많구요. ㅎㅎ 멋진 풍경 구경하며 제대로 힐링했습니다. 또 걷고 싶은 올레길입니다.'], [5, ''], [5, '소천지와 숲길'], [5, '거리는 다른코스에 비해 상대적으로 짧지만 아름다운 풍경이 많이있는 좋은코스입니다.\n오히려 초보가 접근하기 매우좋은코스'], [5, ''], [5, '올레길 전부를 걷진 못했지만 \n명성대로 올레길의 메인이 맞네요 ㅎㅎ\n볼거리 가득한 코스에요.\n그리 길지 않은 코스로 짧은 여행에 올레길 체험 코스로 딱인 것 같아요. '], [5, '올레길은 어디든 좋죠~^^'], [5, '길도 좋고 짬짬이 볼것도많고 바다는 말할것도없고 곳곳이 숨은곳을 다보시기 바랍니다. 말해드리고 싶지만 직접 보시기 바랍니다']]"
올레길 18코스(제주원도심-조천 올레),,,4.7,https://place.map.kakao.com/13597626#comment,9,"[[5, '집에 가는날이라 잠깐 걸었지만 경치가 참 좋은 올레길~~~~! 담번엔 꼭 오랫동안 걸어보고싶네요'], [5, '늦봄 집사람과 올레18번을 걸었습니다. 긴 올레길 쉽진 않았지만, 사라봉~별도봉길 &amp; 시비코지~닭머르길이 참 기억에 남을 멋진 길입니다. 초반 시내길이 조금 지루하지만, 사라봉 오를때부터 참 괜찮은 올레길입니다. 공항에서 가까운탓에 올레18번부터 시작하는 분들이 많으신데, 1번부터 시작하시는걸 추천드립니다. 올레18번길 결코 쉽지 않은 길 입니다. 어느정도 걷는데 익숙해지고 오시는게 좋아보입니다.'], [5, '올레길 18코스는 어느곳에서 보든 멋진 바다 풍광이 펼쳐져 있어서 바다를 좋아하는 사람에게 멋진 선물이네요.\n종점인 동문시장안에서 먹는 순대국밥이 잊혀지질 않습니다.'], [4, '닭머르랑 해수욕장사이 현재 공사중입니다'], [4, '해변가 산책코스인데 조용하고 넓습니다 고즈넉하거나 아기자기하진 않아용 뱅기타기전 마지막코스로 적절'], [5, '좋은 추억을 가진 곳'], [5, '팔각정에서 내려다본 바다. 숲을 뛰어다니는 귀여운 토끼는 덤'], [5, '제주시내는 지루 한듯 했으나 서라봉을지나 별도봉을 돌고  탁트인  쪽빛바다 가 눈앞에 펼쳐지는데 절로 환호성^^\n   바닷내음 맡으며 걷는 해안길 힐링. 힐링!!'], [4, '제주시를 가로지르는 코스는 어쩔 수 없이 지루한 듯. 위치적 특성을 고려하더라도 초보자 올레꾼에게 추천할만한 코스는 아니다. 차라리 우도를 한 바퀴 도는 게 좋을 것 같다. 원당봉을 둘러 지나 신촌포구 가는 길은 한적하니 좋다.']]"
올레길 5코스(남원-쇠소깍 올레),,,4.7,https://place.map.kakao.com/11828668#comment,12,"[[3, '역으로걷늗데 풍경은좋습니다.\n근데 공중화장실 다 잠굴거면 화장실표시 왜해놔요? 무슨 마을경로당에서도 화장실을 못쓰게하네 \n기분나쁜마을입니다.'], [5, '이쁜곳'], [5, '난이도 적당하고 여태까지 걸은 여러 올레길 코스 중 도로 정비 상태가 잘 되있는 편이였고 다섯 손가락 안에 꼽을만큼 뷰가 예뻐서 더 좋았습니다~~ 성인 여자 두명이서 쉬는 시간없이 쭉 걸으니까 세시간 걸렸어요! '], [5, ""소요시간: 4h30'(식사+휴식 포함, 제외시 3h)\n13.4km로 길지도 않고 짧지도 않은 적당한 코스입니다.\n큰엉 산책길을 걷다보면 나뭇가지가 한반도 모양을 만든 곳이 나오는데 인스타 핫플이라 사진 찍을려면 줄을 서야합니다.(생각보다 사람 많아요!!) 여기 산책길 사진 찍는 곳 마다 인생샷.\n동백나무 군락지 좀 기대하고 갔는데 생각보다 별로 였습니다. \n코스 중간에 현아네 흑돼지 돈까스 집이 있는데 여기 돈까스 정말 맛있습니다. 한번 쯤 가보는거 나쁘지 않다고 생각합니다.\n위미항을 지나서 5코스 끝지점으로 가는 길에 이쁜 카페 많으닌까 구경 한번 해보세요.\n""], [5, '시원시원한 바닷길로 바람이 불고 틈틈이 우거진 숲길로 그늘이 있어 좋았습니다!'], [5, '남원포구 해안도로를 따라 걷기시작하면 숲터널과 기암절벽으로 이루워지는 풍광이 멋진 올레길입니다.\n금호리조트 부근 전후길은 초보자도 걷기 쉽고 중간중간 쉼터벤치도 많고 동남아리조트 산책길 같은 느낌입니다.'], [5, '자연과 인공이 어울리는 코스.\n나뭇가지와 잎으로  만들어진 한반도 형상을 볼 수 있는 올레길.'], [5, '나무가 우거져서 산책하기에 좋습니다. 바다경치도 최고입니다'], [3, ''], [5, ''], [5, '혼자 걸어도 좋은 코스 . \n해안따라 걷는 숲길이 긴편이지만 길이 잘 되어 있어 부담없이 걸었어요.\n겨울이라 동백꽃들이 피어 있어 사진 찍기도 좋았어요.\n걷다가 우연히 만난 건축학개론 카페에서 쉬어가기 좋았네요 ㅎ \n.\n팁. 완주 도장을 거꾸로 찍을 수 있으니 방향 잘 보고 찍으세요 ㅠ'], [5, '']]"
올레길 17코스(광령-제주원도심 올레),,,5.0,https://place.map.kakao.com/12753473#comment,4,"[[5, '무수천트멍길이 특히 좋았어요 '], [5, '무난하고 좋습니다. 다만, 시작점부터 해안가 나올때까지 6km정도가 계속 내리막길이라 역코스로 가시면 굉장히 힘든 코스가 될듯 싶습니다. 꼭 정코스로 걸으세요~'], [5, '공항에서 바다까지'], [5, '아름다워요~~!']]"
올레길 13코스(용수-저지 올레),,,4.3,https://place.map.kakao.com/12753454#comment,9,"[[3, '저지오름은 살짝 가파르지만 정상에서의 풍경은 환상입니다.\n역코스라 거의 내리막인점 감안하시구요.\n특별한 것은 없으나 마을 밭들이랑 동네밭담길이 정겹네요.\n낙천리 아홉굿마을을 관통하는 코스라 의자마을 수경도 할수있네요.\n시원한 보리밭과 용수저수지가 인상깊네요'], [5, '용수리포구에서 저지리까지 조용하고 한적한 마을과 밭길을 걷습니다. 조용한걸 좋아하는분이 좋아하실만한 코스입니다. 다만, 역코스로 걸으셔야 힘이 덜드는 코스입니다. 정코스는 은근하게 계속 오르막입니다.'], [5, '혼자 새벽 일찍 노을과 함께 시작했던 첫 올레길이었습니다. 정처없이 걸었어요 정말 아무 생각없이 걷고 감탄하며 좋은 공기 마시며 보낸 소중한 시간이었어요 :)\n\n올레길 관계자분들의 수고에 감사합니다 걷기 최고!'], [3, ''], [4, '차가 거의 없는 한적한 시골길을 걷습니다. 새소리는 원없이 들을수 있습니다.\n중장년층이 좋아할만한 코스인것 같습니다.\n마지막 저지오름에서 모든 힘을 다 쏟아야 하니 체력이 약하신분들은 역주행으로 가시길 추천합니다.\n종점 올레길 안내소의 여사님이 매우 친절하십니다.\n시작점~종점 택시비 1.2만원'], [5, ''], [5, '명상의 길, 이 따끈한 겨울, 포근한 걷기명상 중입니다.\n']]"
올레길 10코스(화순-모슬포 올레),,,4.9,https://place.map.kakao.com/12753435#comment,11,"[[4, '제주의 옛 모습이 아직 남아있는 유일한 올레길이 아닐까싶다. 아마도 각종 공유수면 보호구역 지정으로 해안가를 민간 난개발로부터 지켜서 그런 거 같다.제주도 다른 해안가는 그냥 이제 돌이킬 수 없는 난개발. 그런 과오를 답습하지 않아야 하는데.. 별 하나 뺀 것은 송악산 코스가 역시 촌스러운 난개발의 정형이라서. 우리나라는 언제즈음 미국 포틀랜드나 대만의 롱판, 영국의 해안가처럼 자연 그대로를 보존하게 될까.'], [5, '너무 아름다운길입니다..\n다시 걷고싶을 정도로..'], [5, '처음부터 끝까지 변화무쌍한 풍광이 멋진 제주도 자연을 온전히 느낄 수 있어 좋았습니다. 볼것도 많고 맛집도 많아서 여유롭게 다시 한번 꼭 오고 싶은 코스입니다. 강추합니다.'], [5, '송악산'], [5, '가장 인기있는 코스답네요. 경관, 볼거리, 의미까지 골고루 다 느낄 수 있는 코스예요. 시간이 아쉽다면 다크투어리즘-송악산까지만이라도 걷는다면 좋을 것 같습니다. '], [5, '산+바다+오름+일부상업지역+다크투어리즘\n모든 종류가 있는 정말 제주의 모든것이 있는 코스로 강추합니다.\n'], [5, '역주행으로 하면 송악산에서 힘을 좀 빼고 갑니다. \n\n역주행 16.13km 4시간 24분(쉬는시간 10분포함) 걸렸습니다.'], [5, ''], [5, '굿'], [5, '제주의 모든것']]"
올레길 16코스(고내-광령 올레),,,4.2,https://place.map.kakao.com/11943943#comment,10,"[[4, '역방향으로 돌았습니다.  4~5월 청보리가 이쁘네요.  평타정도??  무난한 편입니다. '], [1, '제주도 난개발의 전형. 지저분한 간팬 상가건물 뜬금없는 빌라들.. 해안가 절경을 다 망친 ...'], [4, '고내에서 애월해안도로따라 펼쳐지는 해안풍경이 시원하고 멋집니다.\n수산봉과 향파두리 둘레를 지나가는 길은 평탄하고 여유있습니다.'], [5, '16코스는 역방향으로 걸으면 구엄리염전 부터 고내포구까지의 해안길이 참 아름답습니다~\n'], [5, '16코스 가는길에 오아시스 같은 팜카페 \n잘쉬었다가요~'], [4, ''], [5, '바닷길과 농로길의 시비가 늘 반겨주는 듯.'], [5, '원나라와 고려, 그 아픈 추억'], [4, ''], [5, '해안도로 경치가 아름답다']]"
올레길 8코스(월평-대평 올레),,,4.1,https://place.map.kakao.com/11792904#comment,7,"[[5, ''], [3, '동양최대 법당이있는 약천사를 지나 중문관광지를 통과해서 대평포구까지의 길로 초반부터 중문색달해변까지는 그런대로 좋으나 이후 호텔투어하듯 지나는 중문관광단지를 포함한 중간부분은 무척 지루하고 피로감이 몰려온다...이후의 길도 잘포장된길을 걷다보니 발바닥에 불이나는듯...예래생태공원은 사막의 오아시스 만나듯 예쁜곳이었다...산수국이 너무나 많고 예쁘다...이곳이 있어 그나마 위안이 되었음~~'], [5, '길 바껴서 19.6km됐어요~ㅋ 중문해수욕장~논짓물 구간이 좀 지루하네요..\n그래도 참 좋내요~'], [5, '논짓물~중문관광단지 가는 중간길 빼면 굿이였습니다. \n중국사람들이 대규모 리조트 짓다가 중단한 폐허같은 건물들이 제주자연경관을 헤치고 있어 무척 안타까웠습니다. 그것말고는 대평포구와 예래해안도로도 넘 멋지고 좋았고 핫플카페와 맛집도 많아 중간 중간 여유롭게 쉬기도 좋았습니다. '], [4, ''], [5, '뭐라 표현할 수 없습니다. 일단 함 걸어 보시라~'], [2, '엄청 예쁜길에 중문리조트단지 투어를 끼얹은..\n\n중문 단지 때문에 다시는 걷고 싶지 않은길']]"
