place,Top5,무료,혜택,친환경,추천,식재료,제주산,에너지,환경,비건
마레보비치호텔,"['조식', '호텔', '샤워', '시설', '친절']",0,0,0,2,0,0,0,0,0
제주엘루이호텔,"['화장실', '침대', '곰팡이', '냄새', '현관']",0,0,0,0,0,0,0,0,0
신신호텔 서귀포점,"['호텔', '직원', '주차장', '숙소', '친절']",0,0,0,2,0,0,0,0,0
코자호텔,"['냄새', '스파', '담배', '만족', '최고']",0,0,0,0,0,0,0,0,0
아인스호스텔,"['성비', '친절', '가격', '호텔', '이용']",0,0,0,1,0,0,0,0,0
아라팰리스호텔,"['숙소', '제주시', '출장', '생각', '친절']",0,0,0,0,0,0,0,0,0
대동호텔,"['호텔', '친절', '사장', '동문', '제주']",0,0,0,0,0,0,0,0,0
시티홀호텔,"['카운터', '여자', '손님', '태도', '객실']",0,0,0,1,0,0,0,0,0
오라스테이,"['성비', '숙소', '화장실', '머리', '전등']",0,0,0,0,0,0,0,0,0
아루미호텔 협재점,"['샴푸', '컨디션', '호텔', '모텔', '수건']",0,0,0,0,0,0,0,0,0
호텔G,"['호텔', '에어컨', '청소', '일회', '모텔']",1,0,0,1,0,0,0,0,0
성산아쿠아비치호텔,"['친절', '호텔', '성비', '생각', '성산']",0,0,0,0,0,0,0,0,0
메종드씨엘하버39 호텔앤리조트,"['객실', '침대', '사이즈', '이부자리', '고급']",0,0,0,0,0,0,0,0,0
제주R호텔,"['가격', '제주', '방문', '숙소', '호텔']",0,0,0,1,0,0,0,0,0
트루엘레지던스,"['위치', '장기', '투숙', '서귀포', '관광지']",0,0,0,0,0,0,0,0,0
마로호스텔,"['외관', '이용', '시내', '이불', '사장']",0,0,0,0,0,0,0,0,0
노형호텔,"['가격', '시설', '생각', '호텔', '숙박']",0,0,0,0,0,0,0,0,0
호텔DK,"['호텔', '취소', '체크인', '위치', '직원']",0,0,0,2,0,0,0,0,0
베누스무인텔,"['안마', '무료', '의자', '최고', '성비']",2,0,0,0,0,0,0,0,0
메이플호텔,"['베개', '커버', '냄새', '수건', '호텔']",0,0,0,0,0,0,0,0,0
호텔탑아일랜드,"['감사', '부족', '하룻밤', '아이들', '숙소']",0,0,0,0,0,0,0,0,0
르네상스호텔,"['친절', '성비', '근처', '식당', '호텔']",0,0,0,0,0,0,0,0,0
바다해호텔,"['최고', '호텔', '사장', '믹스', '추천']",0,0,0,1,0,0,0,0,0
신세계호텔,"['친절', '가격', '사장', '화장실', '성비']",1,0,0,0,0,0,0,0,0
늘송파크텔,"['넷플릭스', '안감', '공항']",0,0,0,0,0,0,0,0,0
호텔랑주,"['친절', '사장', '가격', '청소', '해주시']",0,0,0,0,0,0,0,0,0
에메랄드호텔에이스,"['건물', '친절', '보일러', '침구', '청결']",0,0,0,0,0,0,0,0,0
골든파크호텔,"['방음', '터미널', '인지', '와이파이', '침대']",0,0,0,1,0,0,0,0,0
헤라무인텔,"['무료', '대형', '편안', '호텔', '제주']",2,0,0,0,0,0,0,0,0
제주올레호텔,"['만족', '근처', '친절', '공항', '사람']",0,0,0,1,0,0,0,0,0
성산호텔,"['화장실', '외관', '친절', '성산', '선택']",0,0,0,1,0,0,0,0,0
이채호텔,"['에어컨', '컨디션', '가격', '추천', '버튼']",0,0,0,2,0,0,0,0,0
스마트무인텔,"['만족', '아침', '새소리', '기분', '건조']",0,0,0,0,0,0,0,0,0
모나코모텔,[''],0,0,0,0,0,0,0,0,0
제주스위트호텔,"['제주도', '시설', '친절', '안락', '가격']",0,0,0,0,0,0,0,0,0
오케이모텔,"['번화가', '밤길', '모텔', '욕조', '블로그']",0,0,0,0,0,0,0,0,0
뷰무인텔,"['시설', '후기', '최고', '침대', '벽걸이']",0,0,0,0,0,0,0,0,0
라임모텔,"['성비', '환불', '손님', '추천', '사장']",0,0,0,1,0,0,0,1,0
꿈의바다,"['모텔', '근처', '예약', '시골', '사장']",0,0,0,2,0,0,0,0,0
진모텔,"['청결', '시장', '위치', '친절', '침대']",0,0,0,0,0,0,0,0,0
풀하우스호텔,"['객실', '주차', '시설', '최고', '성비']",0,0,0,0,0,0,0,0,0
초이호스텔제주,"['성비', '수압', '가격', '수건', '시장']",1,0,0,0,0,0,0,0,0
남산모텔,"['친절', '사장', '전화', '모텔', '제주도']",1,0,0,0,0,0,0,0,0
타기모텔,"['최고', '친절', '불안', '공항', '탑동']",0,0,0,0,0,0,0,0,0
호텔버킹검,"['담배', '가격', '발코니', '투숙객', '옆방']",0,0,0,0,0,0,0,0,0
호호네미니호텔,"['숙소', '친절', '가격', '관리', '청결']",0,0,0,0,0,0,0,0,0
찰리호텔,"['공항', '제주', '숙소', '기준', '거리']",0,0,0,0,0,0,0,0,0
기린모텔,"['가격', '대비', '청결', '바다', '풍경']",0,0,0,1,0,0,0,0,0
휴모텔,"['가격', '나름', '사장', '사모님', '친절']",0,0,0,0,0,0,0,0,0
이아호텔,"['모드', '크기', '온돌방']",0,0,0,0,0,0,0,0,0
호텔더레드,[''],0,0,0,0,0,0,0,0,0
벨라유나,"['성수기', '사장', '고양이', '가격', '성비']",0,0,0,0,0,0,0,0,0
소담여관,"['비누', '일회', '지하', '노래방', '소음']",0,0,0,0,0,0,0,0,0
호텔더단잠,[''],0,0,0,0,0,0,0,0,0
스타성모텔,['에어컨'],0,0,0,0,0,0,0,0,0
한라모텔,"['숙소', '만족', '시설', '사장', '배려']",0,0,0,0,0,0,0,0,0
글로벌모텔,"['사장', '친절', '시설', '청소', '상태']",0,0,0,0,0,0,0,0,0
호텔모닝캄,"['사장', '친절']",0,0,0,0,0,0,0,0,0
휴 무인텔,"['고체', '신세계']",0,0,0,0,0,0,0,0,0
사쿠라호텔,"['주차장', '모텔', '모델링', '느낌', '사장']",0,0,0,0,0,0,0,0,0
서사라호텔,[''],0,0,0,0,0,0,0,0,0
록산모텔,"['성비', '가격', '흡연', '자유', '객실']",0,0,0,0,0,0,0,0,0
쌈지모텔,['근처'],0,0,0,0,0,0,0,0,0
한울드라이브인호텔,[''],0,0,0,0,0,0,0,0,0
프린스장모텔,[''],0,0,0,0,0,0,0,0,0
비양도모텔,[''],0,0,0,0,0,0,0,0,0
탑모텔,"['시설', '성비', '여행', '숙소', '추천']",0,0,0,2,0,0,0,0,0
캐피탈모텔,"['모텔', '흡연', '담배', '냄새', '제주']",0,0,0,0,0,0,0,0,0
제주영성모텔,"['할머니', '특실', '추석', '가격', '방도']",0,0,0,0,0,0,0,0,0
제주산올레모텔,[''],0,0,0,0,0,0,0,0,0
사모아,"['제주도', '방문', '숙소', '최고', '카운터']",0,0,0,0,0,0,0,0,0
해마루모텔,"['흡연자', '성비']",0,0,0,0,0,0,0,0,0
남강여관,"['올레길', '투숙', '선택', '의사', '수압']",0,0,0,0,0,0,0,0,0
모슬포2호텔,"['객실', '직원', '친절', '기대', '숙소']",0,0,0,0,0,0,0,0,0
월정여관,"['정리', '예약', '성공', '편안', '분위기']",0,0,0,0,0,0,0,0,0
글로리스테이,"['가격', '대비', '방도', '주인', '친절']",0,0,0,0,0,0,0,0,0
오렌지,[''],0,0,0,0,0,0,0,0,0
별관모텔,"['숙소', '청결', '이불', '수건']",0,0,0,0,0,0,0,0,0
셀라모텔,"['시장', '친절', '시설', '최고']",0,0,0,0,0,0,0,0,0
조아모텔,"['이용', '제주', '단체', '사장', '친절']",0,0,0,0,0,0,0,0,0
한두모텔,"['숙소', '서귀포', '이용', '성비', '최고']",0,0,0,0,0,0,0,0,0
퀸호텔,['친절'],0,0,0,0,0,0,0,0,0
모텔준,[''],0,0,0,0,0,0,0,0,0
상하이호텔,[''],0,0,0,0,0,0,0,0,0
송원모텔,"['기대', '온수', '팡팡', '방도', '가격']",0,0,0,0,0,0,0,0,0
만금장,"['주인', '아줌마', '사장', '어머니', '친절']",0,0,0,0,0,0,0,0,0
미미여관,"['성비', '최고', '구비', '물품', '실내']",0,0,0,0,0,0,0,0,0
힐링하우스,['성비'],0,0,0,0,0,0,0,0,0
나인하우스,[''],0,0,0,0,0,0,0,0,0
브라보,"['사장', '젤라', '제주', '친절', '제철']",0,0,0,0,0,0,0,0,0
수모텔,"['사진', '인증', '외관', '사장', '친절']",0,0,0,0,0,0,0,0,0
폭포장모텔,[''],0,0,0,0,0,0,0,0,0
만복모텔,"['이불', '흰색']",0,0,0,0,0,0,0,0,0
대정모텔,"['가족', '사장', '만족', '편의점', '가까이']",0,0,0,0,0,0,0,0,0
너랑나랑게스트하우스,"['화순', '사람', '올레길', '조식', '게스트하우스']",0,0,0,1,0,0,0,0,0
