place,Top5,무료,혜택,친환경,추천,식재료,제주산,에너지,환경,비건
미르빌펜션&리조트,"['산방산', '제주', '가격', '성비', '전화']",0,0,0,0,0,0,0,0,0
에코그린리조트,"['수영장', '직원', '루프', '청소', '시트']",0,0,0,1,0,0,0,1,0
라임오렌지빌,"['커피', '조상', '복합', '가족', '층집']",0,0,0,0,0,0,0,0,0
풀빌라소랑,"['청소', '가격', '조식', '직원', '상태']",1,0,0,0,0,0,0,0,0
통나무파크,"['숙소', '알파카', '컨디션', '침대', '목장']",0,0,0,1,0,0,0,0,0
엠스테이펜션,"['숙소', '만족', '바다', '최고', '전망']",0,0,0,0,0,0,0,0,0
편운산장,"['최악', '한식', '추천', '음식', '아일랜드']",0,0,0,3,0,0,0,0,0
아르츠스파&풀빌라,"['숙소', '스파', '빌라', '수영장', '힐링']",0,0,0,0,0,0,0,0,0
제이라움,"['숙소', '테라스', '가격', '성비', '바다']",0,0,0,0,0,0,0,0,0
더갤러리펜션,"['친절', '베스트', '수영장', '이용', '위생']",0,0,0,0,0,0,0,0,0
아침해변펜션,"['공항', '취사', '가능', '창밖', '갈대']",0,0,0,0,0,0,0,0,0
보물섬,"['가격', '저녁', '성산', '위치', '물이']",0,0,0,0,0,0,0,0,0
제주브릭스,"['친절', '시설', '최고', '청결', '코너']",0,0,0,1,0,0,0,0,0
드라마2015풀빌라,"['리조트', '카페', '별관', '바다', '침대']",0,1,0,1,0,0,0,0,0
바다위에펜션,"['친절', '사장', '사진', '방도', '객실']",0,0,0,2,0,0,0,1,0
골든비치펜션,"['친절', '최고', '시설', '직원', '분이']",0,0,0,0,0,0,0,0,0
호랑호랑펜션,"['카페', '가격', '만족', '사장', '객실']",0,0,0,1,0,0,0,0,0
표선해비치펜션,"['이용', '숙소', '마음', '바다', '주변']",0,0,0,1,0,0,0,0,0
은빌레펜션,"['조식', '제주', '외부', '손님', '주차장']",0,0,0,1,0,0,0,0,0
뭉클펜션,"['관리', '성비', '연식', '사장', '제주']",1,0,0,0,0,0,0,0,0
제주에코스위츠,"['숙소', '청결', '조식', '친절', '제공']",1,0,0,0,0,0,0,0,0
큐티파이호텔,"['숙소', '조식', '카페', '스프', '사장']",0,0,0,0,0,0,0,0,0
부티크스테이스놉,"['숙소', '저녁', '바다', '서비스', '욕조']",0,0,0,1,0,0,0,0,0
해뜨는성펜션,"['바다', '숙소', '내부', '성산', '일출봉']",0,0,0,0,0,0,0,0,0
가시리유채꽃길펜션,"['신축', '사장', '친절', '유채', '제주']",0,0,0,0,0,0,0,0,0
제주봄스테이,"['숙소', '방음', '부모', '옆방', '예약']",0,0,0,0,0,0,0,0,0
나인스파빌,"['친절', '자쿠지', '스파', '청소', '상태']",0,0,0,0,0,0,0,0,0
홍스랜드,"['제주', '최고', '숙소', '여사장', '직접']",0,0,0,0,0,0,0,0,0
코코스펜션,"['수영장', '이용', '튜브', '조식', '시설']",1,0,0,0,0,0,0,0,0
제주담스파빌,"['숙소', '가격', '스파', '친절', '체크인']",0,0,0,1,0,0,0,0,0
비앤썬펜션,"['친절', '여행', '최고', '실내', '풍경']",1,0,0,0,0,0,0,0,0
빈티지1950카페펜션,"['여행', '사장', '친절', '감사', '마음']",0,0,0,0,0,0,0,0,0
해담은스파빌,"['스파', '산방산', '조식', '이야기', '사장']",0,0,0,1,0,0,0,0,0
조유암펜션,"['친절', '숙소', '커피', '사장', '올레길']",0,0,0,0,0,0,0,0,0
끄라비펜션,"['친절', '정원', '사장', '새소리', '침대']",0,0,0,0,0,0,0,0,0
제주올레돔펜션,"['사장', '친절', '가격', '기분', '고기']",0,0,0,0,0,0,0,0,0
디오션힐,"['냄새', '욕조', '사장', '친절', '조식']",0,0,0,0,0,0,0,0,0
뷰티플하우스,"['친절', '사장', '매점', '만족', '제주도']",0,0,0,0,0,0,0,0,0
나디아펜션,"['친절', '방음', '연락', '방도', '사장']",0,0,0,0,0,0,0,0,0
