place,Top5,무료,혜택,친환경,추천,식재료,제주산,에너지,환경,비건
휘닉스제주,"['조식', '직원', '섭지코지', '숙소', '전화']",0,0,0,1,0,0,0,1,0
한화리조트 제주,"['리조트', '조식', '시설', '느낌', '화장실']",0,0,0,2,0,0,0,1,0
소노벨제주 신관,"['침구', '불편', '신관']",0,0,0,0,0,0,0,0,0
켄싱턴리조트 제주중문,"['객실', '조식', '로비', '욕조', '한림']",0,0,0,1,0,0,0,2,0
더큐브리조트 제주,"['성비', '가격', '숙소', '객실', '시설']",0,0,0,2,0,0,0,0,0
아이브리조트,"['숙소', '가격', '시설', '호텔', '친절']",0,0,0,3,0,0,0,0,0
롯데리조트제주 아트빌라스,"['시설', '날씨', '코로나', '빌라', '가족']",0,0,0,1,0,0,0,0,0
와이리조트 제주,"['직원', '친절', '리조트', '방문', '조식']",7,0,0,2,0,0,0,0,0
베이힐풀앤빌라,"['나니아', '온수', '침대', '자쿠지', '호텔']",3,0,0,1,0,0,0,0,0
MJ리조트,"['친절', '조식', '숙소', '직원', '최고']",1,0,0,3,0,0,0,0,0
씨사이드아덴리조트,"['화장실', '청소', '리조트', '아파트', '숙소']",0,0,0,0,0,0,0,0,0
담앤루,"['친절', '직원', '수영장', '조식', '컨디션']",0,0,0,0,0,0,0,0,0
올레리조트,"['직원', '시설', '조식', '리조트', '정원']",0,0,0,0,0,0,0,0,0
오션스퀘어,"['친절', '바다', '가격', '숙소', '편의점']",0,0,0,0,0,0,0,0,0
취다선리조트,"['명상', '다도', '프로그램', '요가', '친절']",1,0,0,7,0,0,1,0,0
그림리조트,"['환불', '예약', '시설', '그림', '리조트']",0,0,0,2,0,0,0,0,0
라헨느리조트,"['CC', '클럽', '하우스', '위치', '골프']",0,0,0,0,0,0,0,0,0
로긴리조트,"['숙소', '바다', '마지막', '시설', '벌레']",0,0,0,1,0,0,0,1,0
애월스테이인제주,"['숙소', '친절', '조식', '만족', '바다']",0,0,0,3,0,0,0,0,0
썬앤문리조트,"['숙소', '조식', '친절', '직원', '생각']",1,0,0,3,0,0,0,0,0
클럽이에스 제주리조트,"['예약', '자연', '친화', '최고', '리조트']",2,0,0,0,0,0,0,1,0
