place,Top5,무료,혜택,친환경,추천,식재료,제주산,에너지,환경,비건
연돈,"['예약', '카레', '사람', '사장', '제주도']",0,0,0,10,0,0,0,0,0
숙성도 노형점,"['고기', '친절', '직원', '대기', '목살']",0,0,0,33,0,0,1,0,0
우진해장국,"['고사리', '해장국', '육개장', '대기', '친절']",4,0,0,30,0,0,0,1,0
고집돌우럭 제주공항점,"['우럭', '조림', '음식', '제주도', '제주']",4,0,0,79,0,0,0,0,0
고집돌우럭 함덕점,"['우럭', '음식', '조림', '방문', '함덕']",2,0,0,102,0,0,1,0,0
색달식당 중문갈치조림구이 본점,"['갈치', '조림', '친절', '구이', '음식']",0,0,0,71,0,0,0,0,0
고집돌우럭 중문점,"['우럭', '조림', '음식', '방문', '제주도']",9,0,2,348,0,0,0,5,0
이춘옥의원조고등어쌈밥,"['고등어', '은지', '김치', '친절', '음식']",0,0,0,30,0,0,0,0,0
제주김만복 본점,"['김밥', '무침', '오징어', '전복', '포장']",0,0,0,15,0,0,1,0,0
중문수두리보말칼국수,"['칼국수', '친절', '국물', '전복죽', '사장']",4,0,0,12,0,0,0,0,0
맛나식당,"['갈치', '조림', '고등어', '예약', '친절']",1,0,0,6,0,0,0,0,0
곰막식당,"['국수', '고등어', '전복죽', '가격', '친절']",1,0,0,18,0,0,0,0,0
춘심이네 본점,"['갈치', '조림', '구이', '직원', '가격']",2,0,0,3,0,0,0,0,0
은희네해장국 본점,"['해장국', '국물', '선지', '주차', '직원']",0,0,0,6,0,0,0,0,0
착한집,"['갈치', '조림', '고등어', '구이', '맛집']",0,0,0,24,0,0,0,0,0
칠돈가 본점,"['고기', '친절', '돼지', '직원', '목살']",0,0,0,2,0,0,0,2,0
한림칼국수,"['칼국수', '친절', '국물', '말죽', '대기']",8,0,0,6,0,0,0,0,0
미영이네식당,"['고등어', '친절', '포장', '제주도', '최고']",0,0,0,4,0,0,0,1,0
바다를본돼지 제주협재판포본점,"['고기', '바다', '고사리', '돼지', '직원']",0,0,0,5,0,0,0,0,0
더바루시아,"['카페', '커피', '음료', '박수기', '경치']",0,0,0,2,0,0,0,0,0
제주김만복 애월점,"['김밥', '오징어', '무침', '라면', '전복']",0,0,0,12,0,0,0,0,0
김희선제주몸국,"['고등어', '육개장', '고사리', '구이', '친절']",0,0,0,6,0,0,0,0,0
제주오성식당,"['갈치', '조림', '친절', '정식', '음식']",5,0,0,18,0,0,0,0,0
신설오름,"['고기', '고기국수', '국물', '맛집', '고등어']",0,0,0,2,0,0,0,0,0
바다를본돼지 제주서귀포점,"['고기', '돼지', '전복', '고사리', '메뉴']",0,0,0,5,0,0,0,0,0
삼대국수회관 본점,"['고기국수', '고기', '국수', '국물', '비빔국수']",0,0,0,13,0,0,0,0,0
제주김만복 동문시장점,"['김밥', '오징어', '전복', '무침', '계란']",2,0,0,16,0,0,0,0,0
갈치왕 중문점,"['갈치', '조림', '구이', '친절', '밑반찬']",0,0,0,38,0,0,0,0,0
국수마당 본점,"['고기국수', '국수', '고기', '국물', '자매']",0,0,0,7,0,0,0,0,0
고이정 본점,"['고기', '돼지', '김치찌개', '제주도', '직원']",0,0,0,13,0,0,0,0,0
상춘재,"['비빔밥', '음식', '문어', '해물', '친절']",1,0,0,17,0,0,0,0,0
살아있는해물뚝배기 어마장장,"['뚝배기', '전복', '친절', '해물', '국물']",0,0,0,6,0,0,0,0,0
해왓,"['갈치', '조림', '고등어', '구이', '친절']",0,0,0,7,0,0,0,1,0
당케올레국수,"['칼국수', '국수', '고기국수', '말죽', '국물']",1,0,0,2,0,0,0,0,0
국수바다 본점,"['고기국수', '국수', '고기', '국물', '제주도']",0,0,0,28,0,0,0,0,0
만덕이네,"['갈치', '게장', '조림', '전복', '한식대첩']",0,0,0,6,0,0,0,0,0
원담,"['고등어', '갈치', '조림', '가격', '사람']",2,0,0,4,0,0,0,0,0
일통이반,"['말죽', '가격', '멍게', '김치', '친절']",0,0,0,3,0,0,0,0,0
큰돈가 중문점,"['고기', '친절', '돼지', '직원', '서비스']",0,0,0,10,0,0,0,0,0
다정이네 올레시장본점,"['김밥', '제주도', '멸치', '친절', '다정']",1,0,0,19,0,0,0,1,0
국시트멍,"['고기국수', '국수', '국물', '고기', '라멘']",2,0,0,7,0,0,0,0,0
충민정,"['갈치', '구이', '조림', '제주도', '맛집']",0,0,0,43,0,0,0,0,0
스시애월,"['초밥', '예약', '사장', '마카', '친절']",0,0,0,6,0,0,0,0,0
제주어멍 통갈치,"['갈치', '조림', '친절', '구이', '직원']",0,0,0,24,0,0,0,0,0
솔지식당,"['조림', '고기', '식당', '브리', '맛집']",0,0,0,6,0,0,0,0,0
문개항아리 조천본점,"['라면', '튀김', '문어', '친절', '해물']",0,0,0,43,0,0,0,0,0
치저스,[''],0,0,0,0,0,0,0,0,0
동해미락,"['코스', '제주도', '매운탕', '만원', '바다']",0,0,0,10,0,0,0,0,0
해월정,"['칼국수', '말죽', '친절', '음식', '가격']",0,0,0,33,0,0,1,0,0
모살물,"['고등어', '갈치', '성비', '모듬', '서비스']",0,0,0,3,0,0,0,0,0
제주에가면,"['칼국수', '친절', '만두', '말죽', '국물']",0,0,0,4,0,0,0,0,0
별돈별 정원점,"['고기', '분위기', '친절', '야외', '돼지']",0,0,0,4,0,0,0,0,0
다가미,"['김밥', '소고기', '멸치', '참치', '가미']",0,0,0,3,0,0,0,0,0
골막식당,"['김치', '고기', '국물', '고기국수', '국수']",0,0,0,3,0,0,0,0,0
제주김만복김밥 서귀포점,"['김밥', '오징어', '무침', '전복', '라면']",0,0,0,7,0,0,0,0,0
고씨네천지국수,"['고기', '국수', '국물', '멸치', '고국']",0,0,0,13,0,0,1,0,0
올레왕갈치,"['갈치', '조림', '구이', '친절', '사장']",0,0,0,1,0,0,0,0,0
도토리키친 본점,"['소바', '고로케', '음식', '친절', '유부초밥']",0,0,0,16,0,0,0,0,0
산방식당,"['밀면', '수육', '고기', '냉면', '육수']",0,0,0,3,0,0,0,0,0
연동마라도횟집,"['방어', '고등어', '친절', '가격', '매운탕']",0,0,0,1,0,0,0,0,0
뽈살집 제주본점,"['고기', '서비스', '친절', '부위', '돼지']",1,0,0,16,0,0,0,0,0
흑돼지BBQ,"['고기', '친절', '돼지', '사장', '제주도']",1,0,0,44,0,0,0,1,0
산도롱맨도롱,"['갈비', '국수', '고기', '국물', '고기국수']",0,0,0,14,0,0,1,0,0
신우성흑돼지,"['고기', '돼지', '친절', '직원', '방문']",0,0,0,50,0,0,0,0,0
국수만찬,"['고기국수', '국수', '고기', '양이', '국물']",1,0,0,15,0,0,0,0,0
옥만이네,"['해물', '계란', '갈비', '갈비찜', '후라이']",0,0,0,6,0,0,0,0,0
훈남횟집,"['딱새', '친절', '고등어', '우회', '모듬']",0,0,0,9,0,0,0,0,0
은혜전복,"['전복', '솥밥', '구이', '고등어', '뚝배기']",0,0,0,7,0,0,1,0,0
산지해장국,"['장탕', '해장국', '내장', '국물', '양이']",1,0,0,4,0,0,0,0,0
제주마당,"['갈치', '조림', '친절', '제주도', '사장']",0,0,0,3,0,0,0,0,0
이금돈지,"['갈치', '조림', '구이', '미역국', '친절']",0,0,0,5,0,0,0,0,0
효퇴국수,"['고기국수', '고기', '국물', '국수', '친절']",0,0,0,6,0,0,0,0,0
데미안,"['친절', '리필', '사장', '돈가스', '전복죽']",1,0,0,5,0,0,0,0,0
부두식당,"['방어', '고등어', '조림', '식당', '친절']",0,0,0,5,0,0,0,0,0
돈이랑 본점,"['고기', '돼지', '친절', '제주도', '맛집']",1,0,0,53,0,0,0,2,0
바당길,"['칼국수', '친절', '말죽', '사장', '전복죽']",0,0,0,10,0,0,0,0,0
자리돔횟집,"['고등어', '친절', '사람', '방어', '포장']",0,0,0,5,0,0,0,0,0
소금바치순이네,"['문어', '볶음', '친절', '양념', '사장']",0,0,0,8,0,0,0,0,0
은희네해장국 서귀포점,"['해장국', '콩나물', '선지', '소고기', '추천']",0,0,0,7,0,0,0,0,0
시골길,"['낙지', '청국장', '볶음', '맛집', '친절']",0,0,0,2,0,0,0,0,0
복자씨연탄구이,"['고기', '돼지', '친절', '직원', '제주도']",7,0,0,48,0,0,0,1,0
로빙화,"['피자', '버거', '로빙', '친절', '분위기']",0,0,0,2,0,0,0,0,0
은희네해장국 함덕점,"['해장국', '친절', '은희', '함덕', '아침']",1,0,0,7,0,0,0,0,0
애월흑돼지 애월그때그집 본점,"['고기', '돼지', '김치찌개', '친절', '세트']",2,0,0,9,0,0,0,0,0
깡촌흑돼지,"['고기', '돼지', '제주도', '친절', '맛집']",0,0,0,41,0,0,0,0,0
천짓골식당,"['고기', '돼지', '사장', '부위', '친절']",1,0,0,5,0,0,1,0,0
바다속고등어쌈밥,"['고등어', '게장', '김치', '간장', '반찬']",0,0,0,3,0,0,0,0,0
가시식당,"['친절', '순대', '식당', '대국', '맛집']",0,0,0,7,0,0,0,0,0
산지물 본점,"['조림', '갈치', '친절', '고등어', '식당']",1,0,0,11,0,0,0,0,0
몬스터살롱,"['버거', '한우', '햄버거', '돼지', '수제']",1,0,0,27,0,0,0,0,0
제주판타스틱버거,"['버거', '소스', '화이트', '커리', '햄버거']",0,0,0,5,0,0,0,0,0
한림칼국수 공항점,"['칼국수', '매생이', '친절', '한림', '말죽']",1,0,0,3,0,0,0,0,0
난드르바당,"['고기', '친절', '사장', '돼지', '직원']",0,0,0,3,0,0,0,0,0
갈치요리전문점 만족한상회,"['갈치', '조림', '친절', '구이', '게장']",0,0,0,10,0,0,0,0,0
남춘식당,"['김밥', '콩국수', '고기국수', '국수', '수제비']",0,0,0,1,0,0,0,0,0
진아떡집,"['메기', '사서', '떡집', '포장', '제주']",0,0,0,4,0,0,0,0,0
봉순이네흑돼지,"['고기', '돼지', '친절', '김치찌개', '맛집']",0,0,0,13,0,0,0,0,0
촌촌해녀촌,"['국수', '고등어', '전복죽', '자리', '양념']",0,0,0,3,0,0,0,0,0
제주늘봄,"['갈비', '직원', '한우', '당일', '도축']",0,0,0,0,0,0,0,0,0
제주한라국수,"['고기국수', '고기', '육수', '국수', '비빔국수']",0,0,0,2,0,0,0,0,0
곱들락,"['고기', '돼지', '제주도', '친절', '제주']",0,0,0,8,0,0,0,0,0
태광식당,"['친절', '맛집', '돼지', '볶음밥', '고기']",0,0,0,6,0,0,0,0,0
안녕협재씨 제주협재점,"['문어', '비빔밥', '딱새', '친절', '가격']",0,0,0,9,0,0,0,0,0
은희네해장국 2호점,"['본점', '해장국', '선지', '식사', '사람']",0,0,0,0,0,0,0,0,0
제주약수터 본점,"['맥주', '친절', '시음', '직원', '제주']",0,0,0,6,0,0,0,0,0
오롯,"['친절', '비빔밥', '직원', '반찬', '전복']",0,0,0,0,0,0,0,0,0
장수물식당,"['고기', '고기국수', '국수', '국물', '김치']",1,0,0,4,0,0,0,0,0
닻,"['딱새', '가격', '음식', '분위기', '주문']",0,0,0,3,0,0,0,0,0
황해식당,"['조림', '갈치', '양념', '친절', '쥐치']",0,0,0,2,0,0,0,0,0
하원가흑돼지,"['고기', '친절', '돼지', '사장', '제주도']",1,0,0,16,0,0,0,0,0
정직한돈 본점,"['고기', '친절', '돼지', '제주도', '직원']",0,0,0,11,0,0,0,0,0
골목,"['해장국', '장탕', '맛집', '내장', '국물']",0,0,0,11,0,0,0,0,0
만월당,"['파스타', '전복', '친절', '음식', '주문']",0,0,0,10,0,0,0,0,0
고등어쌈밥,"['고등어', '게장', '간장', '반찬', '김치']",0,0,0,4,0,0,0,0,0
공천포식당,"['전복', '된장', '전복죽', '최고', '제주도']",1,0,0,6,0,0,0,0,0
식당마요네즈,"['친절', '직원', '마요네즈', '메뉴', '필라프']",0,0,0,9,0,0,0,0,0
순수한둠비,"['순두부', '두부', '가격', '반찬', '아침']",0,0,0,3,0,0,0,0,0
더꽃돈 협재점,"['고기', '김치찌개', '친절', '돼지', '직원']",0,0,0,10,0,0,0,0,0
부촌,"['갈치', '조림', '미역국', '고등어', '식당']",2,0,0,19,0,0,0,0,0
제주본참숯불갈비,"['갈비', '고기', '친절', '양념', '사장']",0,0,0,7,0,0,0,0,0
제주순풍 신제주본점,"['정식', '맛집', '해장국', '순풍', '방문']",0,0,0,4,0,0,0,0,0
제주육대표,"['고기', '친절', '제주', '돼지', '직원']",0,0,0,4,0,0,0,0,0
오현돼지불백,"['반찬', '양념', '맛집', '게장', '인분']",0,0,0,3,0,0,0,0,0
대춘해장국 본점,"['장탕', '해장국', '국물', '맛집', '내장']",0,0,0,3,0,0,0,0,0
공항흑돼지 시청그때그집,"['친절', '사장', '고기', '김치찌개', '돼지']",1,0,0,3,0,0,1,0,0
미스칠,"['전복', '갈치', '조림', '친절', '반찬']",0,0,0,5,0,0,0,0,0
용두암해촌,"['갈치', '조림', '구이', '전복', '고등어']",0,0,0,23,0,0,0,0,0
제주국담,"['고기', '국밥', '국물', '국수', '들기름']",0,0,0,8,0,0,0,0,0
순천미향,"['친절', '사장', '문어', '맛집', '음식']",0,0,0,11,0,0,0,0,0
88버거,"['버거', '수제', '제주도', '맛집', '패티']",1,0,0,7,0,0,0,0,0
돈블랙 서귀포본점,"['고기', '친절', '고사리', '돼지', '직원']",0,0,0,9,0,0,0,0,0
바다를본돼지 제주노형점,"['고기', '돼지', '본점', '전복', '가격']",0,0,0,0,0,0,0,0,0
대기정,"['갈치', '조림', '구이', '제주도', '가족']",0,0,0,11,0,0,0,0,0
산지물 신제주점,"['조림', '친절', '갈치', '밑반찬', '고등어']",0,0,0,5,0,0,0,0,0
코코분식,"['칼국수', '가격', '육개장', '제주도', '음식']",0,0,0,3,0,0,0,0,0
코코마마 성산점,"['음식', '튀김', '분위기', '친절', '세트']",1,0,0,11,0,0,0,0,0
가람돌솥밥,"['솥밥', '전복', '재료', '갈치', '제주도']",1,0,0,13,0,0,0,0,0
성산일출봉 청운식당,"['갈치', '조림', '성산', '일출봉', '전복']",0,0,0,62,0,0,0,2,0
제주미담,"['순대', '국수', '고기국수', '고기', '주문']",0,0,0,7,0,0,0,0,0
큰돈가 본점,"['고기', '친절', '돼지', '직원', '사장']",0,0,0,8,0,0,0,0,0
재연식당,"['갈치', '고등어', '구이', '정식', '반찬']",0,0,0,6,0,0,0,0,0
문치비,"['고기', '친절', '돼지', '목살', '사장']",0,0,0,6,0,0,0,0,0
나원회포차,"['고등어', '모듬', '친절', '매운탕', '가격']",0,0,0,6,0,0,0,0,0
오가네전복설렁탕 서귀포본점,"['전복', '설렁탕', '냉면', '전복죽', '젓갈']",0,0,0,23,0,0,0,0,0
시흥해녀의집,"['전복죽', '조개', '친절', '문어', '소라']",0,0,0,9,0,0,0,0,0
도갈비,"['고기', '친절', '직원', '사장', '목살']",0,0,0,5,0,0,0,0,0
포도원흑돼지,"['돼지', '고기', '제주도', '맛집', '최고']",2,0,0,5,0,0,0,0,0
낭쿰낭쿰,[''],0,0,0,0,0,0,0,0,0
홍성방,"['짬뽕', '탕수육', '친절', '해물', '새우']",0,0,0,7,0,0,0,0,0
낭뜰에쉼팡,"['가격', '반찬', '맛집', '비빔밥', '음식']",0,0,0,1,0,0,0,0,0
돈사돈 별관,"['고기', '돼지', '친절', '제주도', '사돈']",0,0,0,3,0,0,0,1,0
잇칸시타,"['가격', '음식', '메뉴', '제주도', '튀김']",0,0,0,5,0,0,0,0,0
형제도식당 본점,"['갈치', '친절', '구이', '제주도', '조림']",0,0,0,7,0,0,1,0,0
논짓물,"['갈치', '조림', '기분', '식당', '전복']",0,0,0,2,0,0,0,0,0
정직한돈 협재직영점,"['고기', '친절', '돼지', '껍데기', '제주도']",0,0,0,21,0,0,0,0,0
남양수산,"['지리', '친절', '고등어', '참돔', '최고']",0,0,0,2,0,0,0,0,0
칠돈가 서광직영점,"['고기', '친절', '돼지', '직원', '사장']",0,0,0,5,0,0,0,0,0
램앤블랙 (구.램하우스),"['양고기', '친절', '고기', '갈비', '분위기']",0,0,0,44,0,0,0,1,0
서서방숯불닭갈비,"['닭갈비', '고기', '맛집', '친절', '숯불']",0,0,0,4,0,0,0,0,0
태하횟집,"['친절', '최고', '방문', '음식', '직원']",0,0,0,10,0,0,0,0,0
노조미,"['우동', '맛집', '친절', '튀김', '사장']",0,0,0,4,0,0,0,0,0
