place,Top5,무료,혜택,친환경,추천,식재료,제주산,에너지,환경,비건
올레길 7코스(서귀포-월평 올레),"['올레길', '코스', '풍경', '제주', '최고']",0,0,0,0,0,0,0,0,0
올레길 1코스(시흥-광치기 올레),"['코스', '오름', '달리', '처음', '성산']",0,0,0,2,0,0,0,0,0
올레길 6코스(쇠소깍-서귀포 올레),"['코스', '올레', '올레길', '쇠소깍', '거리']",0,0,0,3,0,0,0,0,0
올레길 18코스(제주원도심-조천 올레),"['코스', '올레길', '올레', '바다', '사라봉']",0,0,0,2,0,0,0,0,0
올레길 5코스(남원-쇠소깍 올레),"['코스', '산책', '올레길', '사진', '생각']",0,0,0,0,0,0,0,0,0
올레길 17코스(광령-제주원도심 올레),"['코스', '시작', '해안', '내리막길', '공항']",0,0,0,0,0,0,0,0,0
올레길 13코스(용수-저지 올레),"['코스', '마을', '올레길', '저지', '오름']",0,0,0,1,0,0,0,0,0
올레길 10코스(화순-모슬포 올레),"['코스', '송악산', '제주', '해안', '난개발']",0,0,0,0,0,0,0,0,0
올레길 16코스(고내-광령 올레),"['해안', '역방향', '도로', '코스', '청보']",0,0,0,0,0,0,0,0,0
올레길 8코스(월평-대평 올레),"['중문', '중간', '포구', '이후', '투어']",0,0,0,0,0,0,0,0,0
올레길 4코스(표선-남원 올레),"['코스', '해변', '중간', '추천', '날씨']",0,0,0,2,0,0,0,0,0
올레길 20코스(김녕-하도 올레),"['지질', '트레킹', '구간', '걷기', '현무암']",0,0,0,0,0,0,0,0,0
올레길 19코스(조천-김녕 올레),"['코스', '올레길', '방향', '걷기', '역방향']",0,0,0,0,0,0,0,0,0
올레길 9코스(대평-화순 올레),"['코스', '군산', '오름', '올레길', '추천']",0,0,0,4,0,0,0,0,0
올레길 12코스(무릉-용수 올레),"['차귀도', '코스', '수월봉', '최고', '당산']",0,0,0,3,0,0,0,0,0
올레길 21코스,"['지미', '오름', '정상', '코스', '역방향']",0,0,0,0,0,0,0,0,0
올레길 14-1코스(저지-서광 올레),"['코스', '올레길', '오설록', '역방향', '사람']",0,0,0,3,0,0,0,0,0
올레길 1-1코스(우도-올레),"['도봉', '종아리', '최고', '킬로', '최대']",0,0,0,0,0,0,0,0,0
올레길 7-1코스(월드컵경기장-서귀포 올레),"['서귀포', '고근산', '폭포', '오르막', '한라산']",0,0,0,0,0,0,0,0,0
올레길 3-B코스(온평-표선 올레),"['코스', '우회', '소요', '해안', '마지막']",0,0,0,0,0,0,0,0,0
올레길 18-1코스(추자도-올레),"['추자도', '코스', '올레길', '하루', '내리막']",0,0,0,2,0,0,0,0,0
올레길 3-A코스(온평-표선 올레),"['김영갑', '갤러리', '제외', '코스', '여름']",0,0,0,0,0,0,0,0,0
올레길 10-1코스(가파도 올레),"['자전거', '스탬프', '가파도', '올레길', '배시']",0,0,0,0,0,0,0,0,0
남원큰엉해변,"['한반도', '산책', '산책로', '바다', '사람']",0,0,0,1,0,0,0,0,0
함덕해수욕장,"['해변', '바다', '해수욕장', '함덕', '제주']",0,0,0,2,0,0,0,0,0
협재해수욕장,"['바다', '해변', '제주', '제주도', '최고']",0,0,0,5,0,0,0,0,0
이호테우해수욕장,"['바다', '등대', '해변', '사진', '이호']",1,0,0,4,0,0,0,0,0
성산일출봉,"['정상', '성산', '무료', '일출봉', '코스']",18,0,0,7,0,0,0,0,0
김녕해수욕장,"['바다', '해변', '사람', '제주도', '해수욕장']",0,0,0,1,0,0,0,0,0
섭지코지,"['성산', '바람', '섭지코지', '풍경', '주차']",2,0,0,3,0,0,0,0,0
사려니숲길,"['숲길', '입구', '오름', '주차장', '주차']",2,0,0,7,0,0,0,0,0
