,카페명,별점,별점갯수,insta,Naver_review,Naver_rate
0,원앤온리,4.0,466,"90,774","['방문자리뷰 10,043', '블로그리뷰 4,911']",4.34
1,퍼시픽리솜더클리프카페&펍,3.8,359,0,a,0.0
2,카페나모나모,4.6,351,"4,172","['방문자리뷰 3,207', '블로그리뷰 1,366']",4.44
3,울트라마린,4.5,253,"36,177","['방문자리뷰 1,302', '블로그리뷰 1,436']",4.57
4,드르쿰다in성산,4.5,239,"18,668","['방문자리뷰 1,134', '블로그리뷰 1,562', '모두', '인스타그램']",4.48
5,유동커피,4.2,335,"61,600",a,0.0
6,베케,3.8,97,"31,033","['방문자리뷰 971', '블로그리뷰 1,593', '아메리카노', '카페라떼', '차콩크림라떼', '쿠크모카라떼']",4.45
7,목장카페드르쿰다,4.3,220,"8,943","['방문자리뷰 4,963', '블로그리뷰 1,195']",4.39
8,오르다,3.7,72,"42,010",a,0.0
9,뷰스트,3.8,94,"12,402","['방문자리뷰 2,114', '블로그리뷰 1,263', '메뉴판 전체보기']",4.43
10,테라로사서귀포점,4.1,144,"1,906","['방문자리뷰 4,079', '블로그리뷰 1,996']",4.51
11,휴일로,4.3,127,"16,595",a,0.0
12,명월국민학교,3.9,88,"76,401",a,0.0
13,커피템플,4.4,97,"19,682","['방문자리뷰 755', '블로그리뷰 903']",4.56
14,카페서연의집,3.7,89,"2,471","['방문자리뷰 1,001', '블로그리뷰 2,333']",4.35
15,카페라라라,4.8,795,"5,276","['방문자리뷰 3,601', '블로그리뷰 645']",4.61
16,외도339,4.4,113,"10,531","['방문자리뷰 2,206', '블로그리뷰 855']",4.46
17,아줄레주,4.0,158,"33,583","['방문자리뷰 1,227', '블로그리뷰 1,566', '아메리카노', '에그타르트', '수제청']",4.57
18,꽃이피다앤블라썸,4.6,49,125,a,0.0
19,클랭블루,4.5,320,"15,109","['방문자리뷰 1,245', '블로그리뷰 1,430']",4.46
20,도렐제주본점,3.7,180,717,"['방문자리뷰 1,234', '블로그리뷰 1,271', '메뉴판 전체보기']",4.5
21,마틸다,3.5,73,"117,757","['방문자리뷰 591', '블로그리뷰 637', '아메리카노', '카스맥주', '칵테일']",4.44
22,인그리드,4.0,52,"10,496","['방문자리뷰 529', '블로그리뷰 829', '메뉴판 전체보기']",4.52
23,카페이피엘(휴업중),3.7,69,0,a,0.0
24,제주바솔트,4.3,43,"2,782",a,0.0
25,카페더콘테나,4.0,57,"7,866","['방문자리뷰 758', '블로그리뷰 733', '감귤주스', '콘테나커피']",4.57
26,블랑로쉐,4.1,168,"36,696","['방문자리뷰 3,827', '블로그리뷰 1,550', '우도 땅콩크림라떼', '우도 땅콩아이스크림', '우도 땅콩잼', '아메리카노']",0.0
27,썬셋클리프,4.4,205,"5,567","['방문자리뷰 798', '블로그리뷰 459']",4.3
28,제레미,4.6,97,"9,317","['방문자리뷰 401', '블로그리뷰 462', '핸드드립커피', '제레미 커피', '모닝세트', '토스트']",4.64
29,섬타르,4.5,186,"19,161","['방문자리뷰 1,109', '블로그리뷰 1,079']",4.73
30,커피파인더,4.8,138,"7,797","['방문자리뷰 515', '블로그리뷰 351']",4.54
31,쪼끌락,3.8,68,"10,189","['방문자리뷰 846', '블로그리뷰 1,083', '김녕라떼', '돌하르방라떼', '돌하르방아포가토', '당근케이크']",0.0
32,벙커하우스,4.3,103,"5,241","['방문자리뷰 1,354', '블로그리뷰 434', '봄날', '딸기라떼', '아메리카노', '카페모카']",4.43
33,구좌상회작업실,3.7,89,"5,604","['방문자리뷰 792', '블로그리뷰 1,308', '당근케이크', '우아한숙녀']",4.35
34,커피스케치,4.5,53,"3,051","['방문자리뷰 1,274', '블로그리뷰 772']",4.66
35,마마롱,3.7,63,"13,220","['방문자리뷰 739', '블로그리뷰 645', '메뉴판 전체보기']",4.55
36,쉼표,3.5,71,"121,279",a,0.0
37,니모메,4.0,69,"6,343",a,0.0
38,와토커피,4.4,89,"10,609","['방문자리뷰 312', '블로그리뷰 527', '아메리카노', '와토 알프스', '우드라떼', '플랫오름']",4.53
39,미쿠니,4.5,97,"5,687","['방문자리뷰 884', '블로그리뷰 429']",4.6
40,브와두스베이커리카페연동점,4.7,175,0,a,0.0
41,카페한라산,3.7,143,"24,931","['방문자리뷰 2,048', '블로그리뷰 1,605', '제주당근케이크', '아메리카노', '한라봉 온차', '한라봉 냉차']",4.61
42,마음에온,4.5,55,"4,433",a,0.0
43,미스틱3도,4.3,44,"8,876","['방문자리뷰 1,100', '블로그리뷰 757']",4.4
44,머문,3.8,53,"4,504","['방문자리뷰 1,368', '블로그리뷰 501', '바스크 치즈케이크', '수제 케이크', '아메리카노', '카페라떼']",4.41
45,당당,3.7,103,"28,113",a,0.0
46,본카페애월,4.4,71,188,a,0.0
47,허니문하우스,4.3,174,"17,419","['방문자리뷰 3,298', '블로그리뷰 1,380', '아이스 아메리카노', '아메리카노', '카페라떼', '카페모카']",4.45
48,비브레이브혁신도시점,4.4,65,609,"['방문자리뷰 711', '블로그리뷰 346', '파나마게이샤', '로쉐', '아메리카노']",4.57
49,베메로bakemakeroast,4.7,799,0,"['방문자리뷰 865', '블로그리뷰 571']",4.64
50,오늘은녹차한잔,4.3,69,"6,340","['방문자리뷰 1,977', '블로그리뷰 785', '호지차아이스크림', '말차아이스크림']",4.56
51,모뉴에트,4.3,74,"8,185","['방문자리뷰 1,141', '블로그리뷰 713', '한라산 까눌레', '모뉴에트 라떼', '아메리카노', '천혜향 풋귤 에이드']",4.58
52,호랑호랑,3.9,69,"3,009",a,0.0
53,카페태희,4.3,113,"6,086","['방문자리뷰 653', '블로그리뷰 513', '피쉬&칩스', '스몰 피쉬&칩스', '구운생선&칩스', '새우튀김']",4.52
54,달빛제주,4.6,23,"4,626","['방문자리뷰 281', '블로그리뷰 468']",4.54
55,모래비,4.5,173,"3,099",a,0.0
56,모노클제주,4.0,51,"5,531","['방문자리뷰 883', '블로그리뷰 503', '아인슈페너', '스콘', '아메리카노', '카페라떼']",4.55
57,카페공작소,3.6,58,"44,949","['방문자리뷰 334', '블로그리뷰 1,479']",4.57
58,청춘부부,4.6,56,"14,672","['방문자리뷰 566', '블로그리뷰 639']",4.66
59,아뜰리에안,4.0,42,"10,486","['방문자리뷰 548', '블로그리뷰 580']",4.35
60,슬랩,4.8,158,"6,894",a,0.0
61,스타벅스제주용담DT점,3.7,84,0,a,0.0
62,빠빠라기신제주점,4.5,37,22,"['방문자리뷰 608', '블로그리뷰 202', '순수 초코 빙수', '순수 녹차 빙수', '요거트 빙수(중,대)', '팥빙수(중)']",4.51
63,두갓,4.8,42,"3,198","['방문자리뷰 406', '블로그리뷰 414', '아메리카노', '플랫화이트', '제주보리라떼', '뱌라멜라떼']",4.59
64,그러므로파트2,4.1,56,338,"['방문자리뷰 976', '블로그리뷰 934', '메리하하', '레몬차', '진저라떼', '플랫화이트']",4.47
