place,insta,Naver_rate,Naver_review_num
원앤온리,"90,774",4.34,10043
퍼시픽리솜더클리프카페&펍,0,0.0,0
카페나모나모,"4,172",4.44,3207
울트라마린,"36,177",4.57,1302
드르쿰다in성산,"18,668",4.48,1134
유동커피,"61,600",0.0,0
베케,"31,033",4.45,971
목장카페드르쿰다,"8,943",4.39,4963
오르다,"42,010",0.0,0
뷰스트,"12,402",4.43,2114
테라로사서귀포점,"1,906",4.51,4079
휴일로,"16,595",0.0,0
명월국민학교,"76,401",0.0,0
커피템플,"19,682",4.56,755
카페서연의집,"2,471",4.35,1001
카페라라라,"5,276",4.61,3601
외도339,"10,531",4.46,2206
아줄레주,"33,583",4.57,1227
꽃이피다앤블라썸,125,0.0,0
클랭블루,"15,109",4.46,1245
도렐제주본점,717,4.5,1234
마틸다,"117,757",4.44,591
인그리드,"10,496",4.52,529
카페이피엘(휴업중),0,0.0,0
제주바솔트,"2,782",0.0,0
카페더콘테나,"7,866",4.57,758
블랑로쉐,"36,696",0.0,3827
썬셋클리프,"5,567",4.3,798
제레미,"9,317",4.64,401
섬타르,"19,161",4.73,1109
커피파인더,"7,797",4.54,515
쪼끌락,"10,189",0.0,846
벙커하우스,"5,241",4.43,1354
구좌상회작업실,"5,604",4.35,792
커피스케치,"3,051",4.66,1274
마마롱,"13,220",4.55,739
쉼표,"121,279",0.0,0
니모메,"6,343",0.0,0
와토커피,"10,609",4.53,312
미쿠니,"5,687",4.6,884
브와두스베이커리카페연동점,0,0.0,0
카페한라산,"24,931",4.61,2048
마음에온,"4,433",0.0,0
미스틱3도,"8,876",4.4,1100
머문,"4,504",4.41,1368
당당,"28,113",0.0,0
본카페애월,188,0.0,0
허니문하우스,"17,419",4.45,3298
비브레이브혁신도시점,609,4.57,711
베메로bakemakeroast,0,4.64,865
오늘은녹차한잔,"6,340",4.56,1977
모뉴에트,"8,185",4.58,1141
호랑호랑,"3,009",0.0,0
카페태희,"6,086",4.52,653
달빛제주,"4,626",4.54,281
모래비,"3,099",0.0,0
모노클제주,"5,531",4.55,883
카페공작소,"44,949",4.57,334
청춘부부,"14,672",4.66,566
아뜰리에안,"10,486",4.35,548
슬랩,"6,894",0.0,0
스타벅스제주용담DT점,0,0.0,0
빠빠라기신제주점,22,4.51,608
두갓,"3,198",4.59,406
그러므로파트2,338,4.47,976
트라인커피,"7,721",4.46,508
카페바나나함덕점,362,4.75,1857
프로젝트064다방,"1,634",0.0,150
앨리스,"245,498",0.0,0
카페콜라,"13,732",4.46,712
카페동백,"13,552",4.52,369
스테이위드커피,"4,767",4.52,637
수마,"1,846",0.0,441
그초록,"13,891",4.55,774
카페노티드제주애월,170,4.46,12484
코코티에,"2,733",4.34,1193
망고홀릭제주본점,405,4.49,506
다소니,"14,510",0.0,0
요요무문,"8,689",4.46,355
스타벅스제주함덕점,531,4.44,7795
블루보틀제주카페,51,4.54,3857
1158족욕카페,358,4.62,395
그계절,"22,235",4.48,660
텐저린카페,"3,256",4.63,3012
말로,"13,055",0.0,0
마노커피하우스,"1,659",4.76,302
서귀피안,"11,318",0.0,0
엘파소,"7,847",4.83,1710
망고레이섭지코지점,462,4.42,765
어제보다오늘,"7,376",4.47,421
비마이게스트,"5,814",0.0,449
카페진정성종점,"4,411",4.44,2240
빽다방베이커리제주사수점,19,4.51,7123
오늘의바다,"9,357",0.0,240
와랑와랑,"10,683",4.52,414
카페그라나다,967,4.32,331
카페리,"14,421",0.0,0
사계생활,"6,389",4.43,340
카페도두,"2,899",4.18,123
스타벅스성산일출봉점,"2,013",4.45,4551
에스프레소라운지,"16,950",4.43,1826
모모제이,"5,521",4.43,339
5L2F(오엘이에프),0,4.63,432
서홍정원,"9,144",4.48,252
스물다섯,"56,810",4.66,90
컴플리트커피연동점,0,0.0,0
시루애월,"6,260",4.39,417
인스밀,"35,260",4.41,2446
스타벅스제주노형점,136,4.52,3321
Pickus피커스,0,4.44,484
제주설심당본점,23,4.23,663
듀포레,"3,611",4.53,1825
ABC베이커리,0,4.41,755
모카다방,"13,001",4.56,189
호텔샌드,"15,438",0.0,0
그리울땐제주,"6,212",0.0,266
카페블루하우스올레시장점,17,0.0,0
스타벅스제주칠성점,172,4.48,3579
스타벅스제주송악산점,306,4.41,3605
신산리마을카페,"2,668",4.44,378
미엘드세화,"11,010",4.56,442
동박낭,"5,866",4.08,180
윈드스톤,"11,807",4.63,204
73st,"4,690",4.36,416
풍미독서,"8,253",4.43,639
선흘,"9,896",0.0,0
스타벅스제주시청점,369,4.47,2764
카페유주,"8,099",4.62,406
달자카페,"3,233",4.41,394
그레이그로브,"3,831",4.63,262
바다위에코끼리,"9,652",4.6,237
바라나시책골목,"1,947",4.85,87
누옥,"2,534",4.57,301
동명정류장,"6,790",4.85,449
알마커피제작소,"2,440",4.54,326
노바운더리제주,772,0.0,327
간세라운지,745,4.5,158
모앙,"6,774",4.52,298
회춘애월점,"1,825",0.0,169
서귀피안베이커리,"2,848",0.0,5402
디피159,"2,913",4.65,619
스타벅스제주외도DT점,0,4.45,2697
사일리커피,"2,530",4.67,665
에이바우트커피한라대점,19,4.3,851
카카듀,"6,586",4.36,465
이에르바,"6,770",4.6,260
무로이,"6,137",4.52,2027
조아찌커피,322,4.48,247
커피99.9,0,4.57,78
롱플레이제주,314,0.0,130
너와의첫여행,0,4.59,868
인카페온더비치,"3,151",4.47,608
바람벽에흰당나귀,"6,517",4.36,454
델문도로스터스,757,4.41,520
카페희상,"12,642",0.0,123
순아,527,0.0,0
속솜,"1,250",4.58,224
카페주비,933,4.72,1105
그러므로,"15,645",0.0,0
인디고인디드,"1,309",4.56,238
우호적무관심,"4,756",4.48,520
하라케케,"7,220",0.0,672
카페바르941,482,4.8,298
플레이스엉물,"5,188",4.63,586
씨리얼,"90,232",0.0,0
오버더윈도우,"3,973",4.55,122
다랑쉬,"3,973",0.0,0
커피주의보,"3,049",4.5,241
너븐,"4,997",4.55,677
바램,"81,154",0.0,0
말리가,"2,135",4.76,132
시인의집,"4,601",4.56,186
숑,"10,390",4.62,120
카페닐스,"3,996",4.67,128
카페유디에이,320,4.67,1038
과수원피스,"4,388",4.87,214
먹쿠슬낭여행자카페,954,4.74,1697
귤꽃다락,"10,105",4.66,1087
스타벅스제주신화월드R점,0,4.45,3378
까미노,"58,230",0.0,0
스타벅스제주노형공원점,43,4.47,2279
카페세바,"19,573",4.49,85
하소로커피,"3,511",4.58,284
동백정원,"4,451",0.0,0
카페더라이트,"10,234",4.53,1016
색달로망스,"2,395",4.64,216
카페두가시,"3,539",4.56,177
카페2472,939,4.48,182
"오른(orrrn,오알엔)",0,0.0,0
살롱드라방,"24,622",4.63,305
노을리카페,"3,700",4.64,1886
모찌롱(휴업중),0,0.0,0
카페오드리,"3,826",0.0,148
블루모모,"1,788",4.67,144
카페훤,"2,013",4.45,302
카페살레,"2,594",4.55,943
오늘도화창,"5,993",4.63,353
제주몹시,"2,079",4.54,245
카페송키,"2,833",0.0,111
