place,insta,Naver_rate,Naver_review_num
연돈,"47,043",0.0,0
숙성도노형점,103,0.0,0
우진해장국,"66,667",4.41,14116
고집돌우럭제주공항점,372,4.71,5819
고집돌우럭함덕점,"2,132",4.76,6857
색달식당중문갈치조림구이본점,0,4.6,6126
고집돌우럭중문점,"5,662",4.77,13227
이춘옥의원조고등어쌈밥,296,0.0,0
제주김만복본점,"7,499",4.28,5138
중문수두리보말칼국수,"2,220",4.63,3406
맛나식당,"21,688",4.46,2888
곰막식당,"5,374",4.47,3679
춘심이네본점,"12,421",4.45,4270
은희네해장국본점,"1,721",0.0,0
착한집,"9,158",0.0,0
칠돈가본점,"6,168",0.0,0
한림칼국수,"13,408",0.0,0
미영이네식당,"6,640",4.53,2686
바다를본돼지제주협재판포본점,0,0.0,0
더바루시아,246,0.0,1
제주김만복애월점,"1,379",4.23,3119
김희선제주몸국,"1,596",4.46,2372
제주오성식당,"1,203",4.68,6196
신설오름,"6,198",4.41,1383
바다를본돼지제주서귀포점,0,4.49,2155
삼대국수회관본점,"1,331",4.22,2562
제주김만복동문시장점,174,4.36,3254
갈치왕중문점,17,4.67,1563
국수마당본점,409,4.34,2348
고이정본점,154,4.61,5091
상춘재,"8,142",4.54,1999
살아있는해물뚝배기어마장장,"1,500",0.0,0
해왓,"2,511",4.47,1412
당케올레국수,"4,424",4.35,1713
국수바다본점,"12,664",0.0,1617
만덕이네,"7,181",4.28,1421
원담,"5,976",4.71,1625
일통이반,"9,327",0.0,1335
큰돈가중문점,"1,085",4.63,1247
다정이네올레시장본점,14,4.33,3891
국시트멍,"3,001",4.46,1677
충민정,"6,509",4.77,3598
스시애월,"4,251",4.59,435
제주어멍통갈치,"1,836",4.38,1437
솔지식당,"5,411",4.39,960
문개항아리조천본점,635,4.79,8843
치저스,"11,057",4.76,3510
동해미락,"1,091",4.65,800
해월정,"17,310",4.22,2572
모살물,"2,961",0.0,0
제주에가면,"5,349",4.5,1250
별돈별정원점,623,0.0,0
다가미,"1,339",4.33,1589
골막식당,"2,465",4.4,1047
제주김만복김밥서귀포점,23,4.33,2917
고씨네천지국수,"2,398",4.66,2558
올레왕갈치,455,4.69,819
도토리키친본점,29,4.51,1531
산방식당,"15,734",4.3,1334
연동마라도횟집,"1,032",4.38,522
뽈살집제주본점,50,4.63,1429
흑돼지BBQ,0,4.65,735
산도롱맨도롱,"12,333",0.0,0
신우성흑돼지,"10,738",4.63,1295
국수만찬,"3,086",4.59,1055
옥만이네,"3,306",0.0,0
훈남횟집,"5,307",4.47,995
은혜전복,"9,529",4.5,2446
산지해장국,"3,976",0.0,0
제주마당,"6,801",4.36,1283
이금돈지,"4,244",4.43,758
효퇴국수,"2,375",4.4,687
데미안,"58,219",0.0,0
부두식당,"10,524",4.31,1579
돈이랑본점,844,4.68,5596
바당길,"3,327",0.0,0
자리돔횟집,"2,552",4.62,867
소금바치순이네,"7,583",4.5,3106
은희네해장국서귀포점,286,4.46,1121
시골길,"67,862",4.31,765
복자씨연탄구이,"14,526",4.3,2566
로빙화,"10,825",4.51,927
은희네해장국함덕점,106,4.36,991
애월흑돼지애월그때그집본점,0,4.68,1994
깡촌흑돼지,"9,602",0.0,878
천짓골식당,"1,720",4.48,891
바다속고등어쌈밥,"6,215",0.0,1845
가시식당,"4,040",4.35,874
산지물본점,143,0.0,0
몬스터살롱,"13,251",4.48,3173
제주판타스틱버거,805,4.56,1455
한림칼국수공항점,31,4.39,1106
난드르바당,"8,385",4.43,1433
갈치요리전문점만족한상회,0,4.83,1094
남춘식당,"3,989",4.43,860
진아떡집,"6,189",0.0,0
봉순이네흑돼지,"8,324",4.62,2909
촌촌해녀촌,"1,196",4.2,205
제주늘봄,883,0.0,546
제주한라국수,"3,723",4.28,1083
곱들락,"17,407",4.54,849
태광식당,"7,754",4.35,1096
안녕협재씨제주협재점,10,4.51,1599
은희네해장국2호점,296,4.39,948
제주약수터본점,145,0.0,0
오롯,"21,544",0.0,0
장수물식당,"4,027",4.39,980
닻,"20,329",0.0,0
황해식당,"3,676",4.72,1825
하원가흑돼지,"6,525",4.73,370
정직한돈본점,191,4.66,1758
골목,"246,665",0.0,0
만월당,"18,789",4.59,2199
고등어쌈밥,"10,996",0.0,0
공천포식당,"6,902",4.45,1377
식당마요네즈,"3,324",0.0,0
순수한둠비,821,0.0,0
더꽃돈협재점,0,0.0,0
부촌,"3,014",4.41,1249
제주본참숯불갈비,144,4.69,687
제주순풍신제주본점,0,0.0,0
제주육대표,563,4.64,560
오현돼지불백,412,4.36,925
대춘해장국본점,152,4.47,1198
공항흑돼지시청그때그집,0,4.73,838
미스칠,"1,191",4.34,776
용두암해촌,"6,657",4.65,2929
제주국담,"2,241",4.55,430
순천미향,"4,060",4.68,1904
88버거,"12,311",4.71,3865
돈블랙서귀포본점,42,4.85,1708
바다를본돼지제주노형점,0,4.42,713
대기정,"6,820",4.55,2272
산지물신제주점,48,4.11,424
코코분식,"2,581",4.32,461
코코마마성산점,"1,411",4.53,3139
가람돌솥밥,"10,311",4.45,4166
성산일출봉청운식당,"8,915",0.0,968
제주미담,"1,662",4.3,780
큰돈가본점,704,4.61,750
재연식당,"4,450",4.5,841
문치비,"5,227",4.63,2484
나원회포차,980,4.82,2135
오가네전복설렁탕서귀포본점,0,0.0,0
시흥해녀의집,"1,341",4.38,473
도갈비,"1,260",4.73,487
포도원흑돼지,"3,148",4.36,496
낭쿰낭쿰,"1,022",0.0,0
홍성방,"9,612",4.5,1211
낭뜰에쉼팡,"3,563",4.4,1404
돈사돈별관,675,4.44,907
잇칸시타,"6,306",4.53,898
형제도식당본점,26,4.66,1566
논짓물,"14,057",0.0,0
정직한돈협재직영점,13,4.76,1526
남양수산,"3,542",4.64,516
칠돈가서광직영점,297,4.31,426
램앤블랙(구.램하우스),0,0.0,0
서서방숯불닭갈비,"3,328",0.0,0
태하횟집,"1,841",4.38,240
노조미,"7,121",4.44,487
제주예찬,"3,145",4.53,1239
표선우동가게,915,4.49,582
선흘곶,"4,301",4.49,935
돌집식당,"2,601",4.52,577
제주돗,"10,616",4.57,569
민경이네어등포해녀촌,"3,290",0.0,993
탐라우돈정육식당,296,4.75,589
중문흑돼지천국,286,4.81,1548
솔동산고기국수,"1,201",4.4,718
김지순의낭푼밥상,888,4.29,268
금박돈,"1,795",4.43,653
뚱보아저씨,"2,637",4.47,1460
도두반점제주사수본점,12,4.33,1155
형돈,"2,618",4.49,559
연미정,"11,849",4.46,659
제주김만복성산점,235,4.52,327
덕승식당,"4,523",4.32,688
백리향,"15,013",0.0,0
한라전복(본점),0,0.0,0
제갈양,"5,091",4.56,1521
연북로해물탕,"1,433",4.48,453
짱구분식,"8,221",0.0,0
만선식당,"11,777",4.41,1138
인디언키친,"2,516",4.52,949
산방산초가집,"2,583",4.6,749
문개항아리애월점,567,4.82,6820
숙성도중문점,"3,077",4.44,3457
해심가든,"4,603",0.0,739
모이세해장국본점,216,0.0,0
곤밥2,"1,506",4.59,1447
임금님밥상,"2,904",4.27,680
춘미향식당,"2,071",4.47,743
제주고집,"2,858",4.71,2075
제주올래국수,"1,976",4.41,272
스시도모다찌제주점,12,4.43,851
옥돔식당,"5,681",4.38,1221
돈향기,"5,113",4.61,1515
제주곰집,"16,599",4.54,2448
칠돈가표선직영점,154,0.0,1167
순풍해장국함덕본점,0,0.0,0
옹포바다횟집,"3,468",4.53,423
범일분식,"3,387",4.36,590
제주곱,"3,861",4.52,311
커큐민흑돼지,"5,843",4.45,983
글라글라하와이,"6,978",4.54,776
짬뽕에취한날,"4,907",4.37,687
이스트포레스트,"5,760",4.5,1400
더스푼,"6,569",4.65,1026
