,카페명,별점,별점갯수,insta,Naver_review,Naver_rate
0,라마다프라자제주호텔,3.7,72,0,"['방문자리뷰 1,812', '블로그리뷰 1,416', '객실 패키지', '블로그', '인스타그램', '페이스북']",4.43
1,롯데호텔제주,4.3,98,"57,345","['방문자리뷰 1,486', '블로그리뷰 3,590', '블로그', '인스타그램']",4.58
2,베니키아호텔제주,3.6,77,737,"['방문자리뷰 100', '블로그리뷰 259', '웹사이트']",3.87
3,베니키아중문호텔,4.0,11,271,"['방문자리뷰 105', '블로그리뷰 140', '네이버예약']",4.31
4,호텔더본제주,4.1,88,0,"['방문자리뷰 2,257', '블로그리뷰 1,518']",4.46
5,서머셋제주신화월드,3.5,40,"7,664","['방문자리뷰 519', '블로그리뷰 1,291', '네이버예약', '웹사이트', '페이스북', '인스타그램']",4.4
6,호텔리젠트마린,3.9,97,277,a,0.0
7,롯데시티호텔제주,4.3,82,"8,044","['방문자리뷰 579', '블로그리뷰 1,302', '객실 패키지', '인스타그램', '페이스북']",4.51
8,해비치호텔앤드리조트제주,4.3,112,48,"['방문자리뷰 3,132', '블로그리뷰 3,831', '객실 패키지', '인스타그램']",4.54
9,제주부영호텔앤리조트,3.8,65,945,"['방문자리뷰 1,341', '블로그리뷰 1,502', '객실 패키지']",4.5
10,히든클리프호텔&네이쳐,3.5,118,0,"['방문자리뷰 1,788', '블로그리뷰 3,657', '인스타그램', '페이스북']",4.47
11,호텔케니서귀포,3.9,110,0,"['방문자리뷰 819', '블로그리뷰 502', '네이버예약', '인스타그램']",4.39
12,코업시티호텔성산,3.6,103,"6,942","['방문자리뷰 767', '블로그리뷰 528', '인스타그램']",4.24
13,오션스위츠제주호텔,3.6,58,460,"['방문자리뷰 490', '블로그리뷰 784']",4.29
14,제주신라호텔,4.4,118,"169,630","['방문자리뷰 4,011', '블로그리뷰 6,602', '객실 패키지']",4.68
15,파크선샤인제주,4.1,76,"2,155","['방문자리뷰 841', '블로그리뷰 640', '네이버예약']",4.63
16,위호텔,3.6,46,"6,831","['방문자리뷰 862', '블로그리뷰 870', '페이스북', '인스타그램']",4.39
17,유니호텔앤풀빌라,4.1,61,0,"['방문자리뷰 1,385', '블로그리뷰 857', '웹사이트', '페이스북', '인스타그램']",4.48
18,코업시티호텔하버뷰,3.8,67,"5,099","['방문자리뷰 428', '블로그리뷰 492', '웹사이트', '페이스북', '인스타그램']",4.4
19,토스카나호텔,3.9,51,"23,687","['방문자리뷰 658', '블로그리뷰 1,748', '네이버예약', '공식 홈페이지 예약', '웹사이트', '인스타그램']",4.59
20,캠퍼트리호텔앤리조트,3.8,40,"7,235","['방문자리뷰 443', '블로그리뷰 653', '블로그', '인스타그램']",4.4
21,리치호텔,3.8,37,947,"['방문자리뷰 80', '블로그리뷰 27', '네이버예약', '블로그']",4.15
22,호텔레오,4.5,56,685,"['방문자리뷰 200', '블로그리뷰 232', '블로그', '페이스북']",4.49
23,스위트메이서귀포호텔,4.1,34,13,"['방문자리뷰 262', '블로그리뷰 214', '웹사이트', '네이버예약']",4.41
24,스위트호텔제주점,3.5,34,0,a,0.0
25,호텔윈스토리,4.4,46,33,"['방문자리뷰 327', '블로그리뷰 162', '네이버예약']",4.23
26,아리아호텔,4.8,38,"2,969","['방문자리뷰 45', '블로그리뷰 118', '네이버예약', '인스타그램']",4.19
27,아이진호텔,4.1,31,376,"['방문자리뷰 232', '블로그리뷰 213']",4.13
28,제주항공우주호텔,3.9,25,736,"['방문자리뷰 161', '블로그리뷰 324', '네이버예약', '인스타그램']",4.14
29,제주팔레스호텔,4.0,39,48,"['방문자리뷰 7', '블로그리뷰 4']",0.0
30,호텔난타,4.2,85,"1,932","['방문자리뷰 518', '블로그리뷰 791', '네이버예약', '인스타그램', '블로그', '모두']",4.5
31,퍼스트70,3.7,71,57,a,0.0
32,유어스호텔,3.9,25,962,"['방문자리뷰 325', '블로그리뷰 86', '네이버예약']",4.3
33,호텔브릿지서귀포,4.2,21,151,"['방문자리뷰 150', '블로그리뷰 285', '네이버예약', '트립어드바이저', '부킹닷컴']",0.0
34,아스타호텔,4.0,45,"1,207","['블로그리뷰 166', '네이버예약', '인스타그램', '페이스북']",0.0
35,브리즈베이호텔,4.3,23,279,"['방문자리뷰 64', '블로그리뷰 88']",4.63
36,아시아호텔,3.5,26,371,"['방문자리뷰 177', '블로그리뷰 156']",4.33
37,서귀포호텔,4.9,14,0,a,0.0
38,빠레브호텔,3.5,28,"7,341","['방문자리뷰 374', '블로그리뷰 312', '네이버예약', '인스타그램']",4.43
39,호텔휴식서귀포,4.0,41,51,"['방문자리뷰 236', '블로그리뷰 105', '네이버예약', '트립어드바이저', '부킹닷컴']",0.0
40,노블피아,3.9,36,31,a,0.0
41,제주호텔더엠,4.1,59,68,"['방문자리뷰 176', '블로그리뷰 128', '네이버예약', '인스타그램']",4.38
42,제주노블레스관광호텔,3.7,23,224,"['방문자리뷰 281', '블로그리뷰 171']",4.21
43,윈스카이호텔,4.0,38,"3,793","['방문자리뷰 157', '블로그리뷰 226', '네이버예약', '인스타그램']",4.29
44,벤티모호텔앤레지던스,4.7,60,134,"['방문자리뷰 259', '블로그리뷰 325', '네이버예약']",4.81
45,호텔서귀피안,3.9,21,"1,705","['방문자리뷰 1,414', '블로그리뷰 570', '웹사이트', '네이버예약', '인스타그램']",4.54
46,제주샹그릴라호텔앤리조트,3.7,9,311,"['방문자리뷰 11', '블로그리뷰 34', '네이버예약', '웹사이트', '인스타그램', '블로그']",0.0
47,호텔앨리스&트렁크,4.2,16,0,a,0.0
48,하이레지던스,4.6,19,165,a,0.0
49,까사로마호텔,4.1,38,847,"['방문자리뷰 141', '블로그리뷰 263']",4.49
