place,insta,Naver_rate,Naver_review_num
라마다프라자제주호텔,0,4.43,1812
롯데호텔제주,"57,345",4.58,1486
베니키아호텔제주,737,3.87,100
베니키아중문호텔,271,4.31,105
호텔더본제주,0,4.46,2257
서머셋제주신화월드,"7,664",4.4,519
호텔리젠트마린,277,0.0,0
롯데시티호텔제주,"8,044",4.51,579
해비치호텔앤드리조트제주,48,4.54,3132
제주부영호텔앤리조트,945,4.5,1341
히든클리프호텔&네이쳐,0,4.47,1788
호텔케니서귀포,0,4.39,819
코업시티호텔성산,"6,942",4.24,767
오션스위츠제주호텔,460,4.29,490
제주신라호텔,"169,630",4.68,4011
파크선샤인제주,"2,155",4.63,841
위호텔,"6,831",4.39,862
유니호텔앤풀빌라,0,4.48,1385
코업시티호텔하버뷰,"5,099",4.4,428
토스카나호텔,"23,687",4.59,658
캠퍼트리호텔앤리조트,"7,235",4.4,443
리치호텔,947,4.15,80
호텔레오,685,4.49,200
스위트메이서귀포호텔,13,4.41,262
스위트호텔제주점,0,0.0,0
호텔윈스토리,33,4.23,327
아리아호텔,"2,969",4.19,45
아이진호텔,376,4.13,232
제주항공우주호텔,736,4.14,161
제주팔레스호텔,48,0.0,7
호텔난타,"1,932",4.5,518
퍼스트70,57,0.0,0
유어스호텔,962,4.3,325
호텔브릿지서귀포,151,0.0,150
아스타호텔,"1,207",0.0,0
브리즈베이호텔,279,4.63,64
아시아호텔,371,4.33,177
서귀포호텔,0,0.0,0
빠레브호텔,"7,341",4.43,374
호텔휴식서귀포,51,0.0,236
노블피아,31,0.0,0
제주호텔더엠,68,4.38,176
제주노블레스관광호텔,224,4.21,281
윈스카이호텔,"3,793",4.29,157
벤티모호텔앤레지던스,134,4.81,259
호텔서귀피안,"1,705",4.54,1414
제주샹그릴라호텔앤리조트,311,0.0,11
호텔앨리스&트렁크,0,0.0,0
하이레지던스,165,0.0,0
까사로마호텔,847,4.49,141
모슬포호텔1동,0,0.0,0
더스테이센추리호텔,543,4.28,200
호텔시드니,17,0.0,0
BK호텔제주,0,4.22,114
블룸호텔,672,4.34,185
심스호텔,280,4.36,141
디아넥스호텔,"5,162",4.51,323
티라호텔,303,4.6,288
이스턴호텔제주,0,4.45,245
제주갤럭시호텔,24,4.18,77
스카이호텔,"1,003",4.1,144
팜파스호텔제주,108,4.27,107
제주스테이인성산,42,4.38,373
루체빌,321,4.33,567
브릿지레지던스호텔,66,4.44,114
하버호텔,253,4.48,194
호텔휴안스테이,0,4.48,98
어반스테이제주연동,0,0.0,37
신신호텔천지연,201,4.2,250
호텔엘린,0,0.0,9
서귀포KAL호텔,0,0.0,0
에코랜드호텔,"2,858",0.0,115
호텔징크,18,5.0,29
호텔화인제주,48,4.69,48
피노호텔,225,0.0,0
제주썬호텔&카지노,0,0.0,0
호텔스카브로,595,4.36,37
이화호텔,368,0.0,3
호텔펄리플러스,0,4.55,31
르메인호텔,435,4.9,420
뜨레비호텔,0,0.0,42
글래즈하임호텔,968,4.11,26
일레인호텔,522,4.59,232
호텔52,106,0.0,49
라림부띠끄호텔,"1,632",4.47,152
파밀리아호텔,46,4.41,41
하이제주호텔,163,4.28,30
그랜드밀리언스호텔서귀포,0,4.44,244
오션패밀리호텔,198,4.13,118
트로피컬하이드어웨이,"2,351",4.49,76
제주자몽호텔,0,4.73,97
참피온호텔,14,4.5,23
제주해군호텔,215,4.49,249
JW메리어트제주,0,0.0,0
썬랜드호텔,23,4.13,20
꼬뜨도르호텔,344,4.0,17
펠리시아호텔,26,4.8,34
블루마운틴호텔,34,4.05,32
라인호텔,911,0.0,13
호텔B,0,0.0,0
씨앤호텔,244,0.0,0
레슬리호텔,171,4.29,31
리벤시아풀빌라호텔,25,4.2,60
해리안호텔,54,4.68,63
호텔연,165,0.0,0
천지연호텔,236,4.25,12
해마호텔,155,3.95,17
더그랜드섬오름본관,0,0.0,0
런호텔,110,0.0,0
메르블루호텔,59,4.6,324
파인힐호텔,130,0.0,0
씨클리프호텔제주,0,0.0,7
인덱스제이드림호텔,3,0.0,0
제이뷰호텔,260,0.0,5
베드라디오도두봉,111,0.0,17
애월비치호텔,0,0.0,9
휴스테이금호,15,4.8,90
몽듀호텔,832,4.76,225
르메인호텔서귀포,9,4.38,123
오션블루호텔,28,0.0,6
퓨어스테이,0,3.72,20
호텔MCC,0,4.15,18
호텔스테이인터뷰제주,0,4.47,55
에이원호텔,339,3.25,19
제주푸른호텔,21,0.0,28
호텔메이저2,2,4.3,54
엘렌호텔,32,4.0,42
하니크라운호텔,137,4.33,21
호텔펄리,0,4.1,68
스탠포드호텔앤리조트제주,31,0.0,17
스와브호텔,344,4.7,20
호텔W신제주점,0,0.0,0
드림제주호텔,4,4.25,46
오로라호텔,198,4.76,124
코너스톤호텔,48,0.0,71
모슬포호텔3동,0,0.0,0
헤르츠호텔,39,4.31,67
레브호텔,20,4.31,20
호텔하루시다,94,0.0,5
오렌지호텔,241,0.0,13
제주골프호텔,11,0.0,4
그랜드조선힐스위트,"1,256",0.0,0
메이저호텔,23,4.41,20
호텔버지니아,0,0.0,9
모멘토호텔,45,0.0,9
아이존호텔,0,4.55,19
호텔홀라인제주협재점,0,4.85,308
더퍼스트호텔,19,0.0,0
씨앤하우스,252,0.0,0
탐라지오호텔,0,0.0,15
샤이니호텔,163,0.0,1
엔파제주호텔,203,4.67,15
i마이다스레지던스호텔,0,0.0,1
호텔캘리포니아,"1,594",0.0,0
제주TheMHotel,0,4.63,28
탑동호텔,290,4.38,13
예그린하우스,41,0.0,0
뉴크라운호텔,12,0.0,1
제주코아호텔,0,0.0,2
에메랄드호텔,33,0.0,0
파크비치호텔,17,0.0,0
제주필링굿하우스,0,0.0,0
EQSTAY,0,4.6,318
바솔트호텔,0,0.0,0
위너스호텔,376,4.36,222
은하호텔,6,0.0,0
라이프리버호텔,0,0.0,0
산방산호텔,604,0.0,128
호텔케니모슬포,276,4.47,185
제주인관광호텔,0,4.32,489
