,카페명,별점,별점갯수,insta,Naver_review,Naver_rate
0,마레보비치호텔,3.5,33,"1,007","['방문자리뷰 49', '블로그리뷰 45']",0.0
1,제주엘루이호텔,3.5,6,17,"['방문자리뷰 42', '블로그리뷰 161']",3.85
2,신신호텔서귀포점,3.9,34,8,a,0.0
3,코자호텔,4.0,24,19,"['방문자리뷰 322', '블로그리뷰 85', '네이버예약']",4.43
4,아인스호스텔,4.0,17,0,"['방문자리뷰 64', '블로그리뷰 78']",4.48
5,아라팰리스호텔,3.8,6,10,"['방문자리뷰 6', '블로그리뷰 26', '웹사이트', '페이스북']",0.0
6,대동호텔,4.2,16,675,"['방문자리뷰 42', '블로그리뷰 48']",4.47
7,시티홀호텔,3.5,4,9,a,0.0
8,오라스테이,4.0,15,12,"['방문자리뷰 84', '블로그리뷰 36']",4.33
9,아루미호텔협재점,3.5,4,109,"['방문자리뷰 66', '블로그리뷰 56', '네이버예약', '인스타그램']",4.87
10,호텔G,3.5,13,0,"['방문자리뷰 33', '블로그리뷰 25']",4.02
11,성산아쿠아비치호텔,3.5,14,140,"['방문자리뷰 66', '블로그리뷰 52']",4.26
12,메종드씨엘하버39호텔앤리조트,4.0,2,10,"['방문자리뷰 49', '블로그리뷰 56']",0.0
13,제주R호텔,4.0,10,0,"['방문자리뷰 255', '블로그리뷰 227']",4.25
14,트루엘레지던스,4.2,5,0,"['방문자리뷰 92', '블로그리뷰 7', '네이버예약']",4.69
15,마로호스텔,4.4,7,65,"['방문자리뷰 311', '블로그리뷰 51', '페이스북', '인스타그램']",4.43
16,노형호텔,4.5,4,52,"['방문자리뷰 38', '블로그리뷰 21', '네이버예약', '인스타그램']",3.75
17,호텔DK,3.8,21,0,"['방문자리뷰 68', '블로그리뷰 83', '네이버예약']",4.36
18,베누스무인텔,5.0,3,0,"['방문자리뷰 13', '블로그리뷰 23', '예약']",4.86
19,메이플호텔,3.5,2,535,"['방문자리뷰 22', '블로그리뷰 7']",4.33
20,호텔탑아일랜드,5.0,2,0,a,0.0
21,르네상스호텔,5.0,4,"6,824","['방문자리뷰 12', '블로그리뷰 11', '네이버예약']",0.0
22,바다해호텔,4.9,8,55,"['방문자리뷰 23', '블로그리뷰 4']",4.18
23,신세계호텔,3.9,9,450,"['방문자리뷰 10', '블로그리뷰 9']",0.0
24,늘송파크텔,3.7,3,0,"['방문자리뷰 11', '블로그리뷰 14']",0.0
25,호텔랑주,4.3,7,0,"['방문자리뷰 16', '블로그리뷰 19']",4.5
26,에메랄드호텔에이스,3.7,3,0,"['방문자리뷰 23', '블로그리뷰 5']",4.62
27,골든파크호텔,3.8,13,13,"['방문자리뷰 41', '블로그리뷰 14']",3.98
28,헤라무인텔,4.0,4,0,"['방문자리뷰 4', '블로그리뷰 1']",0.0
29,제주올레호텔,4.1,12,0,"['방문자리뷰 2', '블로그리뷰 9']",0.0
30,성산호텔,4.3,6,"4,174",a,0.0
