place,insta,Naver_rate,Naver_review_num
마레보비치호텔,"1,007",0.0,49
제주엘루이호텔,17,3.85,42
신신호텔서귀포점,8,0.0,0
코자호텔,19,4.43,322
아인스호스텔,0,4.48,64
아라팰리스호텔,10,0.0,6
대동호텔,675,4.47,42
시티홀호텔,9,0.0,0
오라스테이,12,4.33,84
아루미호텔협재점,109,4.87,66
호텔G,0,4.02,33
성산아쿠아비치호텔,140,4.26,66
메종드씨엘하버39호텔앤리조트,10,0.0,49
제주R호텔,0,4.25,255
트루엘레지던스,0,4.69,92
마로호스텔,65,4.43,311
노형호텔,52,3.75,38
호텔DK,0,4.36,68
베누스무인텔,0,4.86,13
메이플호텔,535,4.33,22
호텔탑아일랜드,0,0.0,0
르네상스호텔,"6,824",0.0,12
바다해호텔,55,4.18,23
신세계호텔,450,0.0,10
늘송파크텔,0,0.0,11
호텔랑주,0,4.5,16
에메랄드호텔에이스,0,4.62,23
골든파크호텔,13,3.98,41
헤라무인텔,0,0.0,4
제주올레호텔,0,0.0,2
성산호텔,"4,174",0.0,0
이채호텔,13,0.0,6
스마트무인텔,0,0.0,8
모나코모텔,5,0.0,2
제주스위트호텔,"2,024",4.45,799
오케이모텔,6,0.0,8
뷰무인텔,0,0.0,3
라임모텔,5,0.0,11
꿈의바다,159,0.0,3
진모텔,0,0.0,9
풀하우스호텔,0,0.0,0
초이호스텔제주,119,0.0,0
남산모텔,5,0.0,9
타기모텔,0,0.0,8
호텔버킹검,0,0.0,8
호호네미니호텔,308,0.0,15
찰리호텔,0,0.0,3
기린모텔,8,0.0,1
휴모텔,42,0.0,7
이아호텔,11,4.45,29
호텔더레드,0,4.3,28
벨라유나,0,0.0,0
소담여관,20,0.0,0
호텔더단잠,0,0.0,12
스타성모텔,0,0.0,1
한라모텔,2,0.0,14
글로벌모텔,0,0.0,9
호텔모닝캄,18,0.0,7
휴무인텔,70,0.0,0
사쿠라호텔,58,4.5,15
서사라호텔,0,0.0,0
록산모텔,0,0.0,3
쌈지모텔,0,0.0,7
한울드라이브인호텔,0,0.0,0
프린스장모텔,0,0.0,0
비양도모텔,0,3.91,20
탑모텔,32,0.0,2
캐피탈모텔,2,4.35,16
제주영성모텔,0,0.0,3
제주산올레모텔,0,0.0,20
사모아,"3,635",0.0,11
해마루모텔,5,0.0,6
남강여관,0,0.0,2
모슬포2호텔,0,4.88,99
월정여관,469,4.96,370
글로리스테이,0,0.0,2
오렌지,"457,103",0.0,0
별관모텔,0,0.0,0
셀라모텔,0,0.0,9
조아모텔,3,0.0,4
한두모텔,0,0.0,1
퀸호텔,11,0.0,3
모텔준,0,0.0,0
상하이호텔,"1,323",3.99,40
송원모텔,0,0.0,0
만금장,0,0.0,0
미미여관,0,0.0,0
힐링하우스,"9,575",0.0,0
나인하우스,510,0.0,0
브라보,"32,278",4.54,218
수모텔,"1,497",0.0,3
폭포장모텔,0,0.0,7
만복모텔,0,0.0,0
대정모텔,7,0.0,0
너랑나랑게스트하우스,281,4.81,200
