,카페명,별점,별점갯수,insta,Naver_review,Naver_rate
0,미르빌펜션&리조트,3.6,16,0,a,0.0
1,에코그린리조트,4.1,22,"3,531","['방문자리뷰 829', '블로그리뷰 412', '네이버예약', '인스타그램']",4.34
2,라임오렌지빌,4.0,4,253,"['방문자리뷰 167', '블로그리뷰 258', '모두']",4.28
3,풀빌라소랑,4.0,15,"1,146","['방문자리뷰 1,978', '블로그리뷰 281', '네이버예약', '인스타그램']",4.3
4,통나무파크,4.4,14,"2,259","['방문자리뷰 2,714', '블로그리뷰 277']",4.51
5,엠스테이펜션,4.6,15,293,"['방문자리뷰 806', '블로그리뷰 804', '인스타그램']",4.54
6,편운산장,3.6,14,594,"['방문자리뷰 302', '블로그리뷰 104']",4.34
7,아르츠스파&풀빌라,3.9,17,0,"['방문자리뷰 823', '블로그리뷰 457']",4.43
8,제이라움,4.3,17,892,"['방문자리뷰 334', '블로그리뷰 202']",4.55
9,더갤러리펜션,3.8,6,"1,855","['방문자리뷰 1,086', '블로그리뷰 262']",4.48
10,아침해변펜션,5.0,1,40,"['방문자리뷰 80', '블로그리뷰 28']",4.16
11,보물섬,4.3,6,"61,789",a,0.0
12,제주브릭스,4.6,17,"1,172",a,0.0
13,드라마2015풀빌라,4.4,9,30,a,0.0
14,바다위에펜션,4.7,16,264,"['방문자리뷰 287', '블로그리뷰 130', '모두']",4.81
15,골든비치펜션,4.5,4,114,"['방문자리뷰 72', '블로그리뷰 15']",4.38
16,호랑호랑펜션,4.2,26,437,"['방문자리뷰 130', '블로그리뷰 167']",4.8
17,표선해비치펜션,5.0,2,212,"['방문자리뷰 202', '블로그리뷰 353', '웹사이트']",4.78
18,은빌레펜션,4.5,6,398,"['방문자리뷰 60', '블로그리뷰 148', '웹사이트', '페이스북', '인스타그램']",4.67
19,뭉클펜션,5.0,4,189,"['방문자리뷰 157', '블로그리뷰 13', '모두']",4.58
20,제주에코스위츠,4.9,8,443,"['방문자리뷰 1,039', '블로그리뷰 152', '블로그', '인스타그램']",4.77
21,큐티파이호텔,4.1,11,273,"['방문자리뷰 57', '블로그리뷰 98']",0.0
22,부티크스테이스놉,4.1,16,32,"['방문자리뷰 368', '블로그리뷰 141', '네이버예약']",4.47
23,해뜨는성펜션,4.9,18,30,"['방문자리뷰 17', '블로그리뷰 285']",4.79
24,가시리유채꽃길펜션,5.0,11,20,a,0.0
25,제주봄스테이,4.0,6,479,"['방문자리뷰 130', '블로그리뷰 95']",4.46
26,나인스파빌,3.6,10,"1,480","['방문자리뷰 323', '블로그리뷰 180']",0.0
27,홍스랜드,5.0,3,800,a,0.0
28,코코스펜션,4.7,12,410,"['방문자리뷰 323', '블로그리뷰 117']",4.52
29,제주담스파빌,3.9,17,627,"['방문자리뷰 710', '블로그리뷰 246']",4.63
30,비앤썬펜션,4.5,10,140,"['방문자리뷰 11', '블로그리뷰 57']",4.23
31,빈티지1950카페펜션,4.9,13,0,a,0.0
32,해담은스파빌,4.7,9,496,"['방문자리뷰 226', '블로그리뷰 157']",4.33
33,조유암펜션,4.5,17,224,"['방문자리뷰 18', '블로그리뷰 52']",4.78
34,끄라비펜션,4.4,7,55,"['방문자리뷰 130', '블로그리뷰 34', '모두']",4.64
35,제주올레돔펜션,4.3,8,471,"['방문자리뷰 413', '블로그리뷰 129']",4.66
36,디오션힐,4.0,11,112,"['방문자리뷰 102', '블로그리뷰 121']",4.45
37,뷰티플하우스,5.0,20,79,"['방문자리뷰 48', '블로그리뷰 94']",4.4
38,나디아펜션,3.8,8,59,"['방문자리뷰 93', '블로그리뷰 51', '모두']",4.51
39,건축학개론펜션,5.0,6,313,"['방문자리뷰 249', '블로그리뷰 57', '블로그']",4.47
40,W오션펜션,4.7,6,0,"['방문자리뷰 293', '블로그리뷰 22', '모두', '웹사이트']",4.45
41,제주솔한옥펜션,5.0,8,50,"['방문자리뷰 34', '블로그리뷰 70']",4.84
42,마녀의언덕,3.8,10,740,"['방문자리뷰 122', '블로그리뷰 176']",0.0
43,브라운캐빈,5.0,8,349,"['방문자리뷰 85', '블로그리뷰 37', '블로그']",4.65
44,솔펜션,3.6,11,568,a,0.0
45,해바라기펜션,5.0,3,"1,054","['방문자리뷰 1,750', '블로그리뷰 677', '인스타그램', '웹사이트']",4.88
46,더비비스제주,3.5,13,468,"['방문자리뷰 1,284', '블로그리뷰 145']",4.33
47,애월바다향기펜션,5.0,11,0,"['방문자리뷰 86', '블로그리뷰 22']",4.42
48,보우힐리조트&펜션,4.8,25,0,"['방문자리뷰 114', '블로그리뷰 58', '네이버예약']",4.68
49,달토끼펜션,4.4,7,235,"['방문자리뷰 56', '블로그리뷰 72']",3.84
50,감귤향기힐링파크,5.0,5,375,"['방문자리뷰 26', '블로그리뷰 14', '네이버예약', '인스타그램']",4.38
51,펜션연리,4.2,6,735,"['방문자리뷰 1,335', '블로그리뷰 101', '인스타그램']",4.68
52,아모르하우스,3.9,8,"2,166","['방문자리뷰 100', '블로그리뷰 51']",4.26
53,제이앤클로이,3.6,21,"1,382","['방문자리뷰 1,684', '블로그리뷰 206', '웹사이트']",4.65
54,중문통나무펜션&리조트,5.0,3,0,a,0.0
55,게우지코지펜션,4.3,12,292,"['방문자리뷰 24', '블로그리뷰 48']",0.0
56,마린포트리조트,4.7,7,42,"['방문자리뷰 105', '블로그리뷰 51', '네이버예약']",4.6
57,지미안펜션,4.4,14,124,"['방문자리뷰 138', '블로그리뷰 76']",4.5
58,제주아비앙또,4.3,30,316,"['방문자리뷰 1,162', '블로그리뷰 219']",4.63
59,제주파도소리펜션,4.3,7,0,a,0.0
60,제주팜파스펜션,4.9,8,0,a,0.0
61,푸르다오션펜션,4.1,15,300,"['방문자리뷰 984', '블로그리뷰 165', '모두']",4.72
62,낭만제주펜션,4.7,3,187,a,0.0
63,돈내코펜션,5.0,8,263,"['방문자리뷰 270', '블로그리뷰 30']",4.76
64,한담풍경하우스,5.0,6,39,"['방문자리뷰 546', '블로그리뷰 63', '웹사이트']",4.91
65,로그밸리펜션,5.0,3,"1,603","['방문자리뷰 67', '블로그리뷰 161']",4.79
66,함덕서우재,5.0,6,182,a,0.0
67,쉬멍놀멍,4.8,14,656,a,0.0
68,북촌플레이스,4.8,4,"3,714",a,0.0
69,해와돌바라기펜션,5.0,4,142,"['방문자리뷰 106', '블로그리뷰 207', '블로그']",4.67
70,이루다펜션,4.8,12,159,"['방문자리뷰 362', '블로그리뷰 83', '인스타그램']",4.89
71,스타하우스,4.0,4,"1,379",a,0.0
72,큰엉해올레펜션,4.6,8,39,"['방문자리뷰 178', '블로그리뷰 28']",4.81
73,오션하우스,4.1,10,360,"['방문자리뷰 361', '블로그리뷰 99']",4.33
74,쥬디스펜션,5.0,5,423,"['방문자리뷰 193', '블로그리뷰 28']",4.52
75,고내1101,4.3,3,459,"['방문자리뷰 1,601', '블로그리뷰 123', '블로그', '인스타그램', '모두']",4.9
76,제주다모르,5.0,3,27,"['방문자리뷰 448', '블로그리뷰 109']",4.71
77,솔라시도펜션,4.7,15,231,"['방문자리뷰 249', '블로그리뷰 50']",4.52
78,화이트캐슬펜션,4.0,7,52,['방문자리뷰 67'],4.67
79,성산해맞이펜션,3.7,3,0,"['방문자리뷰 47', '블로그리뷰 12']",4.35
80,월령코지펜션,5.0,4,45,"['방문자리뷰 108', '블로그리뷰 23']",4.47
81,뽀요요펜션카페,4.2,10,29,"['방문자리뷰 584', '블로그리뷰 664', '블로그', '웹사이트']",4.57
82,올레하우스펜션본관,4.0,6,0,a,0.0
83,제주펜션오다,3.8,6,21,"['방문자리뷰 176', '블로그리뷰 26', '모두', '페이스북', '인스타그램']",4.66
84,해모랏펜션,5.0,13,173,"['방문자리뷰 205', '블로그리뷰 40', '인스타그램', '모두']",4.8
85,더썸펜션,5.0,9,441,"['방문자리뷰 649', '블로그리뷰 102']",4.8
86,늘바다통나무펜션,4.0,11,73,"['방문자리뷰 135', '블로그리뷰 35']",4.41
87,646미터퍼세크,4.1,9,"1,183","['방문자리뷰 941', '블로그리뷰 336']",4.62
