place,insta,Naver_rate,Naver_review_num
미르빌펜션&리조트,0,0.0,0
에코그린리조트,"3,531",4.34,829
라임오렌지빌,253,4.28,167
풀빌라소랑,"1,146",4.3,1978
통나무파크,"2,259",4.51,2714
엠스테이펜션,293,4.54,806
편운산장,594,4.34,302
아르츠스파&풀빌라,0,4.43,823
제이라움,892,4.55,334
더갤러리펜션,"1,855",4.48,1086
아침해변펜션,40,4.16,80
보물섬,"61,789",0.0,0
제주브릭스,"1,172",0.0,0
드라마2015풀빌라,30,0.0,0
바다위에펜션,264,4.81,287
골든비치펜션,114,4.38,72
호랑호랑펜션,437,4.8,130
표선해비치펜션,212,4.78,202
은빌레펜션,398,4.67,60
뭉클펜션,189,4.58,157
제주에코스위츠,443,4.77,1039
큐티파이호텔,273,0.0,57
부티크스테이스놉,32,4.47,368
해뜨는성펜션,30,4.79,17
가시리유채꽃길펜션,20,0.0,0
제주봄스테이,479,4.46,130
나인스파빌,"1,480",0.0,323
홍스랜드,800,0.0,0
코코스펜션,410,4.52,323
제주담스파빌,627,4.63,710
비앤썬펜션,140,4.23,11
빈티지1950카페펜션,0,0.0,0
해담은스파빌,496,4.33,226
조유암펜션,224,4.78,18
끄라비펜션,55,4.64,130
제주올레돔펜션,471,4.66,413
디오션힐,112,4.45,102
뷰티플하우스,79,4.4,48
나디아펜션,59,4.51,93
건축학개론펜션,313,4.47,249
W오션펜션,0,4.45,293
제주솔한옥펜션,50,4.84,34
마녀의언덕,740,0.0,122
브라운캐빈,349,4.65,85
솔펜션,568,0.0,0
해바라기펜션,"1,054",4.88,1750
더비비스제주,468,4.33,1284
애월바다향기펜션,0,4.42,86
보우힐리조트&펜션,0,4.68,114
달토끼펜션,235,3.84,56
감귤향기힐링파크,375,4.38,26
펜션연리,735,4.68,1335
아모르하우스,"2,166",4.26,100
제이앤클로이,"1,382",4.65,1684
중문통나무펜션&리조트,0,0.0,0
게우지코지펜션,292,0.0,24
마린포트리조트,42,4.6,105
지미안펜션,124,4.5,138
제주아비앙또,316,4.63,1162
제주파도소리펜션,0,0.0,0
제주팜파스펜션,0,0.0,0
푸르다오션펜션,300,4.72,984
낭만제주펜션,187,0.0,0
돈내코펜션,263,4.76,270
