,카페명,별점,별점갯수,insta,Naver_review,Naver_rate
0,휘닉스제주,3.8,54,"41,022","['방문자리뷰 911', '블로그리뷰 1,970', '네이버예약', 'PYEONGCHANG', '객실', '건축∙아트', '푸드', '액티비티', '부대시설']",4.26
1,한화리조트제주,3.8,36,"2,689","['방문자리뷰 3,359', '블로그리뷰 866', '네이버예약']",4.22
2,소노벨제주신관,3.5,2,0,a,0.0
3,켄싱턴리조트제주중문,4.0,9,389,"['방문자리뷰 195', '블로그리뷰 214', '네이버예약']",0.0
4,더큐브리조트제주,3.8,47,151,"['방문자리뷰 166', '블로그리뷰 297']",4.16
5,아이브리조트,3.9,32,"1,549","['방문자리뷰 474', '블로그리뷰 238', '네이버예약']",0.0
6,롯데리조트제주아트빌라스,3.9,13,37,"['방문자리뷰 165', '블로그리뷰 515', '인스타그램', '페이스북']",4.69
7,와이리조트제주,4.2,37,34,"['방문자리뷰 112', '블로그리뷰 417']",4.43
8,베이힐풀앤빌라,3.9,14,"6,162","['방문자리뷰 166', '블로그리뷰 362', '페이스북', '인스타그램']",4.51
9,MJ리조트,4.9,84,0,"['방문자리뷰 272', '블로그리뷰 251', '네이버예약']",4.64
10,씨사이드아덴리조트,4.0,13,106,"['방문자리뷰 107', '블로그리뷰 155', '네이버예약', '인스타그램', '페이스북']",4.35
11,담앤루,4.4,13,832,a,0.0
12,올레리조트,4.2,18,"3,837","['방문자리뷰 240', '블로그리뷰 302', '네이버예약', '인스타그램']",4.29
13,오션스퀘어,3.8,23,569,"['방문자리뷰 323', '블로그리뷰 109', '네이버예약']",0.0
14,취다선리조트,4.9,44,"3,933","['방문자리뷰 1,936', '블로그리뷰 498', '네이버예약']",4.79
15,그림리조트,4.1,19,309,"['방문자리뷰 316', '블로그리뷰 91']",4.24
16,라헨느리조트,4.0,1,519,"['방문자리뷰 82', '블로그리뷰 397']",3.96
17,로긴리조트,3.9,21,702,"['방문자리뷰 321', '블로그리뷰 72', '네이버예약']",4.47
18,애월스테이인제주,4.4,23,719,"['방문자리뷰 488', '블로그리뷰 222', '네이버예약', '인스타그램']",4.32
19,썬앤문리조트,4.5,31,"2,539",['방문자리뷰 12'],0.0
20,클럽이에스제주리조트,4.6,13,65,"['방문자리뷰 314', '블로그리뷰 124', '블로그', '인스타그램']",4.35
21,제주리조트,4.0,15,"20,612",a,0.0
22,젠하이드어웨이,3.7,38,"13,983","['방문자리뷰 522', '블로그리뷰 618', '챠롱박스', '산방산 돔 파스타', '제주청보리두유라떼', '토마토바질에이드']",4.36
23,돈내코힐스파리조트,4.1,20,226,"['방문자리뷰 507', '블로그리뷰 265', '네이버예약']",4.44
24,서귀포월드컵리조트,4.6,15,559,"['방문자리뷰 424', '블로그리뷰 181', '인스타그램']",4.41
25,벨룸리조트,5.0,3,540,"['방문자리뷰 75', '블로그리뷰 111', '네이버예약', '인스타그램']",5
