place,insta,Naver_rate,Naver_review_num
휘닉스제주,"41,022",4.26,911
한화리조트제주,"2,689",4.22,3359
소노벨제주신관,0,0.0,0
켄싱턴리조트제주중문,389,0.0,195
더큐브리조트제주,151,4.16,166
아이브리조트,"1,549",0.0,474
롯데리조트제주아트빌라스,37,4.69,165
와이리조트제주,34,4.43,112
베이힐풀앤빌라,"6,162",4.51,166
MJ리조트,0,4.64,272
씨사이드아덴리조트,106,4.35,107
담앤루,832,0.0,0
올레리조트,"3,837",4.29,240
오션스퀘어,569,0.0,323
취다선리조트,"3,933",4.79,1936
그림리조트,309,4.24,316
라헨느리조트,519,3.96,82
로긴리조트,702,4.47,321
애월스테이인제주,719,4.32,488
썬앤문리조트,"2,539",0.0,12
클럽이에스제주리조트,65,4.35,314
제주리조트,"20,612",0.0,0
젠하이드어웨이,"13,983",4.36,522
돈내코힐스파리조트,226,4.44,507
서귀포월드컵리조트,559,4.41,424
벨룸리조트,540,5.0,75
더베이제주리조트,185,4.26,122
라온프라이빗타운,"2,985",0.0,99
오투힐제주점,0,0.0,483
팜밸리리조트,"1,614",4.67,440
루시드엠,"1,163",4.59,433
물뜰에쉼팡리조트,453,4.24,120
카이리조트,504,4.52,652
블라제리조트,180,0.0,76
봄그리고가을리조트,"7,773",4.36,1798
메모리아리조트,38,4.1,163
씨오르리조트,303,4.5,751
파미유스파리조트,218,4.72,1582
엘리시안제주콘도,0,0.0,0
돌과바람리조트,13,4.7,92
중문리조트,"1,579",0.0,0
하모니리조트,683,4.67,280
두빛나래리조트,49,4.42,32
제주바다목장다이브리조트,"1,176",0.0,0
더세리리조트,45,4.36,88
콤마앤리조트,131,4.55,316
샤모니리조트,39,4.89,111
해밀리조트,177,0.0,12
오션갤러리호텔앤리조트,114,4.4,20
오크라리조트,"1,091",4.67,30
캐슬렉스제주골프클럽골프텔,0,0.0,0
제주애월리조트,"1,014",0.0,7
나르샤리조트,19,0.0,30
브릭216,"1,879",4.66,334
바다스케치,251,4.63,387
훈데르트힐즈,623,0.0,51
스프링힐,710,0.0,21
스완지리조트,52,4.53,64
썬비치리조트,30,0.0,13
고투베드리조트,134,0.0,68
제주원리조트,69,0.0,0
제주휴리조트1,0,0.0,0
오시록헌PM,0,4.9,61
조이빌리조트,33,0.0,7
애월파라다이스,955,0.0,0
사조리조트제주지점,0,0.0,2
송당송당펜션&리조트,0,0.0,0
블루펄리조트,16,4.01,35
더시에나리조트(2023년5월예정),0,0.0,0
제주캐슬마운틴리조트,0,0.0,0
인피니티리조트,280,0.0,0
벙커호텔앤리조트,0,0.0,0
벨라비타,"4,920",0.0,0
함덕리조텔,0,0.0,0
