,카페명,별점,별점갯수,insta,Naver_review,Naver_rate
0,올레길7코스,4.4,32,14811,927,0.0
1,올레길1코스,4.0,15,5046,548,0.0
2,올레길6코스,4.9,14,6839,525,0.0
3,올레길18코스,4.7,9,6212,299,0.0
4,올레길5코스,4.7,12,6414,463,0.0
5,올레길17코스,5.0,4,0,253,0.0
6,올레길13코스,4.3,9,705,112,0.0
7,올레길10코스,4.9,11,5788,490,0.0
8,올레길16코스,4.2,10,2613,209,0.0
9,올레길8코스,4.1,7,4844,380,0.0
10,올레길4코스,4.5,8,3029,1,0.0
11,올레길20코스,4.0,4,6435,278,0.0
12,올레길19코스,4.2,11,4908,253,0.0
13,올레길9코스,3.5,11,2061,233,0.0
14,올레길12코스,4.7,9,1720,211,0.0
15,올레길21코스,4.8,5,2262,259,0.0
16,올레길14-1코스,4.5,13,0,174,0.0
17,올레길1-1코스,4.5,6,0,176,0.0
18,올레길7-1코스,4.8,8,0,141,0.0
19,올레길3-B코스,4.3,4,0,0,0.0
20,올레길18-1코스,3.7,7,0,0,0.0
21,올레길3-A코스,3.8,5,0,0,0.0
22,올레길10-1코스,5.0,3,0,137,0.0
23,남원큰엉해변,4.6,64,162,0,0.0
24,함덕해수욕장,4.5,230,634993,777,4.35
25,협재해수욕장,4.6,203,1193048,414,4.34
26,이호테우해수욕장,3.8,127,19294,114,4.3
27,성산일출봉,4.6,191,1140185,907,4.44
28,김녕해수욕장,4.5,116,223542,21,4.79
29,섭지코지,4.3,180,619589,3101,4.46
30,사려니숲길,4.4,133,256258,3379,0.0
31,금능해수욕장,4.7,141,200078,34,4.31
32,용머리해안,4.6,147,181014,669,4.58
33,곽지해수욕장,4.5,124,348537,273,4.5
34,천지연폭포,4.1,164,198240,7001,4.49
35,비자림,4.3,318,247797,8835,4.58
36,황우지해안,4.2,49,0,0,0.0
37,중문색달해수욕장,4.1,91,11236,57,3.7
38,새별오름,4.3,236,685841,173,4.38
39,산방산,4.6,74,377769,4016,0.0
40,마라도,4.3,71,141599,118,4.2
41,중문대포주상절리대,3.9,116,349,8085,4.44
42,9.81파크,3.6,179,0,9721,4.46
43,용두암,3.6,111,142211,120,4.22
44,표선해수욕장,4.4,74,91832,109,4.26
45,세화해변,4.5,89,0,0,0.0
46,정방폭포,4.5,205,134973,7705,4.53
47,만장굴,3.8,167,82249,4301,4.35
48,새연교,4.2,50,51422,0,0.0
49,카멜리아힐,3.8,219,608674,48409,4.33
50,월정리해수욕장,4.1,97,83633,28,4.48
51,한라산국립공원,4.5,53,12200,217,4.47
52,산굼부리,3.7,109,147653,6370,4.52
53,쇠소깍,3.8,107,239541,5858,0.0
54,도두동무지개해안도로,4.5,56,20365,0,0.0
55,절물자연휴양림,4.6,140,61070,6817,4.5
56,천제연폭포,4.3,99,0,4430,4.47
57,도두봉,4.7,103,71904,2443,0.0
58,사계해변,3.9,29,91788,41,0.0
59,신창풍차해안도로,4.7,87,131313,3051,0.0
60,우도,3.7,137,1261146,7862,4.53
61,제주허브동산,3.8,49,23589,6731,4.41
62,금오름,4.6,231,260383,5,0.0
63,한라수목원,4.4,78,57293,1203,4.45
64,윈드1947카트테마파크,3.6,133,2583,9355,4.46
65,한림공원,4.1,158,193018,10174,4.46
