place,address
원앤온리,제주특별자치도 서귀포시 안덕면 산방로 141 원앤온리
퍼시픽리솜 더클리프카페&펍,제주특별자치도 서귀포시 중문관광로 154-17
카페나모나모,제주특별자치도 제주시 도두봉6길 4 1~4층
울트라마린,제주특별자치도 제주시 한경면 일주서로 4611 지하1층
드르쿰다in성산,제주특별자치도 서귀포시 성산읍 섭지코지로25번길 64
유동커피,제주특별자치도 서귀포시 태평로 406-1
베케,제주특별자치도 서귀포시 효돈로 54
목장카페드르쿰다,제주특별자치도 서귀포시 표선면 번영로 2454
오르다,제주특별자치도 서귀포시 성산읍 한도로 269-37
뷰스트,제주특별자치도 서귀포시 안덕면 형제해안로 30
테라로사 서귀포점,제주특별자치도 서귀포시 칠십리로658번길 27-16
휴일로,제주특별자치도 서귀포시 안덕면 난드르로 49-65
명월국민학교,제주특별자치도 제주시 한림읍 명월로 48
커피템플,제주특별자치도 제주시 영평길 269 1층
카페서연의집,제주특별자치도 서귀포시 남원읍 위미해안로 86
카페라라라,제주특별자치도 제주시 구좌읍 해맞이해안로 1430 1층
외도339,제주특별자치도 제주시 일주서로 7345 1층
아줄레주,제주특별자치도 서귀포시 성산읍 신풍하동로19번길 59 나동
꽃이피다앤블라썸,제주특별자치도 서귀포시 남성로 136 1층
클랭블루,제주특별자치도 제주시 한경면 한경해안로 552-22
도렐 제주본점,제주특별자치도 서귀포시 성산읍 동류암로 20 플레이스 Love동 1층
마틸다,제주특별자치도 제주시 애월읍 고내1길 33 1층
인그리드,제주특별자치도 제주시 서해안로 64
카페이피엘 (휴업중),제주특별자치도 서귀포시 남원읍 위미항구로 8
제주바솔트,제주특별자치도 제주시 가령골3길 6 1층
카페더콘테나,제주특별자치도 제주시 조천읍 함와로 513
블랑로쉐,제주특별자치도 제주시 우도면 우도해안길 783
썬셋클리프,제주특별자치도 제주시 애월읍 애월로1길 19-8
제레미,제주특별자치도 제주시 애월읍 애월로 106-1
섬타르,제주특별자치도 제주시 다랑곶1길 9
커피파인더,제주특별자치도 제주시 서광로32길 20 1층
쪼끌락,제주특별자치도 제주시 구좌읍 김녕로21길 21
벙커하우스,제주특별자치도 서귀포시 막숙포로41번길 66 1층
구좌상회작업실,제주특별자치도 제주시 조천읍 선교로 198-5
커피스케치,제주특별자치도 서귀포시 안덕면 사계남로216번길 24-32
마마롱,제주특별자치도 제주시 애월읍 평화로 2783
쉼표,제주특별자치도 제주시 한림읍 한림로 359
니모메,제주특별자치도 제주시 일주서로 7335-8
와토커피,제주특별자치도 서귀포시 대정읍 동일하모로 238
미쿠니,제주특별자치도 제주시 서흘길 41 1층
브와두스 베이커리카페 연동점,제주특별자치도 제주시 국기로 35
카페한라산,제주특별자치도 제주시 구좌읍 면수1길 48
마음에온,제주특별자치도 제주시 칠성로길 29-1
미스틱3도,"제주특별자치도 제주시 1100로 2894-49 1,2층"
머문,제주특별자치도 제주시 구좌읍 해맞이해안로 460 2층
당당,제주특별자치도 제주시 애월읍 중엄안1길 25
본카페 애월,"제주특별자치도 제주시 애월읍 애월해안로 179 1,2층"
허니문하우스,제주특별자치도 서귀포시 칠십리로 228-13
비브레이브 혁신도시점,제주특별자치도 서귀포시 서호중앙로 85-13 1층
베메로 bake make roast,제주특별자치도 서귀포시 중문관광로72번길 29-5 신우성타운 내 라동
