place,address
연돈,제주특별자치도 서귀포시 일주서로 968-10 1층
숙성도 노형점,제주특별자치도 제주시 원노형로 41
우진해장국,제주특별자치도 제주시 서사로 11
고집돌우럭 제주공항점,제주특별자치도 제주시 임항로 30
고집돌우럭 함덕점,제주특별자치도 제주시 조천읍 신북로 491-9 2층
색달식당 중문갈치조림구이 본점,제주특별자치도 서귀포시 예래로 255-18 하예동350 색달식당중문본점
고집돌우럭 중문점,제주특별자치도 서귀포시 일주서로 879 1층
이춘옥의원조고등어쌈밥,제주특별자치도 제주시 애월읍 일주서로 7213 1층
제주김만복 본점,제주특별자치도 제주시 오라로 41
중문수두리보말칼국수,제주특별자치도 서귀포시 천제연로 192 1층
맛나식당,제주특별자치도 서귀포시 성산읍 동류암로 41
곰막식당,제주특별자치도 제주시 구좌읍 구좌해안로 64
춘심이네 본점,제주특별자치도 서귀포시 안덕면 창천중앙로24번길 16
은희네해장국 본점,제주특별자치도 제주시 고마로13길 8
착한집,제주특별자치도 제주시 서광로 98
칠돈가 본점,제주특별자치도 제주시 서천길 1 1층
한림칼국수,제주특별자치도 제주시 한림읍 한림해안로 141
미영이네식당,제주특별자치도 서귀포시 대정읍 하모항구로 42
바다를본돼지 제주협재판포본점,제주특별자치도 제주시 한경면 판포1길 16 1층
더바루시아,제주특별자치도 서귀포시 안덕면 난드르로 49-19
제주김만복 애월점,제주특별자치도 제주시 애월읍 애월해안로 255 2층
김희선제주몸국,제주특별자치도 제주시 어영길 45-6 1층
제주오성식당,제주특별자치도 서귀포시 중문관광로 27 2층
신설오름,제주특별자치도 제주시 고마로17길 2
바다를본돼지 제주서귀포점,제주특별자치도 서귀포시 칠십리로 123 2층
삼대국수회관 본점,제주특별자치도 제주시 삼성로 41
제주김만복 동문시장점,제주특별자치도 제주시 북성로 65 1층
갈치왕 중문점,제주특별자치도 서귀포시 일주서로 1146
국수마당 본점,제주특별자치도 제주시 삼성로 65
고이정 본점,제주특별자치도 제주시 애월읍 애월로 6 A동 1층
상춘재,제주특별자치도 제주시 조천읍 선진길 26 1층
살아있는해물뚝배기 어마장장,제주특별자치도 제주시 성지로 62
해왓,제주특별자치도 서귀포시 성산읍 신고로 30-1
당케올레국수,제주특별자치도 서귀포시 표선면 민속해안로 584
국수바다 본점,제주특별자치도 서귀포시 일주서로 982
만덕이네,제주특별자치도 서귀포시 표선면 서성일로 16
원담,제주특별자치도 제주시 동광로1길 13
일통이반,제주특별자치도 제주시 중앙로2길 25 1층
큰돈가 중문점,"제주특별자치도 서귀포시 천제연로 89 1,2층"
다정이네 올레시장본점,제주특별자치도 서귀포시 동문로 59-1
국시트멍,제주특별자치도 제주시 진군길 31-3 1층
충민정,제주특별자치도 제주시 남성로 26-1
스시애월,제주특별자치도 제주시 애월읍 애월로9길 50-3
제주어멍 통갈치,제주특별자치도 제주시 서해안로 372
솔지식당,제주특별자치도 제주시 월랑로 88
문개항아리 조천본점,제주특별자치도 제주시 조천읍 조함해안로 217-1
치저스,제주특별자치도 제주시 구좌읍 비자림로 1785
동해미락,제주특별자치도 서귀포시 칠십리로 133
해월정,제주특별자치도 제주시 구좌읍 해맞이해안로 2340
모살물,제주특별자치도 제주시 삼무로3길 14
제주에가면,제주특별자치도 제주시 탑동로 119 1층
별돈별 정원점,제주특별자치도 제주시 한경면 고산로8길 21-15 1층
다가미,제주특별자치도 제주시 도남로 111
골막식당,제주특별자치도 제주시 천수로 12
제주김만복김밥 서귀포점,제주특별자치도 서귀포시 월드컵로 117 1층
고씨네천지국수,제주특별자치도 서귀포시 중앙로79번길 4
올레왕갈치,제주특별자치도 서귀포시 중앙로42번길 9 1층
도토리키친 본점,제주특별자치도 제주시 북성로 59 1층
산방식당,제주특별자치도 서귀포시 대정읍 하모이삼로 62
연동마라도횟집,제주특별자치도 제주시 신광로8길 3
뽈살집 제주본점,제주특별자치도 서귀포시 중정로91번길 41 1층
흑돼지BBQ,제주특별자치도 서귀포시 태평로353번길 7
산도롱맨도롱,제주특별자치도 제주시 구좌읍 해맞이해안로 2284 1층
신우성흑돼지,제주특별자치도 서귀포시 중문관광로72번길 29-9
국수만찬,제주특별자치도 제주시 은남3길 1
옥만이네,제주특별자치도 제주시 한림읍 한림해안로 160 1층
훈남횟집,제주특별자치도 제주시 조천읍 함덕13길 7 1층
은혜전복,제주특별자치도 제주시 애월읍 애월로1길 24-3
산지해장국,제주특별자치도 제주시 임항로 34 1층
제주마당,제주특별자치도 제주시 도리로 50 2층
이금돈지,제주특별자치도 제주시 노연로 143
효퇴국수,제주특별자치도 제주시 서사로 122-1
데미안,제주특별자치도 제주시 한경면 고조로 492-15 1층
부두식당,제주특별자치도 서귀포시 대정읍 하모항구로 62
돈이랑 본점,제주특별자치도 서귀포시 일주서로 953
바당길,제주특별자치도 제주시 한림읍 한림서길 18
자리돔횟집,제주특별자치도 서귀포시 동홍동로 7
소금바치순이네,제주특별자치도 제주시 구좌읍 해맞이해안로 2196
은희네해장국 서귀포점,제주특별자치도 서귀포시 516로 84
시골길,제주특별자치도 제주시 연동13길 9
복자씨연탄구이,제주특별자치도 서귀포시 성산읍 해맞이해안로 2764
로빙화,"제주특별자치도 서귀포시 남원읍 남태해안로 13 1, 2층"
은희네해장국 함덕점,제주특별자치도 제주시 조천읍 조함해안로 480
애월흑돼지 애월그때그집 본점,제주특별자치도 제주시 애월읍 애월해안로 97 1층
깡촌흑돼지,제주특별자치도 제주시 조천읍 함덕14길 2
천짓골식당,제주특별자치도 서귀포시 중앙로41번길 4
바다속고등어쌈밥,제주특별자치도 제주시 애월읍 일주서로 7089
가시식당,제주특별자치도 서귀포시 표선면 가시로565번길 22
산지물 본점,제주특별자치도 제주시 임항로 26
몬스터살롱,제주특별자치도 제주시 애월읍 일주서로 6017
제주판타스틱버거,제주특별자치도 서귀포시 표선면 토산중앙로15번길 6
한림칼국수 공항점,제주특별자치도 제주시 광평중길 82
난드르바당,제주특별자치도 서귀포시 하예하동로16번길 11-1
갈치요리전문점 만족한상회,제주특별자치도 서귀포시 중문상로 58-5 1층
남춘식당,제주특별자치도 제주시 청귤로 12
진아떡집,제주특별자치도 제주시 동문로4길 7-1
봉순이네흑돼지,제주특별자치도 서귀포시 대정읍 영어도시로 64 1층
촌촌해녀촌,제주특별자치도 제주시 구좌읍 동복로 35
제주늘봄,제주특별자치도 제주시 고사마루길 6
제주한라국수,제주특별자치도 서귀포시 천제연로188번길 17
곱들락,제주특별자치도 제주시 조천읍 함덕18길 19 101호
태광식당,제주특별자치도 제주시 탑동로 142
안녕협재씨 제주협재점,제주특별자치도 제주시 한림읍 금능길 12 1층
은희네해장국 2호점,제주특별자치도 제주시 연북로 178
제주약수터 본점,제주특별자치도 서귀포시 중앙로 35 1층
오롯,제주특별자치도 제주시 신설로11길 2-10 1층
장수물식당,제주특별자치도 제주시 연문2길 18
닻,제주특별자치도 제주시 애월읍 하귀2리 2726
황해식당,제주특별자치도 제주시 우정로 6 1층
하원가흑돼지,제주특별자치도 서귀포시 이어도로 278
정직한돈 본점,제주특별자치도 제주시 애월읍 애월해안로 253
골목,제주특별자치도 제주시 조천읍 함덕7길 6-14
만월당,제주특별자치도 제주시 구좌읍 월정1길 56 1층
고등어쌈밥,제주특별자치도 서귀포시 성산읍 섭지코지로25번길 122-5
공천포식당,제주특별자치도 서귀포시 남원읍 공천포로 89
식당마요네즈,제주특별자치도 제주시 다랑곶3길 18 1층
순수한둠비,제주특별자치도 제주시 서문로 37-11 1층
더꽃돈 협재점,제주특별자치도 제주시 한림읍 한림로 366 1층
부촌,제주특별자치도 서귀포시 성산읍 동류암로 33
제주본참숯불갈비,제주특별자치도 제주시 원노형남1길 31
제주순풍 신제주본점,제주특별자치도 제주시 진군남4길 7-8
제주육대표,제주특별자치도 제주시 일주서로 7895
오현돼지불백,제주특별자치도 제주시 성지로 58-2
대춘해장국 본점,제주특별자치도 제주시 연북로 398 1층
공항흑돼지 시청그때그집,제주특별자치도 제주시 동광로1길 11 1층
미스칠,제주특별자치도 제주시 일주서로 7831 1층
용두암해촌,제주특별자치도 제주시 서해안로 614
제주국담,제주특별자치도 제주시 신대로12길 17
순천미향,제주특별자치도 서귀포시 안덕면 사계남로216번길 24-73
88버거,제주특별자치도 서귀포시 동문로 63
돈블랙 서귀포본점,제주특별자치도 서귀포시 서호남로32번길 24
바다를본돼지 제주노형점,제주특별자치도 제주시 정존15길 42 1층
대기정,제주특별자치도 서귀포시 이어도로 41
산지물 신제주점,제주특별자치도 제주시 신대로10길 53
코코분식,제주특별자치도 제주시 신성로 104
코코마마 성산점,제주특별자치도 서귀포시 성산읍 일출로 258-11
가람돌솥밥,제주특별자치도 서귀포시 중문관광로 332
성산일출봉 청운식당,제주특별자치도 서귀포시 성산읍 일출로 285 1층
제주미담,제주특별자치도 제주시 가령로 19
큰돈가 본점,제주특별자치도 서귀포시 대정읍 형제해안로 296
재연식당,제주특별자치도 제주시 구좌읍 세화3길 27-2
문치비,제주특별자치도 서귀포시 신서로32번길 14 1층
나원회포차,제주특별자치도 서귀포시 동문동로 4
오가네전복설렁탕 서귀포본점,제주특별자치도 서귀포시 중산간동로 7738
시흥해녀의집,제주특별자치도 서귀포시 성산읍 시흥하동로 114
도갈비,제주특별자치도 제주시 한라대학로 85 1층
포도원흑돼지,제주특별자치도 제주시 1100로 3155
낭쿰낭쿰,제주특별자치도 서귀포시 중앙로79번길 4 1층 낭쿰낭쿰
홍성방,제주특별자치도 서귀포시 대정읍 하모항구로 76
낭뜰에쉼팡,제주특별자치도 제주시 조천읍 남조로 2343
돈사돈 별관,제주특별자치도 제주시 광평동로 15 1층
잇칸시타,제주특별자치도 제주시 애월읍 신엄안2길 54-1
형제도식당 본점,제주특별자치도 서귀포시 일주서로 915 형제도식당 본점
논짓물,제주특별자치도 제주시 신대로12길 41
정직한돈 협재직영점,제주특별자치도 제주시 한림읍 일주서로 5083 2층
남양수산,제주특별자치도 서귀포시 성산읍 고성동서로56번길 11
칠돈가 서광직영점,제주특별자치도 서귀포시 안덕면 서광사수동로20번길 27 1층
램앤블랙 (구.램하우스),제주특별자치도 제주시 조천읍 교래1길 45
서서방숯불닭갈비,제주특별자치도 제주시 신광로 61 1층
태하횟집,"제주특별자치도 제주시 동한두기길 31-2 1, 2층"
노조미,제주특별자치도 제주시 국기로2길 2-3 1층
제주예찬,제주특별자치도 제주시 1100로 2997 1층
표선우동가게,제주특별자치도 서귀포시 표선면 표선관정로 105-1
선흘곶,제주특별자치도 제주시 조천읍 동백로 102
돌집식당,제주특별자치도 서귀포시 표선면 서성일로 23
제주돗,제주특별자치도 제주시 한경면 조수2길 34
민경이네어등포해녀촌,제주특별자치도 제주시 구좌읍 해맞이해안로 830 1층
탐라우돈정육식당,제주특별자치도 제주시 다랑곶2길 52 1층
중문흑돼지천국,제주특별자치도 서귀포시 천제연로 107 중문흑돼지천국
솔동산고기국수,제주특별자치도 서귀포시 부두로 23
김지순의낭푼밥상,제주특별자치도 제주시 연동6길 28
금박돈,제주특별자치도 서귀포시 성산읍 일출로 261 1층
뚱보아저씨,제주특별자치도 제주시 한경면 중산간서로 3651
도두반점 제주사수본점,제주특별자치도 제주시 서해안로 317 2층
형돈,제주특별자치도 제주시 구남로 22 1층
연미정,제주특별자치도 제주시 구좌읍 세평항로 14
제주김만복 성산점,제주특별자치도 서귀포시 성산읍 성산등용로17번길 55 성산리치유클래시아 상가 1층 108호
덕승식당,제주특별자치도 서귀포시 대정읍 하모항구로 66
백리향,제주특별자치도 제주시 조천읍 신북로 244
한라전복(본점),제주특별자치도 서귀포시 대정읍 대한로 33 1층
제갈양,제주특별자치도 제주시 한림읍 한림로 155
연북로해물탕,제주특별자치도 제주시 연북로 221
짱구분식,제주특별자치도 서귀포시 중동로48번길 3
만선식당,제주특별자치도 서귀포시 대정읍 하모항구로 44
인디언키친,제주특별자치도 제주시 애월읍 애원로 191
산방산초가집,제주특별자치도 서귀포시 안덕면 화순해안로 189
문개항아리 애월점,제주특별자치도 제주시 애월읍 가문동길 38
숙성도 중문점,"제주특별자치도 서귀포시 일주서로 966 1,2층"
해심가든,제주특별자치도 서귀포시 천제연로 203-4
모이세해장국 본점,제주특별자치도 제주시 연북로 221
곤밥2,제주특별자치도 제주시 서부두남길 8
임금님밥상,제주특별자치도 제주시 오광로 128 1층
춘미향식당,제주특별자치도 서귀포시 안덕면 산방로 378
제주고집,제주특별자치도 제주시 서해안로 368-10
제주올래국수,제주특별자치도 제주시 월성로 39
스시도모다찌 제주점,제주특별자치도 제주시 광양8길 1 2층
옥돔식당,제주특별자치도 서귀포시 대정읍 신영로36번길 62
돈향기,제주특별자치도 제주시 관덕로15길 30
제주곰집,제주특별자치도 서귀포시 이어도로 703-4
칠돈가 표선직영점,제주특별자치도 서귀포시 표선면 표선당포로 13-1
순풍해장국 함덕본점,제주특별자치도 제주시 조천읍 신북로 604 1층
옹포바다횟집,제주특별자치도 제주시 한림읍 옹포1길 24
범일분식,제주특별자치도 서귀포시 남원읍 태위로 658
제주곱,제주특별자치도 제주시 신대로16길 42 1층
커큐민흑돼지,제주특별자치도 서귀포시 성산읍 일출로 84
글라글라하와이,제주특별자치도 서귀포시 대정읍 하모항구로 70
짬뽕에취한날,제주특별자치도 제주시 귀아랑2길 4
이스트포레스트,제주특별자치도 제주시 구좌읍 종달로1길 26-1 1층
더스푼,제주특별자치도 제주시 구남동1길 45 1층
김녕오라이,제주특별자치도 제주시 구좌읍 김녕로21길 21
흑돼지패밀리,제주특별자치도 서귀포시 남원읍 중산간동로 6924
센트로,제주특별자치도 서귀포시 태평로 449 1층
제주해물밥,제주특별자치도 제주시 월대3길 14-6
성산 갈치조림 순덕이네,제주특별자치도 서귀포시 성산읍 온평서로 48
섭지코지해녀밥상,제주특별자치도 서귀포시 성산읍 신양로122번길 60-6
강식당,제주특별자치도 제주시 한림읍 협재1길 30 1층
뚱딴지,제주특별자치도 제주시 애월읍 부룡수길 17
알동네집,제주특별자치도 제주시 한경면 연명로 543
중문색달통갈치,제주특별자치도 서귀포시 일주서로 993
윤옥,제주특별자치도 제주시 구남동2길 19-4 혁진빌 1층
돈고팡 본점,제주특별자치도 제주시 서해안로 248 1층
돈카츠서황,제주특별자치도 제주시 애월읍 장소로 205-2 1층
삼성혈해물탕 1호점,제주특별자치도 제주시 도두항서7길 23 1층
한라전복 성산본점,제주특별자치도 서귀포시 성산읍 해맞이해안로 2732
화성식당,제주특별자치도 제주시 일주동로 383
해월정 서귀포점,제주특별자치도 서귀포시 대정읍 형제해안로 262
하하호호 우도본점,제주특별자치도 제주시 우도면 우도해안길 532
어조횟집,제주특별자치도 서귀포시 성산읍 일출로 233
올레마당,제주특별자치도 서귀포시 안덕면 사계남로 224
서광보말칼국수,제주특별자치도 서귀포시 안덕면 중산간서로 1882
두툼한고기돈돼지,제주특별자치도 제주시 조천읍 함덕19길 3 1층
올레삼다정,제주특별자치도 서귀포시 태평로537번길 48
중문그때그집,제주특별자치도 서귀포시 상예로 181-28
어박사 한림본점,제주특별자치도 제주시 한림읍 한림로 564 1층
임순이네,제주특별자치도 제주시 애월읍 곽지1길 26-7
칠돈가 제주공항직영점,제주특별자치도 제주시 신대로 144 1층
천리식당천리민박,제주특별자치도 제주시 구좌읍 송당6길 30
꽃가람,제주특별자치도 서귀포시 성산읍 고성동서로 73
요기소바 본점,제주특별자치도 제주시 원노형6길 3-4 1층
용담밭담,제주특별자치도 제주시 서천길 16 1층
제주오누이,"제주특별자치도 제주시 구좌읍 해맞이해안로 972 1,2층"
성산흑돼지두루치기,제주특별자치도 서귀포시 성산읍 한도로 255
삼다도횟집 본점,제주특별자치도 제주시 서해안로 572
귤품은흑돼지 제주공항점,제주특별자치도 제주시 도두항서길 42 2층
원조마라도짜장면집,제주특별자치도 서귀포시 대정읍 마라로101번길 48
돈사돈 월정점,제주특별자치도 제주시 구좌읍 한동북1길 29-3 1층
동복뚝배기,제주특별자치도 제주시 구좌읍 동복로 30-2 1층
오전열한시,제주특별자치도 서귀포시 상예로 248
회춘,제주특별자치도 제주시 조천읍 신북로 489 1층
종달수다뜰,제주특별자치도 제주시 구좌읍 용눈이오름로 8
애월연어,제주특별자치도 제주시 애월읍 하소로 660
교래흑돼지 본점,제주특별자치도 제주시 조천읍 교래4길 73
바로족발보쌈,제주특별자치도 제주시 진군1길 25
도민상회,제주특별자치도 제주시 한림읍 한림로3길 8
뜰에,제주특별자치도 제주시 애월읍 애월로11길 23-1
제일수산횟집,제주특별자치도 서귀포시 중앙로79번길 8
삼대전통고기국수,제주특별자치도 제주시 신대로5길 17
대춘해장국 노형점,제주특별자치도 제주시 원노형로 11 1층
