place,address
라마다프라자 제주호텔,제주특별자치도 제주시 탑동로 66
롯데호텔 제주,제주특별자치도 서귀포시 중문관광로72번길 35
베니키아호텔 제주,제주특별자치도 제주시 애월읍 애월해안로 554-6
베니키아중문호텔,제주특별자치도 서귀포시 천제연로 166
호텔더본 제주,제주특별자치도 서귀포시 색달로 18
서머셋 제주신화월드,제주특별자치도 서귀포시 안덕면 신화역사로304번길 89
호텔리젠트마린,제주특별자치도 제주시 서부두2길 20
롯데시티호텔 제주,제주특별자치도 제주시 도령로 83
해비치호텔앤드리조트 제주,제주특별자치도 서귀포시 표선면 민속해안로 537 1층
제주부영호텔앤리조트,제주특별자치도 서귀포시 중문관광로 222
히든클리프호텔&네이쳐,제주특별자치도 서귀포시 예래해안로 542
호텔 케니 서귀포,제주특별자치도 서귀포시 동문로 42
코업시티호텔 성산,제주특별자치도 서귀포시 성산읍 성산등용로 28
오션스위츠 제주호텔,제주특별자치도 제주시 탑동해안로 74
제주신라호텔,제주특별자치도 서귀포시 중문관광로72번길 75
파크선샤인제주,제주특별자치도 서귀포시 남성중로 135
위호텔,제주특별자치도 서귀포시 1100로 453-95
유니호텔 앤 풀빌라,제주특별자치도 제주시 애월읍 애월해안로 656
코업시티호텔 하버뷰,제주특별자치도 서귀포시 남원읍 태위로 108
토스카나호텔,제주특별자치도 서귀포시 용흥로66번길 158-7
캠퍼트리 호텔앤리조트,제주특별자치도 제주시 해안마을서4길 100
리치호텔,제주특별자치도 제주시 애월읍 고내로13길 100
호텔레오,제주특별자치도 제주시 삼무로 14
스위트메이서귀포호텔,제주특별자치도 서귀포시 김정문화로27번길 9-1
스위트호텔 제주점,제주특별자치도 서귀포시 중문관광로72번길 67
호텔윈스토리,제주특별자치도 서귀포시 중정로 11
아리아호텔,제주특별자치도 서귀포시 중문관광로 23-1
아이진호텔,제주특별자치도 제주시 신대로22길 4
제주항공우주호텔,제주특별자치도 서귀포시 안덕면 녹차분재로 216
제주팔레스호텔,제주특별자치도 제주시 탑동로 9
호텔난타,제주특별자치도 제주시 선돌목동길 56-26
퍼스트70,제주특별자치도 서귀포시 명동로 46
