place,address,Latitude,Longitude
연돈,제주특별자치도 서귀포시 일주서로 968-10 1층,33.2589317,126.4072788
숙성도 노형점,제주특별자치도 제주시 원노형로 41,33.4850283,126.4850965
우진해장국,제주특별자치도 제주시 서사로 11,33.5114884,126.5200864
고집돌우럭 제주공항점,제주특별자치도 제주시 임항로 30,33.5163432,126.5281752
고집돌우럭 함덕점,제주특별자치도 제주시 조천읍 신북로 491-9 2층,33.5430312,126.6627219
색달식당 중문갈치조림구이 본점,제주특별자치도 서귀포시 예래로 255-18 하예동350 색달식당중문본점,33.2451213,126.3852784
고집돌우럭 중문점,제주특별자치도 서귀포시 일주서로 879 1층,33.2579925,126.4167597
이춘옥의원조고등어쌈밥,제주특별자치도 제주시 애월읍 일주서로 7213 1층,33.4889528,126.4187075
제주김만복 본점,제주특별자치도 제주시 오라로 41,33.4968071,126.5111965
중문수두리보말칼국수,제주특별자치도 서귀포시 천제연로 192 1층,33.2515765,126.4251078
맛나식당,제주특별자치도 서귀포시 성산읍 동류암로 41,33.4485794,126.9160712
곰막식당,제주특별자치도 제주시 구좌읍 구좌해안로 64,33.5570179,126.7278068
춘심이네 본점,제주특별자치도 서귀포시 안덕면 창천중앙로24번길 16,33.2647393,126.3705871
은희네해장국 본점,제주특별자치도 제주시 고마로13길 8,33.5085228,126.5408037
착한집,제주특별자치도 제주시 서광로 98,33.4999552,126.5070561
칠돈가 본점,제주특별자치도 제주시 서천길 1 1층,33.501532,126.5106976
한림칼국수,제주특별자치도 제주시 한림읍 한림해안로 141,33.4155701,126.2615642
미영이네식당,제주특별자치도 서귀포시 대정읍 하모항구로 42,33.2176507,126.2499045
바다를본돼지 제주협재판포본점,제주특별자치도 제주시 한경면 판포1길 16 1층,33.3654583,126.1979731
더바루시아,제주특별자치도 서귀포시 안덕면 난드르로 49-19,33.2349631,126.363794
제주김만복 애월점,제주특별자치도 제주시 애월읍 애월해안로 255 2층,33.4782235,126.3665625
김희선제주몸국,제주특별자치도 제주시 어영길 45-6 1층,33.5185392,126.4981208
제주오성식당,제주특별자치도 서귀포시 중문관광로 27 2층,33.2487954,126.4198849
신설오름,제주특별자치도 제주시 고마로17길 2,33.505459,126.5416299
바다를본돼지 제주서귀포점,제주특별자치도 서귀포시 칠십리로 123 2층,33.2431104,126.5675903
