place,address,Latitude,Longitude
라마다프라자 제주호텔,제주특별자치도 제주시 탑동로 66,33.5185924,126.5175016
롯데호텔 제주,제주특별자치도 서귀포시 중문관광로72번길 35,33.2485349,126.4103936
베니키아호텔 제주,제주특별자치도 제주시 애월읍 애월해안로 554-6,33.4776427,126.3629501
베니키아중문호텔,제주특별자치도 서귀포시 천제연로 166,33.2514008,126.4214938
호텔더본 제주,제주특별자치도 서귀포시 색달로 18,33.2612696,126.4137248
서머셋 제주신화월드,제주특별자치도 서귀포시 안덕면 신화역사로304번길 89,33.3066927,126.3380858
호텔리젠트마린,제주특별자치도 제주시 서부두2길 20,33.5176225,126.5271105
롯데시티호텔 제주,제주특별자치도 제주시 도령로 83,33.4909762,126.4869677
해비치호텔앤드리조트 제주,제주특별자치도 서귀포시 표선면 민속해안로 537 1층,33.3234478,126.8447796
제주부영호텔앤리조트,제주특별자치도 서귀포시 중문관광로 222,33.2487954,126.4198849
히든클리프호텔&네이쳐,제주특별자치도 서귀포시 예래해안로 542,33.2432264,126.3876102
호텔 케니 서귀포,제주특별자치도 서귀포시 동문로 42,33.2506274,126.5647149
코업시티호텔 성산,제주특별자치도 서귀포시 성산읍 성산등용로 28,33.4674924,126.9320111
오션스위츠 제주호텔,제주특별자치도 제주시 탑동해안로 74,33.5182319,126.5231737
제주신라호텔,제주특별자치도 서귀포시 중문관광로72번길 75,33.2475582,126.4081161
파크선샤인제주,제주특별자치도 서귀포시 남성중로 135,33.2542585,126.553507
위호텔,제주특별자치도 서귀포시 1100로 453-95,33.2862186,126.4442655
유니호텔 앤 풀빌라,제주특별자치도 제주시 애월읍 애월해안로 656,33.4782235,126.3665625
코업시티호텔 하버뷰,제주특별자치도 서귀포시 남원읍 태위로 108,33.274626,126.6589942
토스카나호텔,제주특별자치도 서귀포시 용흥로66번길 158-7,33.2645887,126.4850479
캠퍼트리 호텔앤리조트,제주특별자치도 제주시 해안마을서4길 100,33.4536956,126.4503561
리치호텔,제주특별자치도 제주시 애월읍 고내로13길 100,33.4687182,126.3461173
호텔레오,제주특별자치도 제주시 삼무로 14,33.4898758,126.4908867
스위트메이서귀포호텔,제주특별자치도 서귀포시 김정문화로27번길 9-1,33.2524649,126.5072896
스위트호텔 제주점,제주특별자치도 서귀포시 중문관광로72번길 67,33.2493324,126.4083941
호텔윈스토리,제주특별자치도 서귀포시 중정로 11,33.2479885,126.5623549
아리아호텔,제주특별자치도 서귀포시 중문관광로 23-1,33.256118,126.414906
아이진호텔,제주특별자치도 제주시 신대로22길 4,33.4824642,126.4925609
제주항공우주호텔,제주특별자치도 서귀포시 안덕면 녹차분재로 216,33.2923161,126.2996588
제주팔레스호텔,제주특별자치도 제주시 탑동로 9,33.5168631,126.5237566
호텔난타,제주특별자치도 제주시 선돌목동길 56-26,33.4446301,126.5445663
퍼스트70,제주특별자치도 서귀포시 명동로 46,33.2475894,126.5668712
유어스호텔,제주특별자치도 서귀포시 천제연로178번길 21,33.2503716,126.4236375
호텔브릿지 서귀포,제주특별자치도 서귀포시 태평로 436 1~11층,33.245396,126.5668909
아스타호텔,제주특별자치도 제주시 서사로 129,33.5037539,126.5197792
브리즈베이호텔,제주특별자치도 서귀포시 성산읍 성산등용로 42,33.4674924,126.9320111
아시아호텔,제주특별자치도 제주시 노연로 53,33.4858355,126.4888236
서귀포호텔,제주특별자치도 서귀포시 상예로 319,33.273191,126.3947296
빠레브호텔,제주특별자치도 서귀포시 김정문화로 15,33.2511409,126.5095568
호텔휴식 서귀포,제주특별자치도 서귀포시 중앙로71번길 17,33.2504029,126.5595736
노블피아,제주특별자치도 서귀포시 명동로 46 1층,33.2475894,126.5668712
제주호텔더엠,제주특별자치도 서귀포시 태평로353번길 14,33.2465959,126.5606779
제주노블레스관광호텔,제주특별자치도 제주시 월성로4길 19,33.5004485,126.501107
윈스카이호텔,제주특별자치도 서귀포시 신중남로 17,33.2523487,126.5085052
벤티모호텔앤레지던스,제주특별자치도 제주시 연삼로 14,33.4934631,126.4938054
호텔서귀피안,제주특별자치도 서귀포시 보목로64번길 178,33.2410807,126.5938804
제주샹그릴라호텔앤리조트,제주특별자치도 제주시 해안마을북길 14-6,33.4644646,126.4541427
호텔앨리스&트렁크,제주특별자치도 제주시 연동12길 4,33.4853318,126.4930596
하이레지던스,제주특별자치도 제주시 은남1길 46,33.4892043,126.493827
까사로마호텔,제주특별자치도 서귀포시 태평로 347,33.2467908,126.5581542
모슬포호텔 1동,제주특별자치도 서귀포시 대정읍 최남단해안로30번길 11,33.2178071,126.2521152
더스테이센추리호텔,제주특별자치도 제주시 애월읍 일주서로 7113,33.466277,126.3511114
호텔시드니,제주특별자치도 제주시 애월읍 애월해안로 945,33.4836152,126.3965099
BK호텔제주,제주특별자치도 서귀포시 칠십리로91번길 12,33.2411078,126.5643
블룸호텔,제주특별자치도 서귀포시 중문관광로72번길 53,33.2498991,126.4082883
심스호텔,제주특별자치도 제주시 임항로 249,33.5183479,126.5387193
디아넥스호텔,제주특별자치도 서귀포시 안덕면 산록남로762번길 71,33.3057651,126.3888509
티라호텔,제주특별자치도 서귀포시 성산읍 섭지코지로25번길 41,33.4493736,126.9207077
이스턴호텔 제주,제주특별자치도 서귀포시 서호동 1522-2,33.2784399,126.5169922
제주갤럭시호텔,제주특별자치도 제주시 남성로 33,33.5061052,126.5164431
스카이호텔,제주특별자치도 제주시 한림읍 한림로 917,33.3989324,126.2421759
팜파스호텔 제주,제주특별자치도 제주시 서해안로 368-3,33.5108295,126.4852691
제주스테이인성산,제주특별자치도 서귀포시 성산읍 신고로 11,33.4404976,126.9157525
루체빌,제주특별자치도 서귀포시 안덕면 산록남로 786,33.3280571,126.366103
브릿지레지던스호텔,제주특별자치도 서귀포시 김정문화로 49,33.2511409,126.5095568
하버호텔,제주특별자치도 제주시 임항로 260 1층,33.5183479,126.5387193
호텔휴안스테이,제주특별자치도 서귀포시 성산읍 성산중앙로37번길 9,33.4636754,126.9323862
어반스테이 제주연동,제주특별자치도 제주시 연동6길 5,33.483508,126.4889909
신신호텔 천지연,제주특별자치도 서귀포시 서문로 42-1,33.2495146,126.5576159
호텔엘린,제주특별자치도 제주시 은남1길 4,33.4893299,126.4954791
서귀포KAL호텔,제주특별자치도 서귀포시 칠십리로 242,33.2460024,126.5810125
에코랜드호텔,제주특별자치도 제주시 조천읍 남조로 1982,33.4487209,126.6758577
호텔징크,제주특별자치도 서귀포시 중정로 11,33.2479885,126.5623549
호텔화인 제주,제주특별자치도 서귀포시 칠십리로 87,33.2403247,126.5651122
피노호텔,제주특별자치도 서귀포시 천지연로29번길 5,33.2410267,126.5632048
제주썬호텔&카지노,제주특별자치도 제주시 삼무로 67,33.4901102,126.494027
호텔스카브로,제주특별자치도 서귀포시 예래해안로 15,33.2432264,126.3876102
이화호텔,제주특별자치도 제주시 도령로 155,33.4909762,126.4869677
호텔펄리플러스,제주특별자치도 제주시 도두봉2길 2,33.5066951,126.4744285
르메인호텔,제주특별자치도 제주시 한림읍 한림로 392 선유빌딩 1층,33.3970766,126.244507
뜨레비호텔,제주특별자치도 제주시 연동7길 8,33.4891722,126.4906668
글래즈하임호텔,제주특별자치도 서귀포시 이어도로 777,33.240469,126.493008
일레인호텔,제주특별자치도 서귀포시 일주서로 660,33.2584326,126.4353135
호텔52,제주특별자치도 서귀포시 대정읍 신영로36번길 35,33.2203802,126.2480036
라림부띠끄호텔,제주특별자치도 서귀포시 안덕면 대평로 39,33.2363801,126.3646237
파밀리아호텔,제주특별자치도 서귀포시 대포동서로 63-20,33.241952,126.43797
하이제주호텔,제주특별자치도 제주시 한림읍 일주서로 5125,33.4095489,126.2638736
그랜드밀리언스호텔 서귀포,제주특별자치도 서귀포시 서호중앙로 84,33.252101,126.5614011
오션패밀리호텔,제주특별자치도 제주시 일주서로 7531,33.4952516,126.4510142
트로피컬하이드어웨이,제주특별자치도 서귀포시 대정읍 형제해안로 284,33.210157,126.2914269
제주 자몽호텔,제주특별자치도 제주시 한림읍 한림해안로 136,33.4257892,126.2673117
참피온호텔,제주특별자치도 제주시 남성로 131,33.5091756,126.5194628
제주해군호텔,제주특별자치도 제주시 해안마을서2길 19,33.4590325,126.448717
JW메리어트 제주(2022년하반기예정),제주특별자치도 서귀포시 태평로 152,33.247167,126.5510603
썬랜드호텔,제주특별자치도 제주시 신광로 92,33.4839765,126.4896294
꼬뜨도르호텔,제주특별자치도 제주시 구좌읍 일주동로 1724,33.5314441,126.8206181
펠리시아호텔,제주특별자치도 서귀포시 일주동로 9123,33.255487,126.5686054
블루마운틴호텔,제주특별자치도 서귀포시 성산읍 일출로 297,33.4637856,126.9343976
라인호텔,제주특별자치도 제주시 동광로 40,33.5022343,126.533247
