place,address,Latitude,Longitude
마레보비치호텔,제주특별자치도 제주시 애월읍 곽지1길 23,33.4482177,126.3039055
제주엘루이호텔,제주특별자치도 제주시 서광로21길 1,33.5001908,126.5218918
신신호텔 서귀포점,제주특별자치도 서귀포시 서귀동 486-1,33.2455472,126.5625707
코자호텔,제주특별자치도 서귀포시 대정읍 최남단해안로 44,33.2122848,126.2625612
아인스호스텔,제주특별자치도 서귀포시 태평로 432,33.2454258,126.566501
아라팰리스호텔,제주특별자치도 제주시 남성로26길 26,33.5071707,126.5237824
대동호텔,제주특별자치도 제주시 관덕로15길 6,33.5138044,126.5272635
시티홀호텔,제주특별자치도 제주시 동광로4길 9-4,33.5008332,126.5316414
오라스테이,제주특별자치도 제주시 무근성길 44,33.5142867,126.5199978
아루미호텔 협재점,제주특별자치도 제주시 한림읍 한림로 545,33.4063694,126.2564471
호텔G,제주특별자치도 제주시 남성로 117,33.5090013,126.51793
성산아쿠아비치호텔,제주특별자치도 서귀포시 성산읍 일주동로 4258,33.4483373,126.9119979
메종드씨엘하버39 호텔앤리조트,제주특별자치도 서귀포시 천지연로 39,33.2423238,126.5622458
제주R호텔,제주특별자치도 제주시 서광로14길 5,33.4994236,126.5179716
트루엘레지던스,제주특별자치도 서귀포시 서귀동 486-1,33.2455472,126.5625707
마로호스텔,제주특별자치도 제주시 동광로21길 5,33.5097655,126.5422917
노형호텔,제주특별자치도 제주시 수덕1길 7,33.4861711,126.4777358
호텔DK,제주특별자치도 서귀포시 중앙로54번길 12,33.2496807,126.5634895
베누스무인텔,제주특별자치도 제주시 애월읍 유수암평화5길 92,33.424382,126.4051687
메이플호텔,제주특별자치도 제주시 원노형3길 41,33.4865192,126.4817631
호텔탑아일랜드,제주특별자치도 제주시 용남1길 47,33.5050015,126.5129304
르네상스호텔,제주특별자치도 제주시 서사로14길 1,33.5034197,126.5195135
바다해호텔,제주특별자치도 서귀포시 천지연로 3-1,33.2413301,126.5655131
신세계호텔,제주특별자치도 서귀포시 중앙로 2-2,33.2447039,126.562385
늘송파크텔,제주특별자치도 제주시 원노형5길 22,33.4875634,126.483248
호텔랑주,제주특별자치도 서귀포시 김정문화로27번길 23-3,33.2539331,126.5082261
에메랄드호텔에이스,제주특별자치도 제주시 오복5길 4,33.4974151,126.5366502
골든파크호텔,제주특별자치도 제주시 서광로2길 9,33.4992347,126.5130474
헤라무인텔,제주특별자치도 제주시 애월읍 평화로 2820-67,33.4566025,126.4445171
제주올레호텔,제주특별자치도 제주시 삼무로5길 8,33.4902565,126.492014
성산호텔,제주특별자치도 서귀포시 성산읍 성산등용로 8,33.4647524,126.9336962
이채호텔,제주특별자치도 제주시 은남1길 3,33.4889958,126.495431
스마트무인텔,제주특별자치도 서귀포시 안덕면 중산간서로 1913-58,33.2862497,126.3077305
모나코모텔,제주특별자치도 제주시 제원1길 1,33.4891942,126.4892128
제주스위트호텔,제주특별자치도 제주시 삼무로3길 9,33.4901961,126.494939
오케이모텔,제주특별자치도 제주시 서광로2길 25,33.4984832,126.513453
뷰무인텔,제주특별자치도 제주시 애월읍 평화로 2841,33.4099645,126.3988615
라임모텔,제주특별자치도 제주시 서광로25길 4-3,33.5003275,126.5242881
꿈의바다,제주특별자치도 제주시 애월읍 신엄9길 65-11,33.4769528,126.3659334
