place,address,Latitude,Longitude
미르빌펜션&리조트,제주특별자치도 서귀포시 안덕면 사계로114번길 87,33.2460023,126.3060521
에코그린리조트,제주특별자치도 제주시 한림읍 귀덕6길 94,33.4307735,126.2899617
라임오렌지빌,제주특별자치도 서귀포시 칠십리로 332,33.2462086,126.5873228
풀빌라소랑,제주특별자치도 제주시 조천읍 곱은달남길 218,33.5026669,126.6713054
통나무파크,제주특별자치도 제주시 애월읍 도치돌길 293,33.4102422,126.3660337
엠스테이펜션,제주특별자치도 제주시 구좌읍 해맞이해안로 1481,33.5291668,126.8538817
편운산장,제주특별자치도 서귀포시 성산읍 서성일로 898-38,33.4374516,126.8751784
아르츠스파&풀빌라,제주특별자치도 제주시 구좌읍 해맞이해안로 2486-23,33.5291668,126.8538817
제이라움,제주특별자치도 서귀포시 대정읍 노을해안로 420,33.2568116,126.1997011
더갤러리펜션,제주특별자치도 제주시 조천읍 남조로 1717-24,33.42215,126.6753634
아침해변펜션,제주특별자치도 제주시 조천읍 조함해안로 76-9,33.5439418,126.6380689
보물섬,제주특별자치도 서귀포시 성산읍 한도로242번길 10-11,33.4663543,126.9315713
제주브릭스,제주특별자치도 서귀포시 태평로 121,33.247167,126.5510603
드라마2015풀빌라,제주특별자치도 제주시 애월읍 금성5길 42-15 3층,33.4478775,126.3012418
바다위에펜션,제주특별자치도 제주시 애월읍 일주서로 7219-1,33.4894019,126.419076
골든비치펜션,제주특별자치도 제주시 서해안로 486-3,33.5186252,126.49125
호랑호랑펜션,제주특별자치도 서귀포시 성산읍 일출로 86 D동,33.4542884,126.9242718
표선해비치펜션,"제주특별자치도 서귀포시 표선면 가마행남로 16-1 다미타운하우스 106,109,111동",33.3057187,126.8026626
은빌레펜션,제주특별자치도 서귀포시 남원읍 의귀리 794,33.3117075,126.7168645
뭉클펜션,제주특별자치도 제주시 조천읍 북촌북길 17-1,33.548133,126.6906193
제주에코스위츠,제주특별자치도 서귀포시 중문상로 207-13,33.2696393,126.4289254
큐티파이호텔,제주특별자치도 제주시 애월읍 애월해안로 610,33.4778706,126.3688144
부티크스테이스놉,제주특별자치도 서귀포시 예래해안로 17,33.2432264,126.3876102
해뜨는성펜션,제주특별자치도 서귀포시 성산읍 한도로 267,33.4661446,126.9359092
가시리유채꽃길펜션,제주특별자치도 서귀포시 표선면 녹산로 45,33.390274,126.732908
제주봄스테이,제주특별자치도 서귀포시 검은여로130번길 68-16,33.2512773,126.5870201
나인스파빌,제주특별자치도 제주시 애월읍 하광로 518,33.4621944,126.4227085
홍스랜드,제주특별자치도 제주시 애월읍 어음13길 25-45,33.3981204,126.352168
코코스펜션,제주특별자치도 제주시 한림읍 협재2길 26,33.3925125,126.24256
제주담스파빌,제주특별자치도 제주시 한림읍 한림로 162,33.3989324,126.2421759
비앤썬펜션,제주특별자치도 서귀포시 성산읍 환해장성로 929-7,33.4121987,126.9047711
빈티지1950카페펜션,제주특별자치도 제주시 구좌읍 덕행로 175-42,33.5164517,126.782871
해담은스파빌,제주특별자치도 서귀포시 안덕면 사계북로 157-15,33.2394018,126.3039897
조유암펜션,제주특별자치도 서귀포시 안덕면 난드르로21번길 25,33.2338299,126.3669024
끄라비펜션,제주특별자치도 서귀포시 토평로148번길 28,33.2819643,126.5917812
