place,address,Latitude,Longitude
휘닉스제주,제주특별자치도 서귀포시 성산읍 섭지코지로 107,33.4305782,126.9277688
한화리조트 제주,제주특별자치도 제주시 명림로 575-107,33.4484669,126.6380972
소노벨제주 신관,제주특별자치도 제주시 조천읍 신북로 577,33.5412863,126.6714847
켄싱턴리조트 제주중문,제주특별자치도 서귀포시 중문관광로72번길 29-29,33.2475912,126.4125373
더큐브리조트 제주,제주특별자치도 서귀포시 솔오름로105번길 24,33.3007625,126.5543432
아이브리조트,제주특별자치도 서귀포시 산록남로 1966-34,33.3017887,126.5095926
롯데리조트제주 아트빌라스,제주특별자치도 서귀포시 색달중앙로252번길 124,33.2812324,126.4158092
와이리조트 제주,제주특별자치도 서귀포시 안덕면 화순중앙로124번길 75,33.241649,126.3336643
베이힐풀앤빌라,제주특별자치도 서귀포시 예래로 424,33.2451213,126.3852784
MJ리조트,제주특별자치도 제주시 구좌읍 해맞이해안로 1651,33.5291668,126.8538817
씨사이드아덴리조트,제주특별자치도 서귀포시 중문관광로 124,33.2487954,126.4198849
담앤루,제주특별자치도 서귀포시 이어도로343번길 63,33.2453084,126.4512913
올레리조트,제주특별자치도 제주시 애월읍 부룡수길 33,33.4756942,126.3558489
오션스퀘어,제주특별자치도 서귀포시 성산읍 환해장성로 667,33.4121987,126.9047711
취다선리조트,제주특별자치도 서귀포시 성산읍 해맞이해안로 2688,33.4758294,126.9099122
그림리조트,제주특별자치도 제주시 서해안로 620-1,33.516304,126.5036099
라헨느리조트,제주특별자치도 제주시 명림로 374,33.454163,126.6144026
로긴리조트,제주특별자치도 제주시 서해안로 442-11,33.5173051,126.4876813
애월스테이인제주,제주특별자치도 제주시 애월읍 애월해안로 708,33.4828868,126.3773285
썬앤문리조트,제주특별자치도 서귀포시 안덕면 사계남로 102,33.230173,126.3018116
클럽이에스 제주리조트,제주특별자치도 서귀포시 1100로 501,33.2763665,126.4476633
제주리조트,제주특별자치도 제주시 애월읍 가문동상4길 11,33.4846961,126.3876815
젠하이드어웨이,제주특별자치도 서귀포시 안덕면 사계남로 186-8,33.2292312,126.3086165
돈내코힐스파리조트,제주특별자치도 서귀포시 돈내코로 180,33.3053883,126.5774568
서귀포월드컵리조트,제주특별자치도 서귀포시 월드컵로45번길 40,33.2443564,126.5110873
벨룸리조트,제주특별자치도 서귀포시 516로277번길 45 1층,33.2812754,126.5784104
더베이제주리조트,제주특별자치도 서귀포시 문필로35번길 46,33.2407806,126.5956557
라온프라이빗타운,제주특별자치도 제주시 한림읍 금능남로 127,33.3760556,126.2441268
오투힐 제주점,제주특별자치도 제주시 구좌읍 해맞이해안로 1590-6 오투힐리조트,33.528084,126.873762
팜밸리리조트,제주특별자치도 서귀포시 중산간서로 193,33.2593949,126.4908125
루시드엠,제주특별자치도 서귀포시 안덕면 사계북로 120,33.2355381,126.2966466
물뜰에쉼팡리조트,제주특별자치도 제주시 한림읍 귀덕로 73,33.4175961,126.2998204
