place,address,Latitude,Longitude
남원큰엉해변,제주특별자치도 서귀포시 남원읍 태위로 522-17,33.2733787,126.7037541
함덕해수욕장,제주특별자치도 제주시 조천읍 조함해안로 525,33.5427175,126.6692481
협재해수욕장,제주특별자치도 제주시 한림읍 한림로 329-10,33.3938461,126.2397141
이호테우해수욕장,제주특별자치도 제주시 이호일동 1665-13,33.4968145,126.4528609
성산일출봉,제주특별자치도 서귀포시 성산읍 성산리 78,33.4587135,126.9390786
김녕해수욕장,제주특별자치도 제주시 구좌읍 해맞이해안로 7-6,33.5291668,126.8538817
섭지코지,제주특별자치도 서귀포시 성산읍 섭지코지로 107,33.4305782,126.9277688
사려니숲길,제주특별자치도 제주시 조천읍 교래리 산 137-1,33.4276176,126.6665803
금능해수욕장,제주특별자치도 제주시 한림읍 금능길 119-10,33.391126,126.2363373
용머리해안,제주특별자치도 서귀포시 안덕면 사계리,33.237032,126.3020597
곽지해수욕장,제주특별자치도 제주시 애월읍 곽지리 1565,33.4507522,126.3056339
천지연폭포,제주특별자치도 서귀포시 서홍동 2565,33.2683636,126.5529615
비자림,제주특별자치도 제주시 구좌읍 비자숲길 55,33.4913168,126.8113883
황우지해안,제주특별자치도 서귀포시 천지동 765-7,33.2417089,126.5505189
중문색달해수욕장,제주특별자치도 서귀포시 색달동 3039,33.2814107,126.4111118
새별오름,제주특별자치도 제주시 애월읍 봉성리 산 59-8,33.3689588,126.3505941
산방산,제주특별자치도 서귀포시 안덕면 사계리 산 16,33.2426249,126.3137339
마라도,제주특별자치도 서귀포시 대정읍 마라로101번길 46,33.1185369,126.2673483
중문대포주상절리대,제주특별자치도 서귀포시 이어도로 36-30,33.240469,126.493008
9.81파크,제주특별자치도 제주시 애월읍 천덕로 880-24,33.4353027,126.3219516
용두암,제주특별자치도 제주시 용두암길 15,33.5149624,126.5116869
표선해수욕장,제주특별자치도 서귀포시 표선면 표선리,33.3225332,126.8228665
세화해변,제주특별자치도 제주시 구좌읍 해녀박물관길 27,33.5234279,126.8624058
정방폭포,제주특별자치도 서귀포시 동홍동 299-3,33.2450247,126.5716804
만장굴,제주특별자치도 제주시 구좌읍 만장굴길 182,33.5291,126.7714308
새연교,제주특별자치도 서귀포시 서홍동 707-4,33.2384632,126.5589787
카멜리아힐,제주특별자치도 서귀포시 안덕면 병악로 166,33.2901143,126.3684044
월정리해수욕장,제주특별자치도 제주시 구좌읍 월정리 33-3,33.5551183,126.7986235
한라산국립공원,제주특별자치도 제주시 오등동 산 182,33.3718377,126.5298401
산굼부리,제주특별자치도 제주시 조천읍 교래리 166-2,33.4276176,126.6665803
쇠소깍,제주특별자치도 서귀포시 쇠소깍로 104,33.2542498,126.6224923
도두동무지개해안도로,제주특별자치도 제주시 도두일동 1734,33.509258,126.4719749
절물자연휴양림,제주특별자치도 제주시 명림로 584,33.4393726,126.6284479
천제연폭포,제주특별자치도 서귀포시 천제연로 132 중문관광단지 내,33.2526783,126.4184383
도두봉,제주특별자치도 제주시 도두일동 산 2,33.506984,126.4684484
사계해변,제주특별자치도 서귀포시 안덕면 사계리,33.237032,126.3020597
신창풍차해안도로,제주특별자치도 제주시 한경면 신창리 1322-1,33.3433767,126.1739996
우도,제주특별자치도 제주시 우도면 연평리,33.5033191,126.9556775
제주허브동산,제주특별자치도 서귀포시 표선면 돈오름로 170,33.3298498,126.8148541
금오름,제주특별자치도 제주시 한림읍 금악리 산 1-1,33.355577,126.3056877
한라수목원,제주특별자치도 제주시 수목원길 72,33.4699272,126.4932445
윈드1947카트테마파크,제주특별자치도 서귀포시 토평공단로 78-27,33.2894549,126.5876107
한림공원,제주특별자치도 제주시 한림읍 한림로 300,33.3894949,126.2396825
서귀포치유의숲,제주특별자치도 서귀포시 산록남로 2271,33.3017887,126.5095926
광치기해변,제주특별자치도 서귀포시 성산읍 고성리 224-33,33.4526753,126.9241174
송악산,제주특별자치도 서귀포시 대정읍 상모리 산 2,33.1994088,126.2907797
삼양해수욕장,제주특별자치도 제주시 삼양이동 1960-4,33.5254973,126.5853116
수월봉,제주특별자치도 제주시 한경면 고산리 3760,33.294755,126.1634484
거문오름,제주특별자치도 제주시 조천읍 선교로 569-36,33.4727191,126.7061921
안돌오름,제주특별자치도 제주시 구좌읍 송당리 산 66-2,33.4575321,126.7558484
항파두리 항몽유적지,제주특별자치도 제주시 애월읍 항파두리로 50,33.4521245,126.4074522
메이즈랜드,제주특별자치도 제주시 구좌읍 비자림로 2134-47,33.467852,126.7724183
애월해안도로,제주특별자치도 제주시 애월읍 신엄리 2719-3,33.4786484,126.3696874
한담해안산책로,제주특별자치도 제주시 애월읍 곽지리 1359,33.45906,126.3105995
서우봉,제주특별자치도 제주시 조천읍 함덕리 169-3,33.5457607,126.6776978
코난해변,제주특별자치도 제주시 구좌읍 행원리 575-6,33.5575318,126.8112241
용눈이오름,제주특별자치도 제주시 구좌읍 종달리 산 28,33.4880673,126.8804954
백약이오름,제주특별자치도 서귀포시 표선면 성읍리 산 1,33.4372808,126.7901747
비양도,제주특별자치도 제주시 한림읍 협재리,33.3807358,126.2482491
수목원테마파크,제주특별자치도 제주시 은수길 69,33.4721583,126.4880259
제주곶자왈도립공원,제주특별자치도 서귀포시 대정읍 에듀시티로 178,33.279349,126.2763069
스누피가든,제주특별자치도 제주시 구좌읍 금백조로 916 2층,33.4434495,126.7797614
화조원,제주특별자치도 제주시 애월읍 납읍리 58,33.4113881,126.3717903
한라산1100고지,제주특별자치도 서귀포시 색달동 산 1-2,33.2569808,126.3864531
소천지,제주특별자치도 서귀포시 보목동,33.2460103,126.6009132
관덕정,제주특별자치도 제주시 관덕로 19,33.5133537,126.5214452
이중섭거리,제주특별자치도 서귀포시 이중섭로 4-1,33.2476269,126.5641044
아부오름,제주특별자치도 제주시 구좌읍 송당리 2263,33.4487771,126.7772808
김녕미로공원,제주특별자치도 제주시 구좌읍 만장굴길 122,33.5365289,126.7721332
다랑쉬오름,제주특별자치도 제주시 구좌읍 세화리 산 6,33.4765321,126.8218552
원앙폭포,제주특별자치도 서귀포시 돈내코로 137,33.3005301,126.5817449
브릭캠퍼스 제주,제주특별자치도 제주시 1100로 3047,33.4561511,126.48637
군산,제주특별자치도 서귀포시 안덕면 창천리 산 3-1,33.2515773,126.3681156
가파도,제주특별자치도 서귀포시 대정읍 가파리 276,33.1697902,126.2713039
에코랜드테마파크,제주특별자치도 제주시 조천읍 번영로 1278-169,33.4555296,126.6681873
논짓물해변,제주특별자치도 서귀포시 하예동,33.240031,126.3803208
제주돌문화공원,제주특별자치도 제주시 조천읍 남조로 2023,33.4486627,126.6589493
제주불빛정원,제주특별자치도 제주시 애월읍 평화로 2346,33.4221679,126.4093068
창꼼,제주특별자치도 제주시 조천읍 북촌리 403-9,33.5523047,126.6978053
청굴물,제주특별자치도 제주시 구좌읍 김녕리 1296,33.5579694,126.7513606
제주레포츠랜드,제주특별자치도 제주시 조천읍 와흘상서2길 47,33.4823902,126.6386812
엉또폭포,제주특별자치도 서귀포시 강정동 5628,33.26505,126.4903182
따라비오름,제주특별자치도 서귀포시 표선면 가시리 산 63,33.3988071,126.7063341
송악산둘레길,제주특별자치도 서귀포시 대정읍 상모리,33.2218976,126.2741296
서귀포자연휴양림,제주특별자치도 서귀포시 하원동 산 1-1,33.3401998,126.4792115
선녀와나무꾼 테마공원,제주특별자치도 제주시 조천읍 선교로 267,33.4786897,126.7030403
돌염전,제주특별자치도 제주시 애월읍 구엄리,33.4797356,126.3819332
형제해안도로,"제주특별자치도 서귀포시 안덕면 사계리 (군도14호선, 상모사계선)",33.2395779,126.2999173
파더스가든,제주특별자치도 서귀포시 안덕면 병악로 44-33,33.2805107,126.3655186
제주동백수목원,제주특별자치도 서귀포시 남원읍 위미리 927,33.3060336,126.6580882
월령선인장군락지,제주특별자치도 제주시 한림읍 월령리 359-4,33.3778628,126.2154709
소인국테마파크,제주특별자치도 서귀포시 안덕면 중산간서로 1878,33.2904213,126.322602
제주4.3평화공원,제주특별자치도 제주시 명림로 430,33.4505801,126.6181207
제주중문관광단지,제주특별자치도 서귀포시 중문동 2624-1,33.2457545,126.4205964
안덕계곡,제주특별자치도 서귀포시 안덕면 감산리 1946,33.2563654,126.3518369
사라봉,제주특별자치도 제주시 건입동 387-1,33.5180564,126.5460544
동백포레스트,제주특별자치도 서귀포시 남원읍 생기악로 53-38,33.2974308,126.6375449
쇠소깍관광지,제주특별자치도 서귀포시 하효동,33.2575864,126.6188654
바운스슈퍼파크 제주센터,제주특별자치도 제주시 연사6길 61 1층,33.4857156,126.5082014
저지오름,제주특별자치도 제주시 한경면 저지리 산 51,33.3330097,126.2509518
서프라이즈테마파크,제주특별자치도 제주시 조천읍 남조로 2243,33.4845921,126.6554822
한라생태숲,제주특별자치도 제주시 516로 2596,33.430924,126.595761
교래자연휴양림,제주특별자치도 제주시 조천읍 남조로 2023,33.4486627,126.6589493
추자도,제주특별자치도 제주시 추자면 묵리,33.9486489,126.3142954
닭머르,제주특별자치도 제주시 조천읍 신촌리 3403,33.5377171,126.6131171
박수기정,제주특별자치도 서귀포시 안덕면 감산리,33.2484955,126.3509503
어승생,제주특별자치도 제주시 해안동 산 220-12,33.3835708,126.5068024
혼인지,제주특별자치도 서귀포시 성산읍 온평리 1693,33.4149305,126.8941019
액티브파크,제주특별자치도 제주시 한림읍 금능남로 76,33.3683483,126.2446125
하도해변,제주특별자치도 제주시 구좌읍 하도리,33.5149849,126.8817696
삼성혈,제주특별자치도 제주시 삼성로 22,33.5047027,126.529358
붉은오름자연휴양림,제주특별자치도 서귀포시 표선면 남조로 1487-73,33.3788614,126.6823176
지미봉,제주특별자치도 제주시 구좌읍 종달리 산 3-1,33.4880673,126.8804954
제주코코몽에코파크,제주특별자치도 서귀포시 남원읍 태위로 536,33.2746312,126.7058491
물영아리,제주특별자치도 서귀포시 남원읍 수망리 산 188,33.3680602,126.692221
일출랜드,제주특별자치도 서귀포시 성산읍 중산간동로 4150-30,33.3835243,126.8413634
별방진,제주특별자치도 제주시 구좌읍 하도리 3354,33.5261207,126.8843802
마방목지,제주특별자치도 제주시 516로 2480,33.4453264,126.5663685
엉덩물계곡,제주특별자치도 서귀포시 색달동 3384-4,33.2814107,126.4111118
동백동산,제주특별자치도 제주시 조천읍 선흘리 산 12,33.5170339,126.7176118
백록담,제주특별자치도 서귀포시 토평동 산 15-1,33.3468318,126.5364535
용연계곡,제주특별자치도 제주시 용담일동 2581-4,33.5125972,126.5144321
하례감귤체험농장,제주특별자치도 서귀포시 남원읍 중산간동로 6596-3,33.2992401,126.6811519
곶자왈,제주특별자치도 서귀포시 대정읍 에듀시티로 178,33.279349,126.2763069
서귀다원,제주특별자치도 서귀포시 516로 717,33.3126399,126.5967027
유채꽃프라자,제주특별자치도 서귀포시 표선면 녹산로 464-65,33.390274,126.732908
검멀레해변,제주특별자치도 제주시 우도면 연평리,33.5033191,126.9556775
우도산호해변,제주특별자치도 제주시 우도면 연평리,33.5033191,126.9556775
수월봉전망대,제주특별자치도 제주시 한경면 고산리 3760,33.294755,126.1634484
산양큰엉곶,제주특별자치도 제주시 한경면 청수리 956-6,33.2908356,126.2501278
삼다수숲길,제주특별자치도 제주시 조천읍 교래리 산 70-1,33.4276176,126.6665803
한라산 성판악탐방안내소,제주특별자치도 제주시 조천읍 516로 1865,33.3848518,126.6195473
알뜨르비행장,제주특별자치도 서귀포시 대정읍 상모리 1670,33.2046641,126.2727667
상가리야자숲,제주특별자치도 제주시 애월읍 상가리 536,33.4391766,126.3583243
신창풍차해안,제주특별자치도 제주시 한경면 신창리 1290-2,33.3452325,126.1775914
수월봉지질트레일,제주특별자치도 제주시 한경면 고산리 3760,33.294755,126.1634484
돈내코유원지,제주특별자치도 서귀포시 돈내코로 114,33.3003161,126.5847998
수산봉,제주특별자치도 제주시 애월읍 수산리 산 1-1,33.4737592,126.3846826
평대리해수욕장,제주특별자치도 제주시 구좌읍 평대리,33.5243749,126.8423829
머체왓숲길 방문객지원센터,제주특별자치도 서귀포시 남원읍 서성로 755,33.3245683,126.6627718
5.16도로숲터널,제주특별자치도 서귀포시 남원읍 신례리,33.299995,126.6297939
아끈다랑쉬오름,제주특별자치도 제주시 구좌읍 세화리 2593-2,33.474032,126.8314889
방림원,제주특별자치도 제주시 한경면 용금로 864,33.3370712,126.2687794
제주유채꽃도로,제주특별자치도 서귀포시 표선면 가시리,33.3988071,126.7063341
큰노꼬메오름,제주특별자치도 제주시 애월읍 유수암리 산 138,33.3923111,126.4152399
황우지선녀탕,제주특별자치도 서귀포시 서홍동,33.2639577,126.5507293
영주산,제주특별자치도 서귀포시 표선면 성읍리 산 18-1,33.4040171,126.7990445
오늘은카트레이싱,제주특별자치도 서귀포시 표선면 중산간동로 4776,33.3662211,126.7805125
하고수동해변,제주특별자치도 제주시 우도면 연평리,33.5033191,126.9556775
흑돼지거리,제주특별자치도 제주시 일도일동 1492-1,33.5142565,126.5275314
제주올레여행자센터,제주특별자치도 서귀포시 중정로 22,33.2474043,126.5587322
태웃개,제주특별자치도 서귀포시 남원읍 위미리 69,33.3060336,126.6580882
신화워터파크,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,33.3066927,126.3380858
용담해안도로,제주특별자치도 제주시 용담2동,33.5114842,126.5117554
엉알해안,제주특별자치도 제주시 한경면 고산리,33.3040691,126.1881455
세리월드,제주특별자치도 서귀포시 법환상로2번길 97-17,33.2468934,126.5119875
위미동백나무군락,제주특별자치도 서귀포시 남원읍 위미중앙로300번길 23-7,33.2732577,126.6759355
문도지오름,제주특별자치도 제주시 한림읍 금악리 3445,33.3266713,126.295129
신양섭지해수욕장,제주특별자치도 서귀포시 성산읍 섭지코지로 88,33.4354584,126.9225361
차귀도,제주특별자치도 제주시 한경면 고산리 125,33.3010997,126.2056913
소정방폭포,제주특별자치도 서귀포시 토평동,33.2844099,126.5796743
새별프렌즈,제주특별자치도 제주시 애월읍 평화로 1529,33.3628158,126.3633602
사려니숲길 관광안내소,제주특별자치도 서귀포시 표선면 가시리 산 158,33.3988071,126.7063341
종달리해변,제주특별자치도 제주시 구좌읍 종달리 622-5,33.4880673,126.8804954
고근산,제주특별자치도 서귀포시 서호동 1286-1,33.2663637,126.5123088
사라오름,제주특별자치도 서귀포시 남원읍 신례리 산 2-1,33.299995,126.6297939
송당무끈모루,제주특별자치도 제주시 구좌읍 송당리 2793,33.4549996,126.7793479
성읍랜드,제주특별자치도 서귀포시 표선면 번영로 2650,33.3987468,126.7873305
제주목 관아,제주특별자치도 제주시 관덕로 25,33.5140904,126.5222108
한라산,제주특별자치도 서귀포시 서홍동 산 1-1,33.3447515,126.5248428
하효쇠소깍해변,제주특별자치도 서귀포시 하효동 997-3,33.2514571,126.6224567
강정천,제주특별자치도 서귀포시 강정동 5647,33.2566679,126.4748067
종달리수국길,제주특별자치도 제주시 구좌읍 종달리,33.4880673,126.8804954
금능석물원,제주특별자치도 제주시 한림읍 한림로 176,33.384592,126.2268717
민오름,제주특별자치도 제주시 오라이동 산 28-1,33.4752267,126.5072534
산물관광농원,제주특별자치도 서귀포시 남원읍 하례로 90,33.2588658,126.6258143
