place,address,Latitude,Longitude,category
원앤온리,제주특별자치도 서귀포시 안덕면 산방로 141 원앤온리,33.23923,126.3192943,카페
퍼시픽리솜 더클리프카페&펍,제주특별자치도 서귀포시 중문관광로 154-17,33.2444327,126.4161942,카페
카페나모나모,제주특별자치도 제주시 도두봉6길 4 1~4층,33.5082095,126.4723209,카페
울트라마린,제주특별자치도 제주시 한경면 일주서로 4611 지하1층,33.3414039,126.1898997,카페
드르쿰다in성산,제주특별자치도 서귀포시 성산읍 섭지코지로25번길 64,33.4493736,126.9207077,카페
유동커피,제주특별자치도 서귀포시 태평로 406-1,33.2444906,126.5638992,카페
베케,제주특별자치도 서귀포시 효돈로 54,33.262893,126.6129693,카페
목장카페드르쿰다,제주특별자치도 서귀포시 표선면 번영로 2454,33.4091347,126.7701478,카페
오르다,제주특별자치도 서귀포시 성산읍 한도로 269-37,33.4657004,126.9360502,카페
뷰스트,제주특별자치도 서귀포시 안덕면 형제해안로 30,33.2278135,126.303557,카페
테라로사 서귀포점,제주특별자치도 서귀포시 칠십리로658번길 27-16,33.2482683,126.6165067,카페
휴일로,제주특별자치도 서귀포시 안덕면 난드르로 49-65,33.2329435,126.3646105,카페
명월국민학교,제주특별자치도 제주시 한림읍 명월로 48,33.388832,126.2649479,카페
커피템플,제주특별자치도 제주시 영평길 269 1층,33.478135,126.57017,카페
카페서연의집,제주특별자치도 서귀포시 남원읍 위미해안로 86,33.2694372,126.6556626,카페
카페라라라,제주특별자치도 제주시 구좌읍 해맞이해안로 1430 1층,33.5291668,126.8538817,카페
외도339,제주특별자치도 제주시 일주서로 7345 1층,33.4937566,126.4317907,카페
아줄레주,제주특별자치도 서귀포시 성산읍 신풍하동로19번길 59 나동,33.3643757,126.8395566,카페
꽃이피다앤블라썸,제주특별자치도 서귀포시 남성로 136 1층,33.2428254,126.549614,카페
클랭블루,제주특별자치도 제주시 한경면 한경해안로 552-22,33.3328723,126.1697983,카페
도렐 제주본점,제주특별자치도 서귀포시 성산읍 동류암로 20 플레이스 Love동 1층,33.4491938,126.9165127,카페
마틸다,제주특별자치도 제주시 애월읍 고내1길 33 1층,33.4637952,126.3345426,카페
인그리드,제주특별자치도 제주시 서해안로 64,33.5025176,126.4567455,카페
카페이피엘 (휴업중),제주특별자치도 서귀포시 남원읍 위미항구로 8,33.2752399,126.6570688,카페
제주바솔트,제주특별자치도 제주시 가령골3길 6 1층,33.5040956,126.5393078,카페
카페더콘테나,제주특별자치도 제주시 조천읍 함와로 513,33.5145232,126.6777359,카페
블랑로쉐,제주특별자치도 제주시 우도면 우도해안길 783,33.5074342,126.954269,카페
썬셋클리프,제주특별자치도 제주시 애월읍 애월로1길 19-8,33.4618349,126.3110652,카페
제레미,제주특별자치도 제주시 애월읍 애월로 106-1,33.4644349,126.318555,카페
섬타르,제주특별자치도 제주시 다랑곶1길 9,33.4875826,126.478266,카페
커피파인더,제주특별자치도 제주시 서광로32길 20 1층,33.4985811,126.5287567,카페
쪼끌락,제주특별자치도 제주시 구좌읍 김녕로21길 21,33.5577318,126.7552547,카페
벙커하우스,제주특별자치도 서귀포시 막숙포로41번길 66 1층,33.2395574,126.5176316,카페
구좌상회작업실,제주특별자치도 제주시 조천읍 선교로 198-5,33.4855747,126.6988641,카페
커피스케치,제주특별자치도 서귀포시 안덕면 사계남로216번길 24-32,33.2328609,126.3140629,카페
마마롱,제주특별자치도 제주시 애월읍 평화로 2783,33.4099645,126.3988615,카페
쉼표,제주특별자치도 제주시 한림읍 한림로 359,33.3989324,126.2421759,카페
니모메,제주특별자치도 제주시 일주서로 7335-8,33.4937504,126.4300165,카페
와토커피,제주특별자치도 서귀포시 대정읍 동일하모로 238,33.2253984,126.256624,카페
미쿠니,제주특별자치도 제주시 서흘길 41 1층,33.5290689,126.5897026,카페
브와두스 베이커리카페 연동점,제주특별자치도 제주시 국기로 35,33.4787871,126.4903725,카페
카페한라산,제주특별자치도 제주시 구좌읍 면수1길 48,33.5247614,126.8629928,카페
마음에온,제주특별자치도 제주시 칠성로길 29-1,33.514554,126.5260077,카페
미스틱3도,"제주특별자치도 제주시 1100로 2894-49 1,2층",33.4499537,126.487749,카페
머문,제주특별자치도 제주시 구좌읍 해맞이해안로 460 2층,33.5291668,126.8538817,카페
당당,제주특별자치도 제주시 애월읍 중엄안1길 25,33.474404,126.3709944,카페
본카페 애월,"제주특별자치도 제주시 애월읍 애월해안로 179 1,2층",33.4782235,126.3665625,카페
허니문하우스,제주특별자치도 서귀포시 칠십리로 228-13,33.2452878,126.5787493,카페
비브레이브 혁신도시점,제주특별자치도 서귀포시 서호중앙로 85-13 1층,33.2521803,126.5610081,카페
베메로 bake make roast,제주특별자치도 서귀포시 중문관광로72번길 29-5,33.249826,126.4109614,카페
오늘은녹차한잔,제주특별자치도 서귀포시 표선면 중산간동로 4772,33.3662211,126.7805125,카페
모뉴에트,제주특별자치도 제주시 구좌읍 종달동길 23 1층,33.4915561,126.9023175,카페
호랑호랑,제주특별자치도 서귀포시 성산읍 일출로 86 C동,33.4542884,126.9242718,카페
카페태희,제주특별자치도 제주시 애월읍 곽지3길 27,33.4493508,126.3044233,카페
달빛제주,제주특별자치도 제주시 애월읍 애월해안로 929 가동 2층,33.4782235,126.3665625,카페
모래비,제주특별자치도 제주시 구좌읍 해맞이해안로 462 모래비,33.5291668,126.8538817,카페
모노클제주,제주특별자치도 서귀포시 남원읍 태위로360번길 30-8,33.2729087,126.6845952,카페
카페공작소,제주특별자치도 제주시 구좌읍 해맞이해안로 1446,33.5291668,126.8538817,카페
청춘부부,제주특별자치도 서귀포시 대정읍 추사로38번길 181 1층,33.2658939,126.2791647,카페
아뜰리에안,제주특별자치도 서귀포시 막숙포로 166,33.2315119,126.5061073,카페
슬랩,제주특별자치도 제주시 한림읍 한림로 354 2층,33.3947774,126.2416879,카페
