place,address
휘닉스제주,제주특별자치도 서귀포시 성산읍 섭지코지로 107
한화리조트 제주,제주특별자치도 제주시 명림로 575-107
소노벨제주 신관,제주특별자치도 제주시 조천읍 신북로 577
켄싱턴리조트 제주중문,제주특별자치도 서귀포시 중문관광로72번길 29-29
더큐브리조트 제주,제주특별자치도 서귀포시 솔오름로105번길 24
아이브리조트,제주특별자치도 서귀포시 산록남로 1966-34
롯데리조트제주 아트빌라스,제주특별자치도 서귀포시 색달중앙로252번길 124
와이리조트 제주,제주특별자치도 서귀포시 안덕면 화순중앙로124번길 75
베이힐풀앤빌라,제주특별자치도 서귀포시 예래로 424
MJ리조트,제주특별자치도 제주시 구좌읍 해맞이해안로 1651
씨사이드아덴리조트,제주특별자치도 서귀포시 중문관광로 124
담앤루,제주특별자치도 서귀포시 이어도로343번길 63
올레리조트,제주특별자치도 제주시 애월읍 부룡수길 33
오션스퀘어,제주특별자치도 서귀포시 성산읍 환해장성로 667
취다선리조트,제주특별자치도 서귀포시 성산읍 해맞이해안로 2688
그림리조트,제주특별자치도 제주시 서해안로 620-1
라헨느리조트,제주특별자치도 제주시 명림로 374
로긴리조트,제주특별자치도 제주시 서해안로 442-11
애월스테이인제주,제주특별자치도 제주시 애월읍 애월해안로 708
썬앤문리조트,제주특별자치도 서귀포시 안덕면 사계남로 102
클럽이에스 제주리조트,제주특별자치도 서귀포시 1100로 501
제주리조트,제주특별자치도 제주시 애월읍 가문동상4길 11
젠하이드어웨이,제주특별자치도 서귀포시 안덕면 사계남로 186-8
돈내코힐스파리조트,제주특별자치도 서귀포시 돈내코로 180
서귀포월드컵리조트,제주특별자치도 서귀포시 월드컵로45번길 40
벨룸리조트,제주특별자치도 서귀포시 516로277번길 45 1층
더베이제주리조트,제주특별자치도 서귀포시 문필로35번길 46
라온프라이빗타운,제주특별자치도 제주시 한림읍 금능남로 127
오투힐 제주점,제주특별자치도 제주시 구좌읍 해맞이해안로 1590-6 오투힐리조트
팜밸리리조트,제주특별자치도 서귀포시 중산간서로 193
루시드엠,제주특별자치도 서귀포시 안덕면 사계북로 120
물뜰에쉼팡리조트,제주특별자치도 제주시 한림읍 귀덕로 73
카이리조트,제주특별자치도 제주시 한림읍 협재2길 10
블라제리조트,제주특별자치도 서귀포시 표선면 녹산로 274
봄그리고가을리조트,제주특별자치도 서귀포시 성산읍 해맞이해안로 2660
메모리아리조트,제주특별자치도 서귀포시 성산읍 일주동로 5199-3
씨오르리조트,제주특별자치도 서귀포시 이어도로 989
파미유스파리조트,제주특별자치도 서귀포시 이어도로 826-6
엘리시안제주 콘도,제주특별자치도 제주시 애월읍 평화로 1738-116
돌과바람리조트,제주특별자치도 서귀포시 하신상로 166
중문리조트,제주특별자치도 서귀포시 색달로 117
하모니리조트,제주특별자치도 제주시 한림읍 협재로 213
두빛나래리조트,제주특별자치도 서귀포시 안덕면 사계북로 109
제주바다목장 다이브리조트,제주특별자치도 제주시 한경면 한경해안로 565
더세리리조트,제주특별자치도 서귀포시 법환상로2번길 97-17
콤마앤리조트,제주특별자치도 서귀포시 안덕면 사계중앙로3번길 22
샤모니리조트,제주특별자치도 서귀포시 중산간서로 68
해밀리조트,제주특별자치도 제주시 애월읍 광상로 272 1~3층
오션갤러리 호텔앤리조트,제주특별자치도 서귀포시 성산읍 환해장성로 231
오크라리조트,제주특별자치도 서귀포시 표선면 번영로 3189
캐슬렉스제주골프클럽 골프텔,제주특별자치도 서귀포시 안덕면 평화로 1241
제주애월리조트,제주특별자치도 제주시 애월읍 광령평화2길 116-20
나르샤리조트,제주특별자치도 서귀포시 안덕면 사계북로 52
브릭216,제주특별자치도 서귀포시 이어도로 216
바다스케치,제주특별자치도 서귀포시 안덕면 사계남로216번길 52
훈데르트힐즈,제주특별자치도 제주시 우도면 우도해안길 32-24
스프링힐,제주특별자치도 서귀포시 천제연로 292
스완지리조트,제주특별자치도 제주시 서해안로 84
썬비치리조트,제주특별자치도 제주시 서해안로 114
고투베드리조트,제주특별자치도 서귀포시 성산읍 서성일로 660
제주원리조트,제주특별자치도 서귀포시 성산읍 서성일로 726-33
제주휴리조트1,제주특별자치도 서귀포시 성산읍 난고로 228
오시록헌 PM,제주특별자치도 제주시 한림읍 금능5길 19-3
조이빌리조트,제주특별자치도 제주시 조천읍 와산남길 41
애월파라다이스,제주특별자치도 제주시 애월읍 하소로 557-10
사조리조트 제주지점,제주특별자치도 제주시 조천읍 일주동로 1616-7
송당송당펜션&리조트,제주특별자치도 제주시 구좌읍 비자림로 1220
블루펄리조트,제주특별자치도 서귀포시 태평로92번길 35
더시에나리조트 (2023년5월예정),제주특별자치도 서귀포시 강정동 3772-1
제주캐슬마운틴리조트,제주특별자치도 서귀포시 안덕면 산록남로 513-14
인피니티리조트,제주특별자치도 제주시 조천읍 조함해안로 376-9
벙커호텔앤리조트,제주특별자치도 서귀포시 중산간동로8183번길 16
벨라비타,제주특별자치도 서귀포시 일주서로 809
함덕리조텔,제주특별자치도 제주시 조천읍 조함해안로 514
