place,address
올레길 7코스(서귀포-월평 올레),
올레길 1코스(시흥-광치기 올레),
올레길 6코스(쇠소깍-서귀포 올레),
올레길 18코스(제주원도심-조천 올레),
올레길 5코스(남원-쇠소깍 올레),
올레길 17코스(광령-제주원도심 올레),
올레길 13코스(용수-저지 올레),
올레길 10코스(화순-모슬포 올레),
올레길 16코스(고내-광령 올레),
올레길 8코스(월평-대평 올레),
올레길 4코스(표선-남원 올레),
올레길 20코스(김녕-하도 올레),
올레길 19코스(조천-김녕 올레),
올레길 9코스(대평-화순 올레),
올레길 12코스(무릉-용수 올레),
올레길 21코스,
올레길 14-1코스(저지-서광 올레),
올레길 1-1코스(우도-올레),
올레길 7-1코스(월드컵경기장-서귀포 올레),
올레길 3-B코스(온평-표선 올레),
올레길 18-1코스(추자도-올레),
올레길 3-A코스(온평-표선 올레),
올레길 10-1코스(가파도 올레),
남원큰엉해변,제주특별자치도 서귀포시 남원읍 태위로 522-17
함덕해수욕장,제주특별자치도 제주시 조천읍 조함해안로 525
협재해수욕장,제주특별자치도 제주시 한림읍 한림로 329-10
이호테우해수욕장,제주특별자치도 제주시 이호일동 1665-13
성산일출봉,제주특별자치도 서귀포시 성산읍 성산리 78
김녕해수욕장,제주특별자치도 제주시 구좌읍 해맞이해안로 7-6
섭지코지,제주특별자치도 서귀포시 성산읍 섭지코지로 107
사려니숲길,제주특별자치도 제주시 조천읍 교래리 산 137-1
금능해수욕장,제주특별자치도 제주시 한림읍 금능길 119-10
용머리해안,제주특별자치도 서귀포시 안덕면 사계리
곽지해수욕장,제주특별자치도 제주시 애월읍 곽지리 1565
천지연폭포,제주특별자치도 서귀포시 서홍동 2565
비자림,제주특별자치도 제주시 구좌읍 비자숲길 55
황우지해안,제주특별자치도 서귀포시 천지동 765-7
중문색달해수욕장,제주특별자치도 서귀포시 색달동 3039
새별오름,제주특별자치도 제주시 애월읍 봉성리 산 59-8
산방산,제주특별자치도 서귀포시 안덕면 사계리 산 16
마라도,제주특별자치도 서귀포시 대정읍 마라로101번길 46
중문대포주상절리대,제주특별자치도 서귀포시 이어도로 36-30
9.81파크,제주특별자치도 제주시 애월읍 천덕로 880-24
용두암,제주특별자치도 제주시 용두암길 15
표선해수욕장,제주특별자치도 서귀포시 표선면 표선리
세화해변,제주특별자치도 제주시 구좌읍 해녀박물관길 27
정방폭포,제주특별자치도 서귀포시 동홍동 299-3
만장굴,제주특별자치도 제주시 구좌읍 만장굴길 182
새연교,제주특별자치도 서귀포시 서홍동 707-4
카멜리아힐,제주특별자치도 서귀포시 안덕면 병악로 166
월정리해수욕장,제주특별자치도 제주시 구좌읍 월정리 33-3
한라산국립공원,제주특별자치도 제주시 오등동 산 182
산굼부리,제주특별자치도 제주시 조천읍 교래리 166-2
쇠소깍,제주특별자치도 서귀포시 쇠소깍로 104
도두동무지개해안도로,제주특별자치도 제주시 도두일동 1734
절물자연휴양림,제주특별자치도 제주시 명림로 584
천제연폭포,제주특별자치도 서귀포시 천제연로 132 중문관광단지 내
도두봉,제주특별자치도 제주시 도두일동 산 2
사계해변,제주특별자치도 서귀포시 안덕면 사계리
신창풍차해안도로,제주특별자치도 제주시 한경면 신창리 1322-1
우도,제주특별자치도 제주시 우도면 연평리
제주허브동산,제주특별자치도 서귀포시 표선면 돈오름로 170
금오름,제주특별자치도 제주시 한림읍 금악리 산 1-1
한라수목원,제주특별자치도 제주시 수목원길 72
윈드1947카트테마파크,제주특별자치도 서귀포시 토평공단로 78-27
한림공원,제주특별자치도 제주시 한림읍 한림로 300
서귀포치유의숲,제주특별자치도 서귀포시 산록남로 2271
광치기해변,제주특별자치도 서귀포시 성산읍 고성리 224-33
송악산,제주특별자치도 서귀포시 대정읍 상모리 산 2
삼양해수욕장,제주특별자치도 제주시 삼양이동 1960-4
수월봉,제주특별자치도 제주시 한경면 고산리 3760
거문오름,제주특별자치도 제주시 조천읍 선교로 569-36
안돌오름,제주특별자치도 제주시 구좌읍 송당리 산 66-2
항파두리 항몽유적지,제주특별자치도 제주시 애월읍 항파두리로 50
한라산국립공원 성판악탐방로,
메이즈랜드,제주특별자치도 제주시 구좌읍 비자림로 2134-47
애월해안도로,제주특별자치도 제주시 애월읍 신엄리 2719-3
한담해안산책로,제주특별자치도 제주시 애월읍 곽지리 1359
서우봉,제주특별자치도 제주시 조천읍 함덕리 169-3
코난해변,제주특별자치도 제주시 구좌읍 행원리 575-6
용눈이오름,제주특별자치도 제주시 구좌읍 종달리 산 28
백약이오름,제주특별자치도 서귀포시 표선면 성읍리 산 1
비양도,제주특별자치도 제주시 한림읍 협재리
수목원테마파크,제주특별자치도 제주시 은수길 69
제주곶자왈도립공원,제주특별자치도 서귀포시 대정읍 에듀시티로 178
스누피가든,제주특별자치도 제주시 구좌읍 금백조로 916 2층
화조원,제주특별자치도 제주시 애월읍 애원로 804
한라산1100고지,제주특별자치도 서귀포시 색달동 산 1-2
소천지,제주특별자치도 서귀포시 보목동
관덕정,제주특별자치도 제주시 관덕로 19
이중섭거리,제주특별자치도 서귀포시 이중섭로 4-1
아부오름,제주특별자치도 제주시 구좌읍 송당리 2263
김녕미로공원,제주특별자치도 제주시 구좌읍 만장굴길 122
다랑쉬오름,제주특별자치도 제주시 구좌읍 세화리 산 6
원앙폭포,제주특별자치도 서귀포시 돈내코로 137
브릭캠퍼스 제주,제주특별자치도 제주시 1100로 3047
군산,제주특별자치도 서귀포시 안덕면 창천리 산 3-1
가파도,제주특별자치도 서귀포시 대정읍 가파리 276
에코랜드테마파크,제주특별자치도 제주시 조천읍 번영로 1278-169
논짓물해변,제주특별자치도 서귀포시 하예동
제주돌문화공원,제주특별자치도 제주시 조천읍 남조로 2023
제주불빛정원,제주특별자치도 제주시 애월읍 평화로 2346
창꼼,제주특별자치도 제주시 조천읍 북촌리 403-9
청굴물,제주특별자치도 제주시 구좌읍 김녕리 1296
제주레포츠랜드,제주특별자치도 제주시 조천읍 와흘상서2길 47
엉또폭포,제주특별자치도 서귀포시 강정동 5628
따라비오름,제주특별자치도 서귀포시 표선면 가시리 산 63
한라산국립공원 영실탐방로,
송악산둘레길,제주특별자치도 서귀포시 대정읍 상모리
서귀포자연휴양림,제주특별자치도 서귀포시 하원동 산 1-1
선녀와나무꾼 테마공원,제주특별자치도 제주시 조천읍 선교로 267
돌염전,제주특별자치도 제주시 애월읍 구엄리
형제해안도로,"제주특별자치도 서귀포시 안덕면 사계리 (군도14호선, 상모사계선)"
파더스가든,제주특별자치도 서귀포시 안덕면 병악로 44-33
제주동백수목원,제주특별자치도 서귀포시 남원읍 위미리 927
월령선인장군락지,제주특별자치도 제주시 한림읍 월령리 359-4
소인국테마파크,제주특별자치도 서귀포시 안덕면 중산간서로 1878
제주4.3평화공원,제주특별자치도 제주시 명림로 430
제주중문관광단지,제주특별자치도 서귀포시 중문동 2624-1
안덕계곡,제주특별자치도 서귀포시 안덕면 감산리 1946
사라봉,제주특별자치도 제주시 건입동 387-1
